"AMR_Strain","k_Value","Model_Formula","Spatial_k","Year_k"
"3GCR-Ec",4,"logit_R ~ s(TMP_scaled_lag, k = 4, bs = 'cr') + s(PREC_scaled_lag, k = 4, bs = 'cr') + s(HUM_scaled_lag, k = 4, bs = 'cr') + s(WET_scaled_lag, k = 4, bs = 'cr') + s(PLS_Comp1, k = 4, bs = 'cr') + s(PLS_Comp2, k = 4, bs = 'cr') + s(PLS_Comp3, k = 4, bs = 'cr') + s(lat, lon, bs = 'sos', k = 8) + s(year, bs = 'cr', k = 4) + s(Region, bs = 're') + climate_zone",8,4
"3GCR-Ec",5,"logit_R ~ s(TMP_scaled_lag, k = 5, bs = 'cr') + s(PREC_scaled_lag, k = 5, bs = 'cr') + s(HUM_scaled_lag, k = 5, bs = 'cr') + s(WET_scaled_lag, k = 5, bs = 'cr') + s(PLS_Comp1, k = 5, bs = 'cr') + s(PLS_Comp2, k = 5, bs = 'cr') + s(PLS_Comp3, k = 5, bs = 'cr') + s(lat, lon, bs = 'sos', k = 10) + s(year, bs = 'cr', k = 5) + s(Region, bs = 're') + climate_zone",10,5
"3GCR-Ec",8,"logit_R ~ s(TMP_scaled_lag, k = 8, bs = 'cr') + s(PREC_scaled_lag, k = 8, bs = 'cr') + s(HUM_scaled_lag, k = 8, bs = 'cr') + s(WET_scaled_lag, k = 8, bs = 'cr') + s(PLS_Comp1, k = 8, bs = 'cr') + s(PLS_Comp2, k = 8, bs = 'cr') + s(PLS_Comp3, k = 8, bs = 'cr') + s(lat, lon, bs = 'sos', k = 16) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",16,8
"3GCR-Ec",10,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(WET_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",20,8
"3GCR-Ec",12,"logit_R ~ s(TMP_scaled_lag, k = 12, bs = 'cr') + s(PREC_scaled_lag, k = 12, bs = 'cr') + s(HUM_scaled_lag, k = 12, bs = 'cr') + s(WET_scaled_lag, k = 12, bs = 'cr') + s(PLS_Comp1, k = 12, bs = 'cr') + s(PLS_Comp2, k = 12, bs = 'cr') + s(PLS_Comp3, k = 12, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",20,8
"3GCR-Kp",4,"logit_R ~ s(TMP_scaled_lag, k = 4, bs = 'cr') + s(PREC_scaled_lag, k = 4, bs = 'cr') + s(HUM_scaled_lag, k = 4, bs = 'cr') + s(WET_scaled_lag, k = 4, bs = 'cr') + s(PLS_Comp1, k = 4, bs = 'cr') + s(PLS_Comp2, k = 4, bs = 'cr') + s(PLS_Comp3, k = 4, bs = 'cr') + s(PLS_Comp4, k = 4, bs = 'cr') + s(lat, lon, bs = 'sos', k = 8) + s(year, bs = 'cr', k = 4) + s(Region, bs = 're') + climate_zone",8,4
"3GCR-Kp",5,"logit_R ~ s(TMP_scaled_lag, k = 5, bs = 'cr') + s(PREC_scaled_lag, k = 5, bs = 'cr') + s(HUM_scaled_lag, k = 5, bs = 'cr') + s(WET_scaled_lag, k = 5, bs = 'cr') + s(PLS_Comp1, k = 5, bs = 'cr') + s(PLS_Comp2, k = 5, bs = 'cr') + s(PLS_Comp3, k = 5, bs = 'cr') + s(PLS_Comp4, k = 5, bs = 'cr') + s(lat, lon, bs = 'sos', k = 10) + s(year, bs = 'cr', k = 5) + s(Region, bs = 're') + climate_zone",10,5
"3GCR-Kp",8,"logit_R ~ s(TMP_scaled_lag, k = 8, bs = 'cr') + s(PREC_scaled_lag, k = 8, bs = 'cr') + s(HUM_scaled_lag, k = 8, bs = 'cr') + s(WET_scaled_lag, k = 8, bs = 'cr') + s(PLS_Comp1, k = 8, bs = 'cr') + s(PLS_Comp2, k = 8, bs = 'cr') + s(PLS_Comp3, k = 8, bs = 'cr') + s(PLS_Comp4, k = 8, bs = 'cr') + s(lat, lon, bs = 'sos', k = 16) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",16,8
"3GCR-Kp",10,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(WET_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(PLS_Comp4, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",20,8
"3GCR-Kp",12,"logit_R ~ s(TMP_scaled_lag, k = 12, bs = 'cr') + s(PREC_scaled_lag, k = 12, bs = 'cr') + s(HUM_scaled_lag, k = 12, bs = 'cr') + s(WET_scaled_lag, k = 12, bs = 'cr') + s(PLS_Comp1, k = 12, bs = 'cr') + s(PLS_Comp2, k = 12, bs = 'cr') + s(PLS_Comp3, k = 12, bs = 'cr') + s(PLS_Comp4, k = 12, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",20,8
