"AMR_Strain","k_Value","R2","Explained_Deviance_pct","AIC","BIC","Effective_df","n_samples","PLS_Components"
"3GCR-Ec",4,0.84,84.667,1033.621,1190.011,31.088,691,"PLS_Comp1, PLS_Comp2, PLS_Comp3"
"3GCR-Ec",5,0.857,86.435,964.456,1155.992,38.051,691,"PLS_Comp1, PLS_Comp2, PLS_Comp3"
"3GCR-Ec",8,0.866,87.548,940.968,1213.491,51.26,691,"PLS_Comp1, PLS_Comp2, PLS_Comp3"
"3GCR-Ec",10,0.872,88.171,916.017,1212.372,55.6,691,"PLS_Comp1, PLS_Comp2, PLS_Comp3"
"3GCR-Ec",12,0.871,88.173,920.068,1225.827,56.631,691,"PLS_Comp1, PLS_Comp2, PLS_Comp3"
"3GCR-Kp",4,0.879,88.504,-93.438,52.07,30.173,545,"PLS_Comp1, PLS_Comp2, PLS_Comp3, PLS_Comp4"
"3GCR-Kp",5,0.891,89.802,-140.056,45.693,37.42,545,"PLS_Comp1, PLS_Comp2, PLS_Comp3, PLS_Comp4"
"3GCR-Kp",8,0.903,91.128,-190.146,51.134,47.369,545,"PLS_Comp1, PLS_Comp2, PLS_Comp3, PLS_Comp4"
"3GCR-Kp",10,0.905,91.379,-197.817,60.618,50.122,545,"PLS_Comp1, PLS_Comp2, PLS_Comp3, PLS_Comp4"
"3GCR-Kp",12,0.908,91.717,-211.031,65.768,53.431,545,"PLS_Comp1, PLS_Comp2, PLS_Comp3, PLS_Comp4"
"CR-Ab",4,0.899,90.799,90.257,201.073,26.132,294,"PLS_Comp1, PLS_Comp2, PLS_Comp3, PLS_Comp4"
"CR-Ab",5,0.903,91.278,85.043,215.2,30.054,294,"PLS_Comp1, PLS_Comp2, PLS_Comp3, PLS_Comp4"
"CR-Ab",8,0.925,93.582,21.786,201.523,41.622,294,"PLS_Comp1, PLS_Comp2, PLS_Comp3, PLS_Comp4"
"CR-Ab",10,0.936,94.634,-15.722,191.905,48.348,294,"PLS_Comp1, PLS_Comp2, PLS_Comp3, PLS_Comp4"
"CR-Ab",12,0.936,94.539,-17.561,177.174,45.205,294,"PLS_Comp1, PLS_Comp2, PLS_Comp3, PLS_Comp4"
"CR-Ec",4,0.749,75.758,-1175.998,-1058.253,22.946,621,"PLS_Comp1, PLS_Comp2, PLS_Comp3"
"CR-Ec",5,0.752,76.183,-1178.44,-1041.757,26.264,621,"PLS_Comp1, PLS_Comp2, PLS_Comp3"
"CR-Ec",8,0.79,80.463,-1260.76,-1033.871,44.149,621,"PLS_Comp1, PLS_Comp2, PLS_Comp3"
"CR-Ec",10,0.818,83.293,-1339.682,-1072.39,52.563,621,"PLS_Comp1, PLS_Comp2, PLS_Comp3"
"CR-Ec",12,0.834,84.718,-1398.396,-1138.491,51.297,621,"PLS_Comp1, PLS_Comp2, PLS_Comp3"
"CR-Kp",4,0.706,72.12,383.651,515.771,27.346,521,"PLS_Comp1, PLS_Comp2, PLS_Comp3"
"CR-Kp",5,0.716,73.271,372.306,527.02,31.547,521,"PLS_Comp1, PLS_Comp2, PLS_Comp3"
"CR-Kp",8,0.778,79.643,258.357,472.51,43.224,521,"PLS_Comp1, PLS_Comp2, PLS_Comp3"
"CR-Kp",10,0.789,80.919,241.266,490.827,50.163,521,"PLS_Comp1, PLS_Comp2, PLS_Comp3"
"CR-Kp",12,0.794,81.408,233.746,496.076,52.309,521,"PLS_Comp1, PLS_Comp2, PLS_Comp3"
"CR-Pa",4,0.831,83.94,-243.189,-119.207,25.168,494,"PLS_Comp1, PLS_Comp2, PLS_Comp3, PLS_Comp4"
"CR-Pa",5,0.833,84.238,-241.892,-95.801,28.772,494,"PLS_Comp1, PLS_Comp2, PLS_Comp3, PLS_Comp4"
"CR-Pa",8,0.838,84.857,-250.334,-80.381,32.908,494,"PLS_Comp1, PLS_Comp2, PLS_Comp3, PLS_Comp4"
"CR-Pa",10,0.846,85.717,-269.004,-77.547,37.293,494,"PLS_Comp1, PLS_Comp2, PLS_Comp3, PLS_Comp4"
"CR-Pa",12,0.846,85.747,-268.499,-73.811,37.878,494,"PLS_Comp1, PLS_Comp2, PLS_Comp3, PLS_Comp4"
