"Bacteria","Model","Climate_Variable","Lag_Years","x_value","x_scaled","OR","Lower_95CI","Upper_95CI","Relationship_Type"
"3GCR-Ec","Model A","Temperature",3,-10,-3.27710256243432,0.71938325881148,0.506086372796794,1.01617229341093,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-9.9582985821518,-3.2711394408418,0.720235389696078,0.507660476267769,1.01573012261716,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-9.91659716430359,-3.26517631924929,0.721088013562861,0.509231789097446,1.01529416558605,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-9.87489574645538,-3.25921319765678,0.721941135365157,0.510800330785375,1.01486442697637,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-9.83319432860718,-3.25325007606427,0.722794760056295,0.512366120831104,1.01444091144686,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-9.79149291075897,-3.24728695447175,0.723648892589603,0.513929178734183,1.0140236236563,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-9.74979149291076,-3.24132383287924,0.72450353791841,0.515489523994161,1.01361256826345,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-9.70809007506256,-3.23536071128673,0.725358700996045,0.517047176110587,1.01320774992705,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-9.66638865721435,-3.22939758969421,0.726214386775836,0.51860215458301,1.01280917330589,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-9.62468723936614,-3.2234344681017,0.727070600211112,0.520154478910979,1.0124168430587,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-9.58298582151793,-3.21747134650919,0.727927346255202,0.521704168594043,1.01203076384426,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-9.54128440366973,-3.21150822491667,0.728784629861433,0.523251243131751,1.01165094032133,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-9.49958298582152,-3.20554510332416,0.729642455983134,0.524795722023653,1.01127737714866,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-9.45788156797331,-3.19958198173165,0.730500829573635,0.526337624769297,1.01091007898502,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-9.41618015012511,-3.19361886013914,0.731359755586263,0.527876970868233,1.01054905048916,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-9.3744787322769,-3.18765573854662,0.732219238974348,0.529413779820009,1.01019429631985,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-9.33277731442869,-3.18169261695411,0.733079284691217,0.530948071124175,1.00984582113585,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-9.29107589658049,-3.1757294953616,0.7339398976902,0.53247986428028,1.00950362959591,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-9.24937447873228,-3.16976637376908,0.734801082924625,0.534009178787872,1.0091677263588,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-9.20767306088407,-3.16380325217657,0.73566284534782,0.535536034146502,1.00883811608328,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-9.16597164303587,-3.15784013058406,0.736525189913115,0.537060449855718,1.00851480342811,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-9.12427022518766,-3.15187700899155,0.737388121573837,0.538582445415068,1.00819779305204,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-9.08256880733945,-3.14591388739903,0.738251645283316,0.540102040324103,1.00788708961385,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-9.04086738949125,-3.13995076580652,0.739115765994879,0.541619254082371,1.00758269777228,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-8.99916597164304,-3.13398764421401,0.739980488661856,0.543134106189422,1.0072846221861,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-8.95746455379483,-3.12802452262149,0.740845818237575,0.544646616144804,1.00699286751408,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-8.91576313594662,-3.12206140102898,0.741711759675365,0.546156803448066,1.00670743841496,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-8.87406171809842,-3.11609827943647,0.742578317928554,0.547664687598759,1.00642833954751,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-8.83236030025021,-3.11013515784395,0.74344549795047,0.549170288096429,1.0061555755705,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-8.790658882402,-3.10417203625144,0.744313304694443,0.550673624440628,1.00588915114267,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-8.7489574645538,-3.09820891465893,0.745181743113802,0.552174716130904,1.0056290709228,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-8.70725604670559,-3.09224579306642,0.746050818161873,0.553673582666805,1.00537533956964,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-8.66555462885738,-3.0862826714739,0.746920534791987,0.555170243547881,1.00512796174195,"Threshold"
"3GCR-Ec","Model A","Temperature",3,-8.62385321100918,-3.08031954988139,0.747790897957472,0.556664718273682,1.00488694209849,"Threshold"
