"Bacteria","Model","Climate_Variable","x_value","Density","Scaled_Density"
"3GCR-Ec","Model A","Temperature",-6.54658904421483,5.48984014547878e-06,2.30017536154302e-05
"3GCR-Ec","Model A","Temperature",-6.47086853914941,6.57445369685561e-06,2.75461507227435e-05
"3GCR-Ec","Model A","Temperature",-6.39514803408399,7.83079462088043e-06,3.28100643569502e-05
"3GCR-Ec","Model A","Temperature",-6.31942752901857,9.35157127975563e-06,3.91819311298567e-05
"3GCR-Ec","Model A","Temperature",-6.24370702395315,1.1119284610065e-05,4.65884321224172e-05
"3GCR-Ec","Model A","Temperature",-6.16798651888773,1.31522145442468e-05,5.5106157998642e-05
"3GCR-Ec","Model A","Temperature",-6.09226601382231,1.54778532686141e-05,6.48502976309144e-05
"3GCR-Ec","Model A","Temperature",-6.01654550875689,1.81269227015903e-05,7.59495720711128e-05
"3GCR-Ec","Model A","Temperature",-5.94082500369147,2.1273219569939e-05,8.91321681848368e-05
"3GCR-Ec","Model A","Temperature",-5.86510449862605,2.48420920911976e-05,0.000104085304204011
"3GCR-Ec","Model A","Temperature",-5.78938399356063,2.88702544311731e-05,0.000120962807958538
"3GCR-Ec","Model A","Temperature",-5.71366348849521,3.33954127630276e-05,0.000139922663666878
"3GCR-Ec","Model A","Temperature",-5.63794298342979,3.84860069790044e-05,0.000161251626042671
"3GCR-Ec","Model A","Temperature",-5.56222247836437,4.43570507575916e-05,0.000185850575899468
"3GCR-Ec","Model A","Temperature",-5.48650197329895,5.08897572023687e-05,0.000213221810781134
"3GCR-Ec","Model A","Temperature",-5.41078146823353,5.81261051629851e-05,0.000243541216894024
"3GCR-Ec","Model A","Temperature",-5.33506096316811,6.61079236748782e-05,0.000276984052741411
"3GCR-Ec","Model A","Temperature",-5.25934045810269,7.49570372747763e-05,0.00031406074811795
"3GCR-Ec","Model A","Temperature",-5.18361995303727,8.4878075435489e-05,0.000355628675295197
"3GCR-Ec","Model A","Temperature",-5.10789944797185,9.57059519063955e-05,0.000400996143229072
"3GCR-Ec","Model A","Temperature",-5.03217894290643,0.000107475135209836,0.000450307570780112
"3GCR-Ec","Model A","Temperature",-4.95645843784101,0.000120217978494049,0.000503698513652085
"3GCR-Ec","Model A","Temperature",-4.88073793277559,0.000134108818961893,0.000561899423238812
"3GCR-Ec","Model A","Temperature",-4.80501742771017,0.000149262803140653,0.000625392749298409
"3GCR-Ec","Model A","Temperature",-4.72929692264475,0.00016548086472947,0.000693344428564163
"3GCR-Ec","Model A","Temperature",-4.65357641757933,0.000182771444923145,0.00076578982860196
"3GCR-Ec","Model A","Temperature",-4.57785591251391,0.000201138620390645,0.000842746030152335
