"Bacterial_Species","Model","Climate_Variable","Lag_Years","Term","Effective_DF","Ref_df","F_value","p_value","Significance"
"3GCR-Ec","Model A","Humidity",2,"s(HUM_scaled_lag)",4.57105862883211,9,1.5159091958359,0.00532869722836282,"**"
"3GCR-Ec","Model A","Precipitation",2,"s(PREC_scaled_lag)",2.96095999679388,9,2.36021769948067,2.11634585967069e-05,"***"
"3GCR-Ec","Model A","Temperature",3,"s(TMP_scaled_lag)",2.40302668224549,4,5.22816508424564,7.64573880962516e-05,"***"
"3GCR-Kp","Model A","Humidity",3,"s(HUM_scaled_lag)",2.88457510121163,9,1.87874035220666,0.000247782422017062,"***"
"3GCR-Kp","Model A","Precipitation",3,"s(PREC_scaled_lag)",4.62349340729598,9,8.00544112862269,0,"***"
"3GCR-Kp","Model A","Temperature",2,"s(TMP_scaled_lag)",2.41330106567326,4,5.04033777886608,1.51299649895353e-05,"***"
"CR-Ab","Model A","Humidity",3,"s(HUM_scaled_lag)",0.24598590626628,7,0.049721864063023,0.23342187363767,""
"CR-Ab","Model A","Precipitation",2,"s(PREC_scaled_lag)",2.66873164579331,9,1.38921921480505,0.00206923271724146,"**"
"CR-Ab","Model A","Temperature",1,"s(TMP_scaled_lag)",2.75450349558109,4,19.6004195275009,0,"***"
"CR-Ec","Model A","Humidity",2,"s(HUM_scaled_lag)",4.81021792218757e-05,9,2.68817298656187e-07,0.993253521763836,""
"CR-Ec","Model A","Precipitation",3,"s(PREC_scaled_lag)",4.45851325773216e-05,9,2.03668941857973e-06,0.605510445847689,""
"CR-Ec","Model A","Temperature",3,"s(TMP_scaled_lag)",2.21614960733033,4,2.96632422614621,0.00223855619002999,"**"
"CR-Kp","Model A","Humidity",2,"s(HUM_scaled_lag)",1.34691039840237,9,0.234654170400926,0.136223845513677,""
"CR-Kp","Model A","Precipitation",2,"s(PREC_scaled_lag)",3.32468432850941,9,2.04824886982642,0.000130453245664297,"***"
"CR-Kp","Model A","Temperature",3,"s(TMP_scaled_lag)",1.53663417266415,4,1.15136021072591,0.027536622828817,"*"
"CR-Pa","Model A","Humidity",2,"s(HUM_scaled_lag)",4.54306559908802e-06,9,3.36814482619027e-07,0.440736331553602,""
"CR-Pa","Model A","Precipitation",3,"s(PREC_scaled_lag)",2.50293112098101,9,2.60874346732132,0.000423968818848319,"***"
"CR-Pa","Model A","Temperature",1,"s(TMP_scaled_lag)",8.6314858345089e-07,4,5.87441721218706e-09,0.986677883257328,""
