"Bacteria","Model","Climate_Variable","Lag_Years","x_value","x_scaled","OR","Lower_95CI","Upper_95CI","Relationship_Type"
"3GCR-Ec","Model B","Temperature",1,-10,-3.27710256243432,0.686256356057658,0.498701438488076,0.939549259951541,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-9.9582985821518,-3.2711394408418,0.687678045569853,0.500624133659239,0.940059294546436,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-9.91659716430359,-3.26517631924929,0.689099220054907,0.502543782427634,0.940573117712461,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-9.87489574645538,-3.25921319765678,0.690519911141751,0.504460427253376,0.941090759288904,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-9.83319432860718,-3.25325007606427,0.691940150459315,0.506374110596578,0.941612249115054,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-9.79149291075897,-3.24728695447175,0.693359969636531,0.508284874917354,0.942137617030199,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-9.74979149291076,-3.24132383287924,0.694779400302329,0.510192762675818,0.942666892873628,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-9.70809007506256,-3.23536071128673,0.69619847408564,0.512097816332083,0.943200106484631,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-9.66638865721435,-3.22939758969421,0.697617222615395,0.514000078346263,0.943737287702495,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-9.62468723936614,-3.2234344681017,0.699035677520524,0.515899591178472,0.94427846636651,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-9.58298582151793,-3.21747134650919,0.700453870429959,0.517796397288823,0.944823672315964,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-9.54128440366973,-3.21150822491667,0.701871832972631,0.51969053913743,0.945372935390147,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-9.49958298582152,-3.20554510332416,0.703289596777469,0.521582059184407,0.945926285428347,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-9.45788156797331,-3.19958198173165,0.704707193473405,0.523470999889868,0.946483752269852,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-9.41618015012511,-3.19361886013914,0.70612465468937,0.525357403713925,0.947045365753953,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-9.3744787322769,-3.18765573854662,0.707542012054295,0.527241313116694,0.947611155719936,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-9.33277731442869,-3.18169261695411,0.70895929719711,0.529122770558287,0.948181152007093,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-9.29107589658049,-3.1757294953616,0.710376541746746,0.531001818498818,0.94875538445471,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-9.24937447873228,-3.16976637376908,0.711793777332135,0.532878499398401,0.949333882902077,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-9.20767306088407,-3.16380325217657,0.713211035582206,0.53475285571715,0.949916677188483,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-9.16597164303587,-3.15784013058406,0.71462834812589,0.536624929915178,0.950503797153216,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-9.12427022518766,-3.15187700899155,0.71604574659212,0.538494764452599,0.951095272635565,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-9.08256880733945,-3.14591388739903,0.717463262609824,0.540362401789527,0.95169113347482,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-9.04086738949125,-3.13995076580652,0.718880927807934,0.542227884386076,0.952291409510268,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-8.99916597164304,-3.13398764421401,0.720298773815382,0.544091254702358,0.952896130581199,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-8.95746455379483,-3.12802452262149,0.721716832261097,0.545952555198488,0.953505326526902,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-8.91576313594662,-3.12206140102898,0.72313513477401,0.54781182833458,0.954119027186665,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-8.87406171809842,-3.11609827943647,0.724553712983053,0.549669116570747,0.954737262399777,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-8.83236030025021,-3.11013515784395,0.725972598517156,0.551524462367102,0.955360062005526,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-8.790658882402,-3.10417203625144,0.72739182300525,0.553377908183761,0.955987455843203,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-8.7489574645538,-3.09820891465893,0.728811418076266,0.555229496480835,0.956619473752095,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-8.70725604670559,-3.09224579306642,0.730231415359134,0.557079269718439,0.957256145571491,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-8.66555462885738,-3.0862826714739,0.731651846482786,0.558927270356688,0.95789750114068,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-8.62385321100918,-3.08031954988139,0.733072743076152,0.560773540855693,0.958543570298951,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-8.58215179316097,-3.07435642828888,0.734494136768163,0.562618123675569,0.959194382885593,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-8.54045037531276,-3.06839330669636,0.73591605918775,0.56446106127643,0.959849968739895,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-8.49874895746455,-3.06243018510385,0.737338541963844,0.56630239611839,0.960510357701144,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-8.45704753961635,-3.05646706351134,0.738761616725375,0.568142170661562,0.961175579608631,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-8.41534612176814,-3.05050394191883,0.740184992754032,0.569979987500074,0.961845369688492,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-8.37364470391994,-3.04454082032631,0.741608352657373,0.571815413407985,0.962519437947822,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-8.33194328607173,-3.0385776987338,0.743031688053137,0.573648437115303,0.963197776397347,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-8.29024186822352,-3.03261457714129,0.74445499055906,0.575479047352037,0.963880377047791,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-8.24854045037531,-3.02665145554877,0.745878251792879,0.577307232848195,0.964567231909879,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-8.20683903252711,-3.02068833395626,0.74730146337233,0.579132982333785,0.965258332994335,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-8.1651376146789,-3.01472521236375,0.748724616915151,0.580956284538816,0.965953672311886,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-8.12343619683069,-3.00876209077124,0.750147704039079,0.582777128193296,0.966653241873255,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-8.08173477898249,-3.00279896917872,0.75157071636185,0.584595502027234,0.967357033689168,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-8.04003336113428,-2.99683584758621,0.752993645501203,0.586411394770638,0.96806503977035,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-7.99833194328607,-2.9908727259937,0.754416483074872,0.588224795153515,0.968777252127524,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-7.95663052543787,-2.98490960440118,0.755839220700597,0.590035691905876,0.969493662771418,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-7.91492910758966,-2.97894648280867,0.757261849996112,0.591844073757728,0.970214263712754,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-7.87322768974145,-2.97298336121616,0.758684362579156,0.593649929439079,0.970939046962259,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-7.83152627189325,-2.96702023962365,0.760106750067466,0.595453247679938,0.971668004530657,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-7.78982485404504,-2.96105711803113,0.761529004078778,0.597254017210313,0.972401128428673,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-7.74812343619683,-2.95509399643862,0.762951116230829,0.599052226760213,0.973138410667032,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-7.70642201834863,-2.94913087484611,0.764373078141357,0.600847865059645,0.973879843256458,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-7.66472060050042,-2.94316775325359,0.765794881428097,0.60264092083862,0.974625418207677,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-7.62301918265221,-2.93720463166108,0.767216517708788,0.604431382827144,0.975375127531414,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-7.58131776480401,-2.93124151006857,0.768637978601166,0.606219239755226,0.976128963238394,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-7.5396163469558,-2.92527838847605,0.770059255722968,0.608004480352874,0.976886917339341,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-7.49791492910759,-2.91931526688354,0.771480340691931,0.609787093350098,0.97764898184498,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-7.45621351125938,-2.91335214529103,0.772901225125792,0.611567067476905,0.978415148766036,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-7.41451209341118,-2.90738902369852,0.774321900642287,0.613344391463303,0.979185410113235,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-7.37281067556297,-2.901425902106,0.775742358859155,0.615119054039302,0.9799597578973,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-7.33110925771476,-2.89546278051349,0.777162591394131,0.616891043934909,0.980738184128958,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-7.28940783986656,-2.88949965892098,0.778582589864954,0.618660349880133,0.981520680818933,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-7.24770642201835,-2.88353653732846,0.780002345889359,0.620426960604982,0.982307239977949,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-7.20600500417014,-2.87757341573595,0.781421851085084,0.622190864839465,0.983097853616732,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-7.16430358632194,-2.87161029414344,0.782841097069865,0.62395205131359,0.983892513746007,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-7.12260216847373,-2.86564717255093,0.78426007546144,0.625710508757365,0.984691212376498,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-7.08090075062552,-2.85968405095841,0.785678777877545,0.627466225900799,0.98549394151893,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-7.03919933277732,-2.8537209293659,0.787097195935918,0.6292191914739,0.986300693184029,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-6.99749791492911,-2.84775780777339,0.788515321254296,0.630969394206677,0.987111459382519,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-6.95579649708091,-2.84179468618087,0.789933145450414,0.632716822829137,0.987926232125125,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-6.91409507923269,-2.83583156458836,0.791350660142012,0.63446146607129,0.988745003422572,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-6.87239366138449,-2.82986844299585,0.792768313774929,0.636203854919626,0.989568281943183,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-6.83069224353628,-2.82390532140333,0.794186529607531,0.637944491927684,0.990396546225982,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-6.78899082568807,-2.81794219981082,0.795605261476335,0.639683323176046,0.991229743087752,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-6.74728940783987,-2.81197907821831,0.79702446321786,0.641420294745291,0.992067819345272,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-6.70558798999166,-2.8060159566258,0.798444088668627,0.643155352716001,0.992910721815324,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-6.66388657214346,-2.80005283503328,0.799864091665152,0.644888443168756,0.993758397314689,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-6.62218515429525,-2.79408971344077,0.801284426043956,0.646619512184137,0.994610792660146,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-6.58048373644704,-2.78812659184826,0.802705045641557,0.648348505842725,0.995467854668477,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-6.53878231859884,-2.78216347025574,0.804125904294474,0.6500753702251,0.996329530156463,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-6.49708090075063,-2.77620034866323,0.805546955839225,0.651800051411844,0.997195765940885,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-6.45537948290242,-2.77023722707072,0.806968154112331,0.653522495483537,0.998066508838523,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-6.41367806505422,-2.76427410547821,0.808389452950309,0.655242648520759,0.998941705666158,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-6.37197664720601,-2.75831098388569,0.809810806189678,0.656960456604092,0.999821303240571,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-6.3302752293578,-2.75234786229318,0.811232167666958,0.658675865814116,1.00070524837854,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-6.28857381150959,-2.74638474070067,0.812653491218668,0.660388822231413,1.00159348789685,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-6.24687239366139,-2.74042161910815,0.814074730681325,0.662099271936562,1.00248596861228,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-6.20517097581318,-2.73445849751564,0.815495839891449,0.663807161010144,1.00338263734162,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-6.16346955796497,-2.72849537592313,0.81691677268556,0.665512435532741,1.00428344090163,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-6.12176814011677,-2.72253225433062,0.818337482900175,0.667215041584933,1.0051883261091,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-6.08006672226856,-2.7165691327381,0.819757924371813,0.668914925247301,1.00609723978082,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-6.03836530442035,-2.71060601114559,0.821178050936995,0.670612032600425,1.00701012873357,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-5.99666388657215,-2.70464288955308,0.822597816432238,0.672306309724886,1.00792693978412,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-5.95496246872394,-2.69867976796056,0.824017174694061,0.673997702701265,1.00884761974925,"Threshold"
"3GCR-Ec","Model B","Temperature",1,-5.91326105087573,-2.69271664636805,0.825436079558983,0.675686157610144,1.00977211544575,"Threshold"
