"Bacterial_Species","Model","Climate_Variable","Lag_Years","Term","Effective_DF","Ref_df","F_value","p_value","Significance"
"3GCR-Ec","Model B","Precipitation",3,"s(PREC_scaled_lag)",3.34785894763257,9,2.98689749085499,2.35161628858727e-06,"***"
"3GCR-Ec","Model B","Temperature",1,"s(TMP_scaled_lag)",2.10496703647123,4,4.03752654614288,0.000106389057678014,"***"
"3GCR-Ec","Model B","Wet Days",2,"s(WET_scaled_lag)",4.34789401679504,9,2.6797382598752,3.65688425936206e-05,"***"
"3GCR-Kp","Model B","Precipitation",1,"s(PREC_scaled_lag)",4.60287610472265,9,7.77990348816453,0,"***"
"3GCR-Kp","Model B","Temperature",3,"s(TMP_scaled_lag)",2.04501173106357,4,2.41133190208709,0.00289348329295191,"**"
"3GCR-Kp","Model B","Wet Days",3,"s(WET_scaled_lag)",0.000374250761135161,9,3.81498319298419e-05,0.312687932888263,""
"CR-Ab","Model B","Precipitation",3,"s(PREC_scaled_lag)",1.33960319388759,9,0.574916093212878,0.0140342630763526,"*"
"CR-Ab","Model B","Temperature",1,"s(TMP_scaled_lag)",2.70632338193498,4,16.7878898447435,0,"***"
"CR-Ab","Model B","Wet Days",2,"s(WET_scaled_lag)",0.615963315166449,9,0.108901511977046,0.173587467721148,""
"CR-Ec","Model B","Precipitation",3,"s(PREC_scaled_lag)",0.00025306542332119,9,6.86948548719877e-06,0.727938748940861,""
"CR-Ec","Model B","Temperature",3,"s(TMP_scaled_lag)",2.25161747082403,4,3.30735541835779,0.000865972230349232,"***"
"CR-Ec","Model B","Wet Days",1,"s(WET_scaled_lag)",2.83976643132333,9,1.66383497596079,0.000710385964095561,"***"
"CR-Kp","Model B","Precipitation",2,"s(PREC_scaled_lag)",0.691012049064626,9,0.296861322611545,0.0489464217869865,"*"
"CR-Kp","Model B","Temperature",3,"s(TMP_scaled_lag)",2.35305735462335,4,3.75529602341842,0.000367795372491431,"***"
"CR-Kp","Model B","Wet Days",2,"s(WET_scaled_lag)",5.78376159431655,9,6.07211032818894,0,"***"
"CR-Pa","Model B","Precipitation",1,"s(PREC_scaled_lag)",2.60305178540117,9,2.06363225302646,2.36575575870424e-05,"***"
"CR-Pa","Model B","Temperature",2,"s(TMP_scaled_lag)",0.619576695102304,4,0.251868074980777,0.12306763285334,""
"CR-Pa","Model B","Wet Days",1,"s(WET_scaled_lag)",2.13743076692685,9,1.17770724802766,0.000506514686139825,"***"
