"AMR strain","Climate variable","PLS (Model C)","PCA","Theory-selected covariates","PLS-informed top covariates"
"3GCR-Ec","Temperature","EDF=2 ** [2.109]","EDF=1.91 ** [2.017]","EDF=2.13 *** [2.654]","EDF=2.21 *** [2.797]"
"3GCR-Ec","Precipitation","EDF=3.24 *** [1.967]","EDF=3.27 *** [2.325]","EDF=3.3 ** [3.037]","EDF=3.49 *** [3.702]"
"3GCR-Ec","Relative Humidity","EDF=0 ns [1]","EDF=3.51 *** [3.646]","EDF=4.39 ** [2.202]","EDF=4.54 ** [2.01]"
"3GCR-Ec","Wet days","EDF=4.66 *** [1.5]","EDF=3.48 *** [1.669]","EDF=0.58 ns [1.288]","EDF=0.57 ns [1.282]"
"3GCR-Kp","Temperature","EDF=2.3 *** [1.433]","EDF=3.57 *** [3.388]","EDF=2.37 ** [1.342]","EDF=1.27 † [1.167]"
"3GCR-Kp","Precipitation","EDF=5.54 *** [2.967]","EDF=4.66 *** [2.496]","EDF=4.71 *** [3.375]","EDF=4.47 *** [2.501]"
"3GCR-Kp","Relative Humidity","EDF=2.19 ** [1.253]","EDF=2.66 * [1.167]","EDF=2.52 *** [1.3]","EDF=2.06 ** [1.329]"
"3GCR-Kp","Wet days","EDF=0 ns [1]","EDF=5.06 *** [1.663]","EDF=2.87 ** [1.339]","EDF=2.79 ** [1.32]"
"CR-Ab","Temperature","EDF=2.78 *** [18.832]","EDF=3.58 *** [7.087]","EDF=2.86 *** [34.026]","EDF=2.86 *** [42.944]"
"CR-Ab","Precipitation","EDF=2.22 ** [1.215]","EDF=0 ns [1]","EDF=2.52 * [1.29]","EDF=1.66 * [1.208]"
"CR-Ab","Relative Humidity","EDF=0 ns [1]","EDF=0 ns [1]","EDF=0 ns [1]","EDF=0 ns [1]"
"CR-Ab","Wet days","EDF=1.12 * [1.283]","EDF=3.04 ** [1.562]","EDF=0.84 † [1.207]","EDF=1.27 * [1.343]"
"CR-Ec","Temperature","EDF=2.21 *** [1.113]","EDF=2.07 ** [1.098]","EDF=2.36 *** [1.121]","EDF=2.34 *** [1.117]"
"CR-Ec","Precipitation","EDF=0.63 † [1.052]","EDF=0 ns [1]","EDF=0.32 ns [1.024]","EDF=0.47 ns [1.039]"
"CR-Ec","Relative Humidity","EDF=0 ns [1]","EDF=0.31 ns [1.019]","EDF=0 ns [1]","EDF=0 ns [1]"
"CR-Ec","Wet days","EDF=3.75 *** [1.174]","EDF=4.22 *** [1.08]","EDF=3.47 *** [1.136]","EDF=3.3 *** [1.12]"
"CR-Kp","Temperature","EDF=2.82 *** [1.438]","EDF=3.53 *** [2.446]","EDF=2.59 *** [1.426]","EDF=2.7 *** [1.543]"
"CR-Kp","Precipitation","EDF=2.19 * [1.254]","EDF=1.35 * [1.278]","EDF=0 ns [1]","EDF=0 ns [1]"
"CR-Kp","Relative Humidity","EDF=0.2 ns [1.048]","EDF=5.74 *** [1.538]","EDF=3.22 *** [1.815]","EDF=3.02 *** [1.751]"
"CR-Kp","Wet days","EDF=5.36 *** [1.641]","EDF=4.83 *** [1.38]","EDF=5.92 *** [2.017]","EDF=5.83 *** [1.859]"
"CR-Pa","Temperature","EDF=1 * [1.172]","EDF=1.09 * [1.207]","EDF=3.01 *** [1.956]","EDF=3.51 *** [3.588]"
"CR-Pa","Precipitation","EDF=3.14 *** [1.346]","EDF=2.04 ** [1.197]","EDF=2.39 * [1.144]","EDF=0 ns [1]"
"CR-Pa","Relative Humidity","EDF=0 ns [1]","EDF=0.24 ns [1.049]","EDF=3.63 *** [2.718]","EDF=4.18 *** [2.935]"
"CR-Pa","Wet days","EDF=3.07 *** [1.811]","EDF=2.99 *** [1.66]","EDF=1.54 * [1.365]","EDF=0.78 * [1.241]"
