"Bacteria","Spec","Variable","term","EDF","F_stat","p_value","Sig","Retained","OR_range"
"3GCR-Ec","PLS (main)","Temperature","s(TMP_scaled_lag)",2,2.686,0.00107062179246142,"**","Yes",2.109
"3GCR-Ec","PLS (main)","Precipitation","s(PREC_scaled_lag)",3.24,2.414,1.91758011778287e-05,"***","Yes",1.967
"3GCR-Ec","PLS (main)","Relative Humidity","s(HUM_scaled_lag)",0,0,0.473825453124381,"ns","No",1
"3GCR-Ec","PLS (main)","Wet days","s(WET_scaled_lag)",4.66,2.906,2.37574977515198e-05,"***","Yes",1.5
"3GCR-Ec","PCA","Temperature","s(TMP_scaled_lag)",1.91,1.967,0.00254713698320974,"**","Yes",2.017
"3GCR-Ec","PCA","Precipitation","s(PREC_scaled_lag)",3.27,2.871,1.65242047212022e-06,"***","Yes",2.325
"3GCR-Ec","PCA","Relative Humidity","s(HUM_scaled_lag)",3.51,2.054,4.51146013622505e-05,"***","Yes",3.646
"3GCR-Ec","PCA","Wet days","s(WET_scaled_lag)",3.48,2.011,7.48043414300348e-05,"***","Yes",1.669
"3GCR-Ec","Theory-6","Temperature","s(TMP_scaled_lag)",2.13,4.471,4.83712593359886e-05,"***","Yes",2.654
"3GCR-Ec","Theory-6","Precipitation","s(PREC_scaled_lag)",3.3,1.599,0.00141247051230187,"**","Yes",3.037
"3GCR-Ec","Theory-6","Relative Humidity","s(HUM_scaled_lag)",4.39,1.729,0.0014204847087238,"**","Yes",2.202
"3GCR-Ec","Theory-6","Wet days","s(WET_scaled_lag)",0.58,0.157,0.109771985252508,"ns","Yes",1.288
"3GCR-Ec","Top6 from PLS1","Temperature","s(TMP_scaled_lag)",2.21,5.14,1.35865571987415e-05,"***","Yes",2.797
"3GCR-Ec","Top6 from PLS1","Precipitation","s(PREC_scaled_lag)",3.49,1.955,0.000323311678470883,"***","Yes",3.702
"3GCR-Ec","Top6 from PLS1","Relative Humidity","s(HUM_scaled_lag)",4.54,1.789,0.0014604254241235,"**","Yes",2.01
"3GCR-Ec","Top6 from PLS1","Wet days","s(WET_scaled_lag)",0.57,0.152,0.114870106173699,"ns","Yes",1.282
"3GCR-Kp","PLS (main)","Temperature","s(TMP_scaled_lag)",2.3,4.724,1.22202699377461e-05,"***","Yes",1.433
"3GCR-Kp","PLS (main)","Precipitation","s(PREC_scaled_lag)",5.54,8.726,0,"***","Yes",2.967
"3GCR-Kp","PLS (main)","Relative Humidity","s(HUM_scaled_lag)",2.19,1.038,0.00189562148866362,"**","Yes",1.253
"3GCR-Kp","PLS (main)","Wet days","s(WET_scaled_lag)",0,0,0.461080775404139,"ns","No",1
"3GCR-Kp","PCA","Temperature","s(TMP_scaled_lag)",3.57,11.315,0,"***","Yes",3.388
