"x","x_orig","fit","se","or","lo","hi","Spec","Bacteria","Variable","Variable_label"
-3.27710256243432,-10,-0.299327260417409,0.160414256276864,0.741316766099091,0.54132296376422,1.01519902994357,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-3.26277434041142,-9.8997995991984,-0.296620500200704,0.158900186282443,0.743326050928904,0.544403344199879,1.01493428333294,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-3.24844611838853,-9.79959919839679,-0.293913739983999,0.157390764314279,0.745340781778169,0.547496265652929,1.01467884957933,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-3.23411789636564,-9.69939879759519,-0.291206979767293,0.155886125390855,0.747360973407921,0.550601597149904,1.01443299014109,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-3.21978967434275,-9.59919839679359,-0.288500219550588,0.154386409357871,0.749386640619207,0.553719198917569,1.01419697607802,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-3.20546145231986,-9.49899799599198,-0.285793459333883,0.152891761081366,0.751417798253189,0.556848921989375,1.01397108844981,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-3.19113323029697,-9.39879759519038,-0.283086699117178,0.151402330648538,0.753454461191257,0.559990607794955,1.01375561873151,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-3.17680500827407,-9.29859719438878,-0.280379939102821,0.149918273747664,0.75549664420226,0.563144087429191,1.01355086938144,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-3.16247678625118,-9.19839679358717,-0.277673213198684,0.148439779961917,0.757544336560407,0.566309131059894,1.0133571761075,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-3.14814856422829,-9.09819639278557,-0.274966626434693,0.146967102755992,0.759597473277837,0.569485391520561,1.01317492950869,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-3.1338203422054,-8.99799599198397,-0.272260292861989,0.145500505731459,0.761655981670278,0.572672497021633,1.01300453126563,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-3.11949212018251,-8.89779559118237,-0.269554326531716,0.144040254948411,0.76371978814804,0.575870064481845,1.01284638807141,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-3.10516389815962,-8.79759519038076,-0.266848841495015,0.142586618941603,0.765788818209996,0.579077699363588,1.01270091170832,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-3.09083567613672,-8.69739478957916,-0.264143951803028,0.141139868732968,0.767862996437633,0.582294995513692,1.01256851911982,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-3.07650745411383,-8.59719438877756,-0.261439771506899,0.13970027784006,0.769942246489178,0.585521535010465,1.01244963247715,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-3.06217923209094,-8.49699398797595,-0.258736414657769,0.138268122279948,0.772026491093794,0.588756888017911,1.0123446792396,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-3.04785101006805,-8.39679358717435,-0.256033995306782,0.13684368056805,0.774115652045852,0.592000612648076,1.01225409220752,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-3.03352278804516,-8.29659318637275,-0.253332627505078,0.135427233711343,0.776209650199285,0.595252254832613,1.01217830956713,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-3.01919456602227,-8.19639278557114,-0.250632425303802,0.134019065195369,0.778308405462011,0.59851134820467,1.01211777492591,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-3.00486634399937,-8.09619238476954,-0.247933502754094,0.132619460964388,0.780411836790447,0.60177741399236,1.01207293733754,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.99053812197648,-7.99599198396794,-0.245235973907097,0.13122870939401,0.782519862184099,0.605049960925097,1.01204425131502,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.97620989995359,-7.89579158316633,-0.242539952813954,0.129847101255585,0.784632398680242,0.608328485154228,1.01203217683063,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.9618816779307,-7.79559118236473,-0.239845553525807,0.12847492967157,0.786749362348678,0.61161247018946,1.01203717930132,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.94755345590781,-7.69539078156313,-0.237152890093799,0.127112490061075,0.788870668286594,0.614901386852685,1.01205972955795,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.93322523388491,-7.59519038076152,-0.234462076569071,0.125760080074724,0.790996230613502,0.61819469325092,1.01210030379671,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.91889701186202,-7.49498997995992,-0.231773227002766,0.124417999517911,0.793125962466273,0.621491834770167,1.01215938351093,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.90456878983913,-7.39478957915832,-0.229086455446027,0.123086550261517,0.795259775994265,0.624792244092127,1.01223745540157,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.89024056781624,-7.29458917835671,-0.226401875949996,0.121766036139069,0.797397582354554,0.628095341235789,1.01233501126414,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.87591234579335,-7.19438877755511,-0.223719602565815,0.120456762829308,0.79953929170725,0.631400533626033,1.01245254785032,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.86158412377046,-7.09418837675351,-0.221039749344626,0.119159037723077,0.80168481321093,0.634707216191494,1.01259056670176,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.84725590174756,-6.9939879759519,-0.218362430337572,0.117873169773388,0.803834055018156,0.638014771494028,1.01274957395399,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.83292767972467,-6.8937875751503,-0.215687759595796,0.116599469327532,0.805986924271114,0.641322569892227,1.01293008010801,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.81859945770178,-6.7935871743487,-0.213015851170439,0.115338247939999,0.808143327097344,0.644629969741527,1.01313259976701,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.80427123567889,-6.69338677354709,-0.210346819112644,0.114089818165025,0.810303168605595,0.647936317633529,1.01335765133578,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.789943013656,-6.59318637274549,-0.207680777473553,0.112854493327488,0.812466352881775,0.651240948677233,1.01360575668004,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.77561479163311,-6.49298597194389,-0.205017840304309,0.111632587270938,0.814632782985026,0.654543186824956,1.01387744074311,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.76128656961021,-6.39278557114228,-0.202358121656054,0.110424414081467,0.816802360943904,0.65784234524573,1.01417323111714,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.74695834758732,-6.29258517034068,-0.199701735579931,0.109230287786216,0.818974987752688,0.661137726749046,1.01449365756601,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.73263012556443,-6.19238476953908,-0.197048796127081,0.108050522025261,0.821150563367794,0.664428624261781,1.01483925149736,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.71830190354154,-6.09218436873747,-0.194399417348647,0.10688542969572,0.823328986704325,0.667714321361142,1.01521054538073,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.70397368151865,-5.99198396793587,-0.191753713295772,0.105735322566923,0.825510155632732,0.670994092866439,1.01560807210925,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.68964545949575,-5.89178356713427,-0.189111798019598,0.104600510865611,0.82769396697561,0.674267205492406,1.01603236430211,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.67531723747286,-5.79158316633267,-0.186473785571267,0.103481302830155,0.829880316504617,0.677532918566667,1.01648395354541,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.66098901544997,-5.69138276553106,-0.183839790001921,0.102378004232973,0.832069098937524,0.680790484813843,1.01696336956886,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.64666079342708,-5.59118236472946,-0.181209925362703,0.101290917870382,0.834260207935399,0.684039151208557,1.0174711393562,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.63233257140419,-5.49098196392786,-0.178584305704756,0.100220343019334,0.836453536099926,0.687278159899393,1.01800778618731,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.6180043493813,-5.39078156312625,-0.175963045079221,0.0991665748606606,0.838648974970855,0.690506749205553,1.01857382861046,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-2.6036761273584,-5.29058116232465,-0.173346257537241,0.0981299038686267,0.840846415023602,0.693724154687648,1.01916977934318,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
