"Bacteria","Spec","Covariate_sc","VIF"
"3GCR-Ec","Theory-6","log_AMC_sc",1.14951277050471
"3GCR-Ec","Theory-6","CPI_sc",1.66304910455164
"3GCR-Ec","Theory-6","HEG_sc",1.29858958338427
"3GCR-Ec","Theory-6","UP_sc",1.67539351726758
"3GCR-Ec","Theory-6","log_PMP_sc",1.24794902289684
"3GCR-Ec","Theory-6","WASH_sc",1.08164901473518
"3GCR-Ec","Top6 from PLS1","CPI_sc",1.79437496205015
"3GCR-Ec","Top6 from PLS1","OPE_sc",1.34845855876187
"3GCR-Ec","Top6 from PLS1","UP_sc",1.53126383716038
"3GCR-Ec","Top6 from PLS1","log_PMP_sc",1.24994515007661
"3GCR-Ec","Top6 from PLS1","HEG_sc",1.28218229393877
"3GCR-Ec","Top6 from PLS1","HD_sc",1.09475633962822
"3GCR-Kp","Theory-6","log_AMC_sc",1.1304533748693
"3GCR-Kp","Theory-6","CPI_sc",1.66470287045096
"3GCR-Kp","Theory-6","HEG_sc",1.32926148959938
"3GCR-Kp","Theory-6","UP_sc",1.58416231949451
"3GCR-Kp","Theory-6","log_PMP_sc",1.28881962493475
"3GCR-Kp","Theory-6","WASH_sc",1.08128796210503
"3GCR-Kp","Top6 from PLS1","CPI_sc",1.78247797638323
"3GCR-Kp","Top6 from PLS1","UP_sc",1.47555542171821
"3GCR-Kp","Top6 from PLS1","HEG_sc",1.331284796094
"3GCR-Kp","Top6 from PLS1","log_PMP_sc",1.28570800505626
"3GCR-Kp","Top6 from PLS1","OPE_sc",1.34071206412199
"3GCR-Kp","Top6 from PLS1","HD_sc",1.10061355726512
"CR-Ab","Theory-6","log_AMC_sc",1.17866100004604
"CR-Ab","Theory-6","CPI_sc",1.76901722830177
"CR-Ab","Theory-6","HEG_sc",1.48755454714828
"CR-Ab","Theory-6","UP_sc",1.45348186073811
"CR-Ab","Theory-6","log_PMP_sc",1.41055263203341
"CR-Ab","Theory-6","WASH_sc",1.38177262906135
"CR-Ab","Top6 from PLS1","CPI_sc",1.80963932201511
"CR-Ab","Top6 from PLS1","HEG_sc",1.50989324629941
"CR-Ab","Top6 from PLS1","log_PMP_sc",1.41578265083742
"CR-Ab","Top6 from PLS1","UP_sc",1.45321951422895
"CR-Ab","Top6 from PLS1","OPE_sc",1.2496925087862
"CR-Ab","Top6 from PLS1","WASH_sc",1.25464604045935
"CR-Ec","Theory-6","log_AMC_sc",1.15444065457559
"CR-Ec","Theory-6","CPI_sc",1.60080727727416
"CR-Ec","Theory-6","HEG_sc",1.3099745523087
"CR-Ec","Theory-6","UP_sc",1.46108572953323
"CR-Ec","Theory-6","log_PMP_sc",1.26213744040062
"CR-Ec","Theory-6","WASH_sc",1.27815654604136
"CR-Ec","Top6 from PLS1","CPI_sc",1.73618957873343
"CR-Ec","Top6 from PLS1","OPE_sc",1.30933169869626
"CR-Ec","Top6 from PLS1","UP_sc",1.44328328262331
"CR-Ec","Top6 from PLS1","HEG_sc",1.31112753385546
"CR-Ec","Top6 from PLS1","log_PMP_sc",1.2664331688451
"CR-Ec","Top6 from PLS1","WASH_sc",1.18993303341817
"CR-Kp","Theory-6","log_AMC_sc",1.14079375656769
"CR-Kp","Theory-6","CPI_sc",1.63154000830818
"CR-Kp","Theory-6","HEG_sc",1.32247360912225
"CR-Kp","Theory-6","UP_sc",1.42283573150876
"CR-Kp","Theory-6","log_PMP_sc",1.30938995986646
"CR-Kp","Theory-6","WASH_sc",1.32638560545593
"CR-Kp","Top6 from PLS1","CPI_sc",1.73787388542612
"CR-Kp","Top6 from PLS1","OPE_sc",1.32291991593759
"CR-Kp","Top6 from PLS1","UP_sc",1.41558456742623
"CR-Kp","Top6 from PLS1","HEG_sc",1.33957575712535
"CR-Kp","Top6 from PLS1","log_PMP_sc",1.31256564675519
"CR-Kp","Top6 from PLS1","WASH_sc",1.23550232004954
"CR-Pa","Theory-6","log_AMC_sc",1.2737793169182
"CR-Pa","Theory-6","CPI_sc",1.58070063946124
"CR-Pa","Theory-6","HEG_sc",1.27112630398597
"CR-Pa","Theory-6","UP_sc",1.3138334783592
"CR-Pa","Theory-6","log_PMP_sc",1.25148382830614
"CR-Pa","Theory-6","WASH_sc",1.39657644085553
"CR-Pa","Top6 from PLS1","CPI_sc",1.60306506489478
"CR-Pa","Top6 from PLS1","UP_sc",1.30880969362111
"CR-Pa","Top6 from PLS1","log_PMP_sc",1.25648946261307
"CR-Pa","Top6 from PLS1","HEG_sc",1.25673961919305
"CR-Pa","Top6 from PLS1","OPE_sc",1.21512653787023
"CR-Pa","Top6 from PLS1","WASH_sc",1.17074833990392
