"AMR strain","Climate variable","PLS (Model C)","PCA","Theory-selected covariates","PLS-informed top covariates"
"3GCR-Ec","Temperature","Yes (**)","Yes (**)","Yes (***)","Yes (***)"
"3GCR-Ec","Precipitation","Yes (***)","Yes (***)","Yes (**)","Yes (***)"
"3GCR-Ec","Relative Humidity","No (ns)","Yes (***)","Yes (**)","Yes (**)"
"3GCR-Ec","Wet days","Yes (***)","Yes (***)","Yes (ns)","Yes (ns)"
"3GCR-Kp","Temperature","Yes (***)","Yes (***)","Yes (**)","Yes (†)"
"3GCR-Kp","Precipitation","Yes (***)","Yes (***)","Yes (***)","Yes (***)"
"3GCR-Kp","Relative Humidity","Yes (**)","Yes (*)","Yes (***)","Yes (**)"
"3GCR-Kp","Wet days","No (ns)","Yes (***)","Yes (**)","Yes (**)"
"CR-Ab","Temperature","Yes (***)","Yes (***)","Yes (***)","Yes (***)"
"CR-Ab","Precipitation","Yes (**)","No (ns)","Yes (*)","Yes (*)"
"CR-Ab","Relative Humidity","No (ns)","No (ns)","No (ns)","No (ns)"
"CR-Ab","Wet days","Yes (*)","Yes (**)","Yes (†)","Yes (*)"
"CR-Ec","Temperature","Yes (***)","Yes (**)","Yes (***)","Yes (***)"
"CR-Ec","Precipitation","Yes (†)","No (ns)","No (ns)","No (ns)"
"CR-Ec","Relative Humidity","No (ns)","No (ns)","No (ns)","No (ns)"
"CR-Ec","Wet days","Yes (***)","Yes (***)","Yes (***)","Yes (***)"
"CR-Kp","Temperature","Yes (***)","Yes (***)","Yes (***)","Yes (***)"
"CR-Kp","Precipitation","Yes (*)","Yes (*)","No (ns)","No (ns)"
"CR-Kp","Relative Humidity","No (ns)","Yes (***)","Yes (***)","Yes (***)"
"CR-Kp","Wet days","Yes (***)","Yes (***)","Yes (***)","Yes (***)"
"CR-Pa","Temperature","Yes (*)","Yes (*)","Yes (***)","Yes (***)"
"CR-Pa","Precipitation","Yes (***)","Yes (**)","Yes (*)","No (ns)"
"CR-Pa","Relative Humidity","No (ns)","No (ns)","Yes (***)","Yes (***)"
"CR-Pa","Wet days","Yes (***)","Yes (***)","Yes (*)","Yes (*)"
