"Covariate","Covariate_sc","Source","Bacteria","Rank"
"CPI","CPI_sc","original covariate set definition","3GCR-Ec",1
"OPE","OPE_sc","original covariate set definition","3GCR-Ec",2
"UP","UP_sc","original covariate set definition","3GCR-Ec",3
"log_PMP","log_PMP_sc","original covariate set definition","3GCR-Ec",4
"HEG","HEG_sc","original covariate set definition","3GCR-Ec",5
"HD","HD_sc","original covariate set definition","3GCR-Ec",6
"CPI","CPI_sc","original covariate set definition","3GCR-Kp",1
"UP","UP_sc","original covariate set definition","3GCR-Kp",2
"HEG","HEG_sc","original covariate set definition","3GCR-Kp",3
"log_PMP","log_PMP_sc","original covariate set definition","3GCR-Kp",4
"OPE","OPE_sc","original covariate set definition","3GCR-Kp",5
"HD","HD_sc","original covariate set definition","3GCR-Kp",6
"CPI","CPI_sc","original covariate set definition","CR-Ab",1
"HEG","HEG_sc","original covariate set definition","CR-Ab",2
"log_PMP","log_PMP_sc","original covariate set definition","CR-Ab",3
"UP","UP_sc","original covariate set definition","CR-Ab",4
"OPE","OPE_sc","original covariate set definition","CR-Ab",5
"WASH","WASH_sc","original covariate set definition","CR-Ab",6
"CPI","CPI_sc","original covariate set definition","CR-Ec",1
"OPE","OPE_sc","original covariate set definition","CR-Ec",2
"UP","UP_sc","original covariate set definition","CR-Ec",3
"HEG","HEG_sc","original covariate set definition","CR-Ec",4
"log_PMP","log_PMP_sc","original covariate set definition","CR-Ec",5
"WASH","WASH_sc","original covariate set definition","CR-Ec",6
"CPI","CPI_sc","original covariate set definition","CR-Kp",1
"OPE","OPE_sc","original covariate set definition","CR-Kp",2
"UP","UP_sc","original covariate set definition","CR-Kp",3
"HEG","HEG_sc","original covariate set definition","CR-Kp",4
"log_PMP","log_PMP_sc","original covariate set definition","CR-Kp",5
"WASH","WASH_sc","original covariate set definition","CR-Kp",6
"CPI","CPI_sc","original covariate set definition","CR-Pa",1
"UP","UP_sc","original covariate set definition","CR-Pa",2
"log_PMP","log_PMP_sc","original covariate set definition","CR-Pa",3
"HEG","HEG_sc","original covariate set definition","CR-Pa",4
"OPE","OPE_sc","original covariate set definition","CR-Pa",5
"WASH","WASH_sc","original covariate set definition","CR-Pa",6
