"Bacteria","Climate","EDF","F_stat","p_value","rho","dir_match","robustness"
"3GCR-Ec","Temperature",2.1735432180198,2.52507186896597,0.00147098713776872,0.983990099752494,TRUE,"Retained"
"3GCR-Ec","Humidity",0.538519319041553,0.0879109641218815,0.195425186011728,0.820933023325583,FALSE,"Concordant ns"
"3GCR-Ec","Precipitation",3.2804583698178,2.59413212469717,9.05601669765055e-06,0.999468986724668,TRUE,"Retained"
"3GCR-Ec","Wet Days",4.83347767040549,3.18398468521136,5.66956605385638e-06,0.988658216455412,TRUE,"Retained"
"3GCR-Kp","Temperature",3.22355268860438,9.04874671536374,0,0.906016650416261,FALSE,"Direction changed"
"3GCR-Kp","Humidity",2.59453193938069,1.50906161260324,0.000332660404330554,0.365643141078527,FALSE,"Direction changed"
"3GCR-Kp","Precipitation",5.00978629038687,7.62477967878837,0,0.974257856446411,TRUE,"Retained"
"3GCR-Kp","Wet Days",1.82378946829035e-05,5.29274974817169e-07,0.756698749335116,0.866316657916448,TRUE,"Concordant ns"
"CR-Ab","Temperature",2.74657449596119,19.8797595504031,0,0.999890497262432,TRUE,"Retained"
"CR-Ab","Humidity",8.48001089109243e-05,2.90127573299931e-06,0.678555047869847,0.592450311257781,TRUE,"Concordant ns"
"CR-Ab","Precipitation",1.46829475878577,0.462109650264658,0.0300034633349381,0.758279456986425,TRUE,"Retained"
"CR-Ab","Wet Days",1.37468069862718,0.582365332634854,0.0114620732856411,0.999651991299783,TRUE,"Retained"
"CR-Ec","Temperature",1.94686128799165,2.34119088601086,0.0031265035526129,0.996734418360459,TRUE,"Retained"
"CR-Ec","Humidity",0.000166770864768984,1.67600530786081e-06,0.976421094800972,0.957985449636241,TRUE,"Concordant ns"
"CR-Ec","Precipitation",0.334140516401557,0.0562193750609666,0.18853844942755,1,TRUE,"Concordant ns"
"CR-Ec","Wet Days",4.20769379255821,3.9173478083506,1.14297675590791e-06,0.878555463886597,TRUE,"Retained"
"CR-Kp","Temperature",2.54345178558726,5.61883358623956,3.8784267579195e-05,0.702667066676667,TRUE,"Retained"
"CR-Kp","Humidity",0.868699278721175,0.203204042963557,0.0929014841368678,0.578970974274357,TRUE,"Concordant ns"
"CR-Kp","Precipitation",0.867221155063824,0.757187589367315,0.00338697214720973,-0.264698117452936,FALSE,"Direction changed"
"CR-Kp","Wet Days",5.31642172185171,3.97586375277908,1.29390190317658e-06,0.997847446186155,TRUE,"Retained"
"CR-Pa","Temperature",2.77339291825985e-06,6.16857177816657e-07,0.26040790149437,0.999941498537464,TRUE,"Lost"
"CR-Pa","Humidity",3.07059409173862e-05,2.72837804753637e-06,0.34516207139019,0.882386559663992,FALSE,"Concordant ns"
"CR-Pa","Precipitation",3.1758642465235,4.14953197151338,0,0.995252381309533,TRUE,"Retained"
"CR-Pa","Wet Days",2.68069200611646,2.85035504016142,1.04132750711194e-06,0.99966399159979,TRUE,"Retained"
