"Bacteria","Climate","rho_primary_vs_common","direction_match_primary_vs_common"
"3GCR-Ec","Temperature",0.983990099752494,TRUE
"3GCR-Ec","Humidity",0.820933023325583,FALSE
"3GCR-Ec","Precipitation",0.999468986724668,TRUE
"3GCR-Ec","Wet Days",0.988658216455412,TRUE
"3GCR-Kp","Temperature",0.906016650416261,FALSE
"3GCR-Kp","Humidity",0.365643141078527,FALSE
"3GCR-Kp","Precipitation",0.974257856446411,TRUE
"3GCR-Kp","Wet Days",0.866316657916448,TRUE
"CR-Ab","Temperature",0.999890497262432,TRUE
"CR-Ab","Humidity",0.592450311257781,TRUE
"CR-Ab","Precipitation",0.758279456986425,TRUE
"CR-Ab","Wet Days",0.999651991299783,TRUE
"CR-Ec","Temperature",0.996734418360459,TRUE
"CR-Ec","Humidity",0.957985449636241,TRUE
"CR-Ec","Precipitation",1,TRUE
"CR-Ec","Wet Days",0.878555463886597,TRUE
"CR-Kp","Temperature",0.702667066676667,TRUE
"CR-Kp","Humidity",0.578970974274357,TRUE
"CR-Kp","Precipitation",-0.264698117452936,FALSE
"CR-Kp","Wet Days",0.997847446186155,TRUE
"CR-Pa","Temperature",0.999941498537464,TRUE
"CR-Pa","Humidity",0.882386559663992,FALSE
"CR-Pa","Precipitation",0.995252381309533,TRUE
"CR-Pa","Wet Days",0.99966399159979,TRUE
