"Bacteria","Model","Climate","EDF","F_stat","p_value"
"3GCR-Ec","Primary","Temperature",2.00313046051107,2.68570704720793,0.00107062179246142
"3GCR-Ec","Common-DT","Temperature",2.1735432180198,2.52507186896597,0.00147098713776872
"3GCR-Ec","Country-DT","Temperature",1.55590486351906,2.38776190442647,0.000862056381851328
"3GCR-Ec","Primary","Humidity",0.000653525386458196,4.55493441133513e-05,0.473825453124381
"3GCR-Ec","Common-DT","Humidity",0.538519319041553,0.0879109641218815,0.195425186011728
"3GCR-Ec","Country-DT","Humidity",3.23570618275185,1.92791317877292,0.000108816809006651
"3GCR-Ec","Primary","Precipitation",3.24101216362359,2.41435794560088,1.91758011778287e-05
"3GCR-Ec","Common-DT","Precipitation",3.2804583698178,2.59413212469717,9.05601669765055e-06
"3GCR-Ec","Country-DT","Precipitation",2.97557579441144,1.88483551078666,0.000376075388718089
"3GCR-Ec","Primary","Wet Days",4.66114725799902,2.90615998254502,2.37574977515198e-05
"3GCR-Ec","Common-DT","Wet Days",4.83347767040549,3.18398468521136,5.66956605385638e-06
"3GCR-Ec","Country-DT","Wet Days",5.41591177668444,3.48618697564208,3.5897435037846e-06
"3GCR-Kp","Primary","Temperature",2.30203606752249,4.72396101255568,1.22202699377461e-05
"3GCR-Kp","Common-DT","Temperature",3.22355268860438,9.04874671536374,0
"3GCR-Kp","Country-DT","Temperature",2.23332709046811,7.42531080729632,0
"3GCR-Kp","Primary","Humidity",2.19444359737963,1.03792475676253,0.00189562148866362
"3GCR-Kp","Common-DT","Humidity",2.59453193938069,1.50906161260324,0.000332660404330554
"3GCR-Kp","Country-DT","Humidity",2.25277719224806,0.948154570176359,0.0031936729432257
"3GCR-Kp","Primary","Precipitation",5.54420005775755,8.72626277049028,0
"3GCR-Kp","Common-DT","Precipitation",5.00978629038687,7.62477967878837,0
"3GCR-Kp","Country-DT","Precipitation",4.60191825600742,7.73009856322216,0
"3GCR-Kp","Primary","Wet Days",9.91417376072691e-05,6.36927336609455e-06,0.461080775404139
"3GCR-Kp","Common-DT","Wet Days",1.82378946829035e-05,5.29274974817169e-07,0.756698749335116
"3GCR-Kp","Country-DT","Wet Days",8.91409103573582e-07,2.18982009532786e-09,0.998348923425846
"CR-Ab","Primary","Temperature",2.77994302065824,23.605659759564,0
"CR-Ab","Common-DT","Temperature",2.74657449596119,19.8797595504031,0
"CR-Ab","Country-DT","Temperature",2.66457465682141,15.6240540626397,0
"CR-Ab","Primary","Humidity",8.39183523163094e-06,1.42796697438086e-07,0.821736659706093
"CR-Ab","Common-DT","Humidity",8.48001089109243e-05,2.90127573299931e-06,0.678555047869847
"CR-Ab","Country-DT","Humidity",0.601788854373391,0.282901681232297,0.0975987324031296
"CR-Ab","Primary","Precipitation",2.22226940518263,1.12147791176892,0.00211946498027027
"CR-Ab","Common-DT","Precipitation",1.46829475878577,0.462109650264658,0.0300034633349381
"CR-Ab","Country-DT","Precipitation",2.35379864168091,1.93670350946252,4.20853355833639e-05
"CR-Ab","Primary","Wet Days",1.11846154403391,0.364823504438759,0.0379766937666001
"CR-Ab","Common-DT","Wet Days",1.37468069862718,0.582365332634854,0.0114620732856411
"CR-Ab","Country-DT","Wet Days",3.36010603874214,1.78640134838538,0.00031442604359766
"CR-Ec","Primary","Temperature",2.20722245397753,3.29587261955206,0.00081432832292494
"CR-Ec","Common-DT","Temperature",1.94686128799165,2.34119088601086,0.0031265035526129
"CR-Ec","Country-DT","Temperature",1.61155265974464,2.37897269612845,0.00128518111748233
"CR-Ec","Primary","Humidity",0.000133938544947222,2.29121424878547e-06,0.924840625083034
"CR-Ec","Common-DT","Humidity",0.000166770864768984,1.67600530786081e-06,0.976421094800972
"CR-Ec","Country-DT","Humidity",2.19347055416504,1.05625200245279,0.00260261976139931
"CR-Ec","Primary","Precipitation",0.631064796210069,0.202326076473363,0.0791808101471199
"CR-Ec","Common-DT","Precipitation",0.334140516401557,0.0562193750609666,0.18853844942755
"CR-Ec","Country-DT","Precipitation",0.000166806828131241,8.46783101044099e-07,0.988504633958695
