"Bacteria","Climate_Variable","Lag_Years","x_value","Density","Scaled_Density"
"3GCR-Ec","Temperature",3,-6.54658904421483,5.48984014547977e-06,2.30017536154343e-05
"3GCR-Ec","Temperature",3,-6.47086853914941,6.57445369685638e-06,2.75461507227467e-05
"3GCR-Ec","Temperature",3,-6.39514803408399,7.83079462088084e-06,3.28100643569519e-05
"3GCR-Ec","Temperature",3,-6.31942752901857,9.35157127975535e-06,3.91819311298555e-05
"3GCR-Ec","Temperature",3,-6.24370702395315,1.11192846100659e-05,4.65884321224209e-05
"3GCR-Ec","Temperature",3,-6.16798651888773,1.31522145442483e-05,5.51061579986485e-05
"3GCR-Ec","Temperature",3,-6.09226601382231,1.54778532686149e-05,6.4850297630918e-05
"3GCR-Ec","Temperature",3,-6.01654550875689,1.81269227015895e-05,7.59495720711092e-05
"3GCR-Ec","Temperature",3,-5.94082500369147,2.12732195699395e-05,8.91321681848389e-05
"3GCR-Ec","Temperature",3,-5.86510449862605,2.48420920911989e-05,0.000104085304204017
"3GCR-Ec","Temperature",3,-5.78938399356063,2.88702544311748e-05,0.000120962807958546
"3GCR-Ec","Temperature",3,-5.71366348849521,3.33954127630291e-05,0.000139922663666884
"3GCR-Ec","Temperature",3,-5.63794298342979,3.84860069790049e-05,0.000161251626042673
"3GCR-Ec","Temperature",3,-5.56222247836437,4.43570507575943e-05,0.00018585057589948
"3GCR-Ec","Temperature",3,-5.48650197329895,5.08897572023715e-05,0.000213221810781145
"3GCR-Ec","Temperature",3,-5.41078146823353,5.81261051629871e-05,0.000243541216894032
"3GCR-Ec","Temperature",3,-5.33506096316811,6.61079236748796e-05,0.000276984052741417
"3GCR-Ec","Temperature",3,-5.25934045810269,7.4957037274777e-05,0.000314060748117953
"3GCR-Ec","Temperature",3,-5.18361995303727,8.48780754354911e-05,0.000355628675295206
"3GCR-Ec","Temperature",3,-5.10789944797185,9.57059519063976e-05,0.000400996143229081
"3GCR-Ec","Temperature",3,-5.03217894290643,0.000107475135209838,0.00045030757078012
"3GCR-Ec","Temperature",3,-4.95645843784101,0.000120217978494052,0.000503698513652098
"3GCR-Ec","Temperature",3,-4.88073793277559,0.000134108818961896,0.000561899423238824
"3GCR-Ec","Temperature",3,-4.80501742771017,0.000149262803140656,0.00062539274929842
"3GCR-Ec","Temperature",3,-4.72929692264475,0.000165480864729471,0.00069334442856417
"3GCR-Ec","Temperature",3,-4.65357641757933,0.000182771444923146,0.000765789828601962
"3GCR-Ec","Temperature",3,-4.57785591251391,0.000201138620390645,0.000842746030152335
"3GCR-Ec","Temperature",3,-4.50213540744849,0.000220773584831232,0.000925014111251576
"3GCR-Ec","Temperature",3,-4.42641490238307,0.0002416333677914,0.00101241403099537
"3GCR-Ec","Temperature",3,-4.35069439731765,0.000263511129535377,0.00110407915638277
"3GCR-Ec","Temperature",3,-4.27497389225223,0.000286371970086784,0.00119986326081396
"3GCR-Ec","Temperature",3,-4.19925338718681,0.000310175155272185,0.00129959567312253
"3GCR-Ec","Temperature",3,-4.12353288212139,0.000335049691541994,0.00140381691443635
"3GCR-Ec","Temperature",3,-4.04781237705597,0.000360794124388606,0.00151168291519676
"3GCR-Ec","Temperature",3,-3.97209187199055,0.000387223640496918,0.00162241933039077
"3GCR-Ec","Temperature",3,-3.89637136692513,0.000414254302101323,0.00173567447112535
"3GCR-Ec","Temperature",3,-3.82065086185971,0.00044179682758984,0.00185107425844982
"3GCR-Ec","Temperature",3,-3.74493035679429,0.000469812337023384,0.00196845579021115
"3GCR-Ec","Temperature",3,-3.66920985172887,0.000498050617572569,0.00208677070549164
"3GCR-Ec","Temperature",3,-3.59348934666345,0.000526366887828819,0.0022054123880329
"3GCR-Ec","Temperature",3,-3.51776884159803,0.000554643084158534,0.00232388616576089
"3GCR-Ec","Temperature",3,-3.44204833653261,0.000582758939434629,0.00244168813423541
"3GCR-Ec","Temperature",3,-3.36632783146719,0.000610424965293348,0.00255760537289025
"3GCR-Ec","Temperature",3,-3.29060732640177,0.000637544378707811,0.00267123237277078
"3GCR-Ec","Temperature",3,-3.21488682133635,0.000664010613652502,0.00278212263536381
"3GCR-Ec","Temperature",3,-3.13916631627093,0.000689709406342593,0.00288979740949331
"3GCR-Ec","Temperature",3,-3.06344581120551,0.00071451831148452,0.00299374366446999
"3GCR-Ec","Temperature",3,-2.98772530614009,0.000737946430347657,0.00309190459511324
"3GCR-Ec","Temperature",3,-2.91200480107466,0.000760213348538653,0.00318520023805215
"3GCR-Ec","Temperature",3,-2.83628429600925,0.000781253042488157,0.00327335396266817
"3GCR-Ec","Temperature",3,-2.76056379094382,0.000801010116002573,0.00335613366573745
"3GCR-Ec","Temperature",3,-2.6848432858784,0.000819364491071638,0.00343303623519597
"3GCR-Ec","Temperature",3,-2.60912278081298,0.000835969643411457,0.0035026097770015
"3GCR-Ec","Temperature",3,-2.53340227574756,0.000851243502617182,0.00356660536465012
