"Bacteria","Climate_Variable","Lag_Years","Term","EDF","Ref_df","F_statistic","P_Value","Significance"
"3GCR-Ec","Temperature",3,"s(TMP_scaled_lag)",2.00318086274192,4,2.68569467710799,0.00107069242891122,"**"
"3GCR-Ec","Precipitation",3,"s(PREC_scaled_lag)",3.24101166395814,9,2.41435073400626,1.91779087239663e-05,"***"
"3GCR-Ec","Humidity",2,"s(HUM_scaled_lag)",3.49375205912341e-05,9,4.13258678322061e-06,0.263710251744094,"ns"
"3GCR-Ec","WetDays",2,"s(WET_scaled_lag)",4.66116058702887,9,2.90618225144427,2.37641421598767e-05,"***"
"3GCR-Kp","Temperature",3,"s(TMP_scaled_lag)",2.30203570156343,4,4.72396115247489,1.22202650476577e-05,"***"
"3GCR-Kp","Precipitation",3,"s(PREC_scaled_lag)",5.5442000750762,9,8.7262618500764,0,"***"
"3GCR-Kp","Humidity",1,"s(HUM_scaled_lag)",2.19444375535945,9,1.03792465766355,0.00189562459205872,"**"
"3GCR-Kp","WetDays",1,"s(WET_scaled_lag)",9.60770464096465e-05,9,6.04397521199051e-06,0.468907876828758,"ns"
"CR-Ab","Temperature",2,"s(TMP_scaled_lag)",2.77994414288766,4,23.6056447554436,0,"***"
"CR-Ab","Precipitation",2,"s(PREC_scaled_lag)",2.22227219338325,9,1.12147853453221,0.00211947016480329,"**"
"CR-Ab","Humidity",3,"s(HUM_scaled_lag)",2.04036712028821e-05,9,3.27258942910036e-07,0.819004703016254,"ns"
"CR-Ab","WetDays",2,"s(WET_scaled_lag)",1.11846673728693,9,0.364826125052446,0.0379762353988293,"*"
"CR-Ec","Temperature",2,"s(TMP_scaled_lag)",2.20721148761753,4,3.29586995831395,0.0008143128704029,"***"
"CR-Ec","Precipitation",3,"s(PREC_scaled_lag)",0.6311363617243,9,0.202326061229544,0.0791864763245814,"."
"CR-Ec","Humidity",2,"s(HUM_scaled_lag)",0.000334828935937567,9,6.659151451235e-06,0.88706708335503,"ns"
"CR-Ec","WetDays",3,"s(WET_scaled_lag)",3.75351142952188,9,3.42481028730187,1.69973452046612e-06,"***"
"CR-Kp","Temperature",2,"s(TMP_scaled_lag)",2.82286116230478,4,3.64851395263078,0.000565228341013468,"***"
"CR-Kp","Precipitation",2,"s(PREC_scaled_lag)",2.18893985180948,9,0.779982577368273,0.0146069723160389,"*"
"CR-Kp","Humidity",3,"s(HUM_scaled_lag)",0.19795358040191,9,0.0277805318814813,0.222046245547693,"ns"
"CR-Kp","WetDays",1,"s(WET_scaled_lag)",5.36147826575098,9,4.10779690963938,6.77052128361666e-07,"***"
"CR-Pa","Temperature",2,"s(TMP_scaled_lag)",0.996435538418797,4,0.70715428573655,0.0243535683606766,"*"
"CR-Pa","Precipitation",2,"s(PREC_scaled_lag)",3.13735879270844,9,3.08633893307047,9.30694234679841e-07,"***"
"CR-Pa","Humidity",2,"s(HUM_scaled_lag)",2.33415095421861e-05,9,1.9184288870925e-06,0.416703377642127,"ns"
"CR-Pa","WetDays",2,"s(WET_scaled_lag)",3.06511841723751,9,2.94170823266439,6.82881932334567e-07,"***"
