"Bacteria","Climate_Factor","NAME","Region","Climate_Zone_Majority","n_observations","effect","se","OR","CI_Lower","CI_Upper","Z_value","P_Value","Significance","Effect_Direction"
"3GCR-Ec","Temperature","Argentina","Latin America and the Caribbean","Temperate Zone",4,-0.139370973965035,0.064175809782818,0.869905256389769,0.767086611826585,0.986505491593202,-2.17170573206151,0.0298778659061866,"*","Negative"
"3GCR-Kp","Temperature","Argentina","Latin America and the Caribbean","Temperate Zone",4,-0.0282322552264994,0.030215346193566,0.972162550745365,0.916260712871726,1.0314750068347,-0.934368087184487,0.350114053574267,"","Negative"
"CR-Ab","Temperature","Argentina","Latin America and the Caribbean","Temperate Zone",4,0.385576548552916,0.0529296812177626,1.47046186975441,1.3255591539036,1.63120454038892,7.28469432805729,3.22400448039108e-13,"***","Positive"
"CR-Ec","Temperature","Argentina","Latin America and the Caribbean","Temperate Zone",4,-0.039146176646748,0.0124308316468018,0.961610133927354,0.938464165263963,0.985326967078912,-3.14911968555373,0.00163763110450241,"**","Negative"
"CR-Kp","Temperature","Argentina","Latin America and the Caribbean","Temperate Zone",4,0.156627678165412,0.0467865184265823,1.16956008007189,1.06708016643299,1.28188192783141,3.3477096273191,0.00081482337284717,"***","Positive"
"CR-Pa","Temperature","Argentina","Latin America and the Caribbean","Temperate Zone",2,0.0317296042432148,0.0207891521306939,1.03223835469515,0.991023398498958,1.07516736993054,1.52625773498324,0.126945690000297,"","Positive"
"3GCR-Ec","Temperature","Australia","East Asia and Pacific","Temperate Zone",4,-0.463958381973739,0.175032313974462,0.628789722909756,0.44618495422013,0.886126956763909,-2.65070129874095,0.00803248451988184,"**","Negative"
"3GCR-Kp","Temperature","Australia","East Asia and Pacific","Temperate Zone",4,-0.128342164527574,0.0375754275220862,0.879552376028066,0.817103096913422,0.946774507524094,-3.41558760581331,0.000636445534036378,"***","Negative"
"CR-Ab","Temperature","Australia","East Asia and Pacific","Temperate Zone",1,-0.0458205072837081,0.0845586475783779,0.955213400652198,0.809324397479534,1.12740038929645,-0.541878431076334,0.58790225628477,"","Negative"
"CR-Ec","Temperature","Australia","East Asia and Pacific","Temperate Zone",4,-0.0137598718640898,0.0334523977356947,0.98633436246021,0.923738208677788,1.05317227914855,-0.411326924090935,0.680832829713216,"","Negative"
"CR-Kp","Temperature","Australia","East Asia and Pacific","Temperate Zone",4,0.136707721501534,0.0984717372449402,1.14649300429126,0.945258462589416,1.39056804134612,1.38829399507277,0.165047540012662,"","Positive"
"CR-Pa","Temperature","Australia","East Asia and Pacific","Temperate Zone",1,0.0845380772517318,0.0688593354244345,1.08821427965219,0.950824077713657,1.24545680551809,1.22769231986712,0.219562490587779,"","Positive"
"3GCR-Ec","Temperature","Austria","Europe and Central Asia","Temperate Zone",19,0.0884909314851152,0.0463742316046145,1.09252434499227,0.997600321383257,1.19648061334398,1.90819186481809,0.0563664226991509,"","Positive"
"3GCR-Kp","Temperature","Austria","Europe and Central Asia","Temperate Zone",15,0.0182504996074607,0.0223199754872494,1.01841805776327,0.974825642337731,1.06395984608187,0.817675611601213,0.413542439980324,"","Positive"
"CR-Ab","Temperature","Austria","Europe and Central Asia","Temperate Zone",7,-0.157012437459089,0.0432948306948239,0.854693428537027,0.785158001528157,0.93038707541998,-3.62658624457586,0.000287192925397729,"***","Negative"
"CR-Ec","Temperature","Austria","Europe and Central Asia","Temperate Zone",19,0.0256522109176429,0.0098294204026239,1.02598406036128,1.00640698440447,1.0459419583006,2.60973789571511,0.00906116185916175,"**","Positive"
"CR-Kp","Temperature","Austria","Europe and Central Asia","Temperate Zone",15,-0.089447993086037,0.0374236815018259,0.914435820872741,0.849762475761039,0.984031296211705,-2.39014414126181,0.0168417614993705,"*","Negative"
"CR-Pa","Temperature","Austria","Europe and Central Asia","Temperate Zone",16,-0.0227674805558916,0.0156301701006786,0.97748974272279,0.947998258311251,1.00789868414986,-1.45663677421547,0.145216670960759,"","Negative"
"3GCR-Ec","Temperature","Bahrain","Middle East and North Africa","Temperate Zone",1,-0.660406007886799,0.375057514730235,0.516641531367337,0.247704509600065,1.07756807643326,-1.76081262726279,0.078270121908672,"","Negative"
"3GCR-Kp","Temperature","Bahrain","Middle East and North Africa","Temperate Zone",1,-0.155138373647723,0.0510587387118881,0.856296680390166,0.774751069768764,0.946425288662159,-3.03842941603259,0.00237814808578934,"**","Negative"
"CR-Ec","Temperature","Bahrain","Middle East and North Africa","Temperate Zone",1,0.0697970734056909,0.0781086790005456,1.07229056290265,0.920078821159694,1.24968320631577,0.893589218237879,0.371541717157899,"","Positive"
"CR-Kp","Temperature","Bahrain","Middle East and North Africa","Temperate Zone",1,-0.189910062064479,0.218633718789356,0.827033512285297,0.538788514821475,1.26948591446792,-0.868622018214167,0.385053907242754,"","Negative"
"3GCR-Ec","Temperature","Belarus","Europe and Central Asia","Temperate Zone",4,0.0884562889890539,0.0463921833478616,1.09248649787752,0.997530663467043,1.19648126293825,1.90670674681948,0.0565585728248352,"","Positive"
"3GCR-Kp","Temperature","Belarus","Europe and Central Asia","Temperate Zone",3,0.0162382127758215,0.0229537297391411,1.0163707690734,0.971658282533936,1.06314077571894,0.707432428644996,0.479297790396173,"","Positive"
"CR-Ab","Temperature","Belarus","Europe and Central Asia","Temperate Zone",4,-0.207192771625824,0.0478016838308566,0.812862937973116,0.740163573504629,0.892702882960983,-4.33442412528738,1.46142181384111e-05,"***","Negative"
"CR-Ec","Temperature","Belarus","Europe and Central Asia","Temperate Zone",3,0.0246333990239863,0.00947908977189771,1.02493930789137,1.0060727478921,1.04415966644741,2.59870932935101,0.00935749721298331,"**","Positive"
"CR-Kp","Temperature","Belarus","Europe and Central Asia","Temperate Zone",4,-0.0898850994854772,0.0375169064870959,0.914036202467804,0.84923593291977,0.983781004825538,-2.39585583945717,0.0165816104917904,"*","Negative"
"CR-Pa","Temperature","Belarus","Europe and Central Asia","Temperate Zone",4,-0.0228338909563066,0.0154786743912131,0.977424829393059,0.948216817188264,1.00753253875729,-1.47518388068613,0.140163113911417,"","Negative"
"3GCR-Ec","Temperature","Belgium","Europe and Central Asia","Temperate Zone",19,0.0845826717071452,0.0324301169146249,1.08826280905743,1.02124211124432,1.15968185069703,2.60815192032198,0.00910325426651004,"**","Positive"
"3GCR-Kp","Temperature","Belgium","Europe and Central Asia","Temperate Zone",11,0.0480980511160509,0.0146849338211593,1.04927353272169,1.01950333356064,1.0799130421919,3.27533318854642,0.00105537420876709,"**","Positive"
"CR-Ab","Temperature","Belgium","Europe and Central Asia","Temperate Zone",4,0.104197530821731,0.0328769273384966,1.10981965685409,1.04055971224871,1.18368956268542,3.16932083551867,0.00152795628222254,"**","Positive"
"CR-Ec","Temperature","Belgium","Europe and Central Asia","Temperate Zone",10,-0.0037223389853511,0.00657252372622129,0.996284580330401,0.983532609136404,1.00920188693659,-0.566348504836995,0.57115689330907,"","Negative"
"CR-Kp","Temperature","Belgium","Europe and Central Asia","Temperate Zone",11,-0.0349667150197823,0.0249398113802849,0.965637556949643,0.919570334888715,1.0140125839363,-1.40204408472086,0.160902082653493,"","Negative"
"CR-Pa","Temperature","Belgium","Europe and Central Asia","Temperate Zone",12,-0.00877142514652604,0.00965920997783731,0.991266931573399,0.972676745359018,1.01021242084723,-0.908089291634797,0.363831047606707,"","Negative"
"3GCR-Ec","Temperature","Bosnia and Herz.","Europe and Central Asia","Temperate Zone",3,0.0681386011599004,0.0338134537717394,1.07051367263353,1.00186597052765,1.14386510472231,2.01513284090634,0.0438907320277891,"*","Positive"
"3GCR-Kp","Temperature","Bosnia and Herz.","Europe and Central Asia","Temperate Zone",3,0.0473825418978714,0.0162436621329616,1.04852303636219,1.01566641557542,1.0824425627575,2.91698642276748,0.00353431157114675,"**","Positive"
"CR-Ab","Temperature","Bosnia and Herz.","Europe and Central Asia","Temperate Zone",3,0.115426202002702,0.033431277451964,1.1223516841854,1.05116691867696,1.19835706452719,3.45264108344508,0.000555127095259952,"***","Positive"
"CR-Ec","Temperature","Bosnia and Herz.","Europe and Central Asia","Temperate Zone",3,-0.00901552106896563,0.00682152324719396,0.991024996886189,0.977862994060281,1.00436415982496,-1.32162872459229,0.18629181342818,"","Negative"
"CR-Kp","Temperature","Bosnia and Herz.","Europe and Central Asia","Temperate Zone",3,-0.0139530504258054,0.0268367956508968,0.986143842209505,0.935613168073752,1.03940358121495,-0.519922371035349,0.603117682411855,"","Negative"
"CR-Pa","Temperature","Bosnia and Herz.","Europe and Central Asia","Temperate Zone",3,-0.00482533765334833,0.00946443162187111,0.99518628558552,0.976895469823366,1.01381956781577,-0.509839137323109,0.610164164196106,"","Negative"
"3GCR-Ec","Temperature","Bulgaria","Europe and Central Asia","Temperate Zone",19,0.0595427578993531,0.034367088126993,1.06135114115462,0.992213736395292,1.13530603690558,1.7325517273774,0.0831753755327529,"","Positive"
"3GCR-Kp","Temperature","Bulgaria","Europe and Central Asia","Temperate Zone",14,0.0436891583159469,0.0170478045604699,1.04465758129265,1.01032843521876,1.08015317010839,2.56274396864288,0.010384859798519,"*","Positive"
"CR-Ab","Temperature","Bulgaria","Europe and Central Asia","Temperate Zone",8,0.160024357011683,0.0352077404444493,1.17353945455791,1.09528782842918,1.25738168147015,4.54514703277165,5.4896919313625e-06,"***","Positive"
"CR-Ec","Temperature","Bulgaria","Europe and Central Asia","Temperate Zone",19,-0.0101036612747424,0.00690553958986152,0.989947209240529,0.976638682411258,1.0034370896139,-1.46312408223337,0.14343342932069,"","Negative"
"CR-Kp","Temperature","Bulgaria","Europe and Central Asia","Temperate Zone",14,-0.00202295762254076,0.0278522348297279,0.99797908717715,0.944959378724697,1.05397362137098,-0.0726317882535435,0.942099130148421,"","Negative"
"CR-Pa","Temperature","Bulgaria","Europe and Central Asia","Temperate Zone",13,-0.00140208980425804,0.00990103920197135,0.998598892664428,0.979406868628563,1.01816699511917,-0.141610367927729,0.887387777048217,"","Negative"
"CR-Pa","Temperature","Canada","North America","Temperate Zone",1,0.0347959241840895,0.0254712990372454,1.03540838542631,0.984986028742005,1.08841190974082,1.3660836117235,0.171912721492293,"","Positive"
"3GCR-Ec","Temperature","China","East Asia and Pacific","Temperate Zone",6,0.0947438159539934,0.0413620680795324,1.09937717615374,1.01376808147785,1.19221565319541,2.2905966832175,0.0219867509505072,"*","Positive"
"3GCR-Kp","Temperature","China","East Asia and Pacific","Temperate Zone",6,0.0259334686577834,0.0196689641739322,1.02627266690403,0.987461568318054,1.06660919333628,1.31849691872202,0.187337355853247,"","Positive"
"CR-Ab","Temperature","China","East Asia and Pacific","Temperate Zone",6,-0.166867081364111,0.0442723727038302,0.846312094510607,0.775970378267173,0.923030287463269,-3.7691018387563,0.000163836035628203,"***","Negative"
"CR-Ec","Temperature","China","East Asia and Pacific","Temperate Zone",6,0.0226283915633887,0.00883175178464069,1.02288635571236,1.0053323245702,1.04074689645517,2.56216344335467,0.0104022352363637,"*","Positive"
"CR-Kp","Temperature","China","East Asia and Pacific","Temperate Zone",6,-0.0874730112500979,0.0341666671816899,0.916243599586547,0.856895179420513,0.97970248163963,-2.56018565653296,0.0104616258234682,"*","Negative"
"CR-Pa","Temperature","China","East Asia and Pacific","Temperate Zone",7,-0.0222682989012154,0.0146175052803079,0.977977809476842,0.950356017573167,1.00640241987576,-1.52339940873592,0.127658809862491,"","Negative"
"3GCR-Ec","Temperature","Croatia","Europe and Central Asia","Temperate Zone",18,0.0300037119789407,0.0368016915505176,1.03045835898615,0.958747433276858,1.10753300895439,0.815280785062683,0.414911604953326,"","Positive"
"3GCR-Kp","Temperature","Croatia","Europe and Central Asia","Temperate Zone",14,0.0341919727974226,0.0189336042504299,1.03478323789452,0.997086361374567,1.07390532145211,1.80588821574457,0.0709358021821772,"","Positive"
"CR-Ab","Temperature","Croatia","Europe and Central Asia","Temperate Zone",7,0.222653554785236,0.0367136788533765,1.24938765437465,1.16264170082363,1.34260581725048,6.06459395350838,1.32287430303764e-09,"***","Positive"
"CR-Ec","Temperature","Croatia","Europe and Central Asia","Temperate Zone",18,-0.0171096040381346,0.00739770325010264,0.983035934022066,0.968885242973637,0.997393297696175,-2.31282648947796,0.0207321807593832,"*","Negative"
"CR-Kp","Temperature","Croatia","Europe and Central Asia","Temperate Zone",14,0.0290001549384643,0.0300677088637105,1.02942475397261,0.970510988003676,1.09191481311446,0.964495002592807,0.334797812689102,"","Positive"
"CR-Pa","Temperature","Croatia","Europe and Central Asia","Temperate Zone",15,0.00405794729464993,0.0107950247776607,1.00406619191107,0.983045079020393,1.02553681337119,0.375909030153174,0.70698452697761,"","Positive"
"3GCR-Ec","Temperature","Cyprus","Europe and Central Asia","Temperate Zone",16,-0.324747934374343,0.108786225618791,0.72270950090709,0.583933053824416,0.894467301141046,-2.98519350705599,0.00283398982370047,"**","Negative"
