"NAME","Cluster","Optimal_K","Selection_Method","Region","Climate_Factor"
"Taiwan",1,4,"Gap statistic (restricted maxSE)","East Asia and Pacific","Precipitation"
"Bahrain",1,4,"Gap statistic (restricted maxSE)","Middle East and North Africa","Precipitation"
"Egypt",1,4,"Gap statistic (restricted maxSE)","Middle East and North Africa","Precipitation"
"Oman",1,4,"Gap statistic (restricted maxSE)","Middle East and North Africa","Precipitation"
"Saudi Arabia",1,4,"Gap statistic (restricted maxSE)","Middle East and North Africa","Precipitation"
"United Arab Emirates",1,4,"Gap statistic (restricted maxSE)","Middle East and North Africa","Precipitation"
"Australia",2,4,"Gap statistic (restricted maxSE)","East Asia and Pacific","Precipitation"
"China",2,4,"Gap statistic (restricted maxSE)","East Asia and Pacific","Precipitation"
"Thailand",2,4,"Gap statistic (restricted maxSE)","East Asia and Pacific","Precipitation"
"Belarus",2,4,"Gap statistic (restricted maxSE)","Europe and Central Asia","Precipitation"
"Belgium",2,4,"Gap statistic (restricted maxSE)","Europe and Central Asia","Precipitation"
"Bulgaria",2,4,"Gap statistic (restricted maxSE)","Europe and Central Asia","Precipitation"
"Cyprus",2,4,"Gap statistic (restricted maxSE)","Europe and Central Asia","Precipitation"
"Czechia",2,4,"Gap statistic (restricted maxSE)","Europe and Central Asia","Precipitation"
"Denmark",2,4,"Gap statistic (restricted maxSE)","Europe and Central Asia","Precipitation"
"Estonia",2,4,"Gap statistic (restricted maxSE)","Europe and Central Asia","Precipitation"
"Finland",2,4,"Gap statistic (restricted maxSE)","Europe and Central Asia","Precipitation"
"France",2,4,"Gap statistic (restricted maxSE)","Europe and Central Asia","Precipitation"
"Germany",2,4,"Gap statistic (restricted maxSE)","Europe and Central Asia","Precipitation"
"Greece",2,4,"Gap statistic (restricted maxSE)","Europe and Central Asia","Precipitation"
"Hungary",2,4,"Gap statistic (restricted maxSE)","Europe and Central Asia","Precipitation"
"Italy",2,4,"Gap statistic (restricted maxSE)","Europe and Central Asia","Precipitation"
"Latvia",2,4,"Gap statistic (restricted maxSE)","Europe and Central Asia","Precipitation"
"Lithuania",2,4,"Gap statistic (restricted maxSE)","Europe and Central Asia","Precipitation"
"Netherlands",2,4,"Gap statistic (restricted maxSE)","Europe and Central Asia","Precipitation"
"North Macedonia",2,4,"Gap statistic (restricted maxSE)","Europe and Central Asia","Precipitation"
"Poland",2,4,"Gap statistic (restricted maxSE)","Europe and Central Asia","Precipitation"
"Romania",2,4,"Gap statistic (restricted maxSE)","Europe and Central Asia","Precipitation"
"Russia",2,4,"Gap statistic (restricted maxSE)","Europe and Central Asia","Precipitation"
"Serbia",2,4,"Gap statistic (restricted maxSE)","Europe and Central Asia","Precipitation"
"Slovakia",2,4,"Gap statistic (restricted maxSE)","Europe and Central Asia","Precipitation"
"Spain",2,4,"Gap statistic (restricted maxSE)","Europe and Central Asia","Precipitation"
"Sweden",2,4,"Gap statistic (restricted maxSE)","Europe and Central Asia","Precipitation"
"Turkey",2,4,"Gap statistic (restricted maxSE)","Europe and Central Asia","Precipitation"
"Argentina",2,4,"Gap statistic (restricted maxSE)","Latin America and the Caribbean","Precipitation"
"Mexico",2,4,"Gap statistic (restricted maxSE)","Latin America and the Caribbean","Precipitation"
"Lebanon",2,4,"Gap statistic (restricted maxSE)","Middle East and North Africa","Precipitation"
"Malta",2,4,"Gap statistic (restricted maxSE)","Middle East and North Africa","Precipitation"
"Tunisia",2,4,"Gap statistic (restricted maxSE)","Middle East and North Africa","Precipitation"
"Canada",2,4,"Gap statistic (restricted maxSE)","North America","Precipitation"
"United States of America",2,4,"Gap statistic (restricted maxSE)","North America","Precipitation"
"India",2,4,"Gap statistic (restricted maxSE)","South Asia","Precipitation"
"Pakistan",2,4,"Gap statistic (restricted maxSE)","South Asia","Precipitation"
"Ghana",2,4,"Gap statistic (restricted maxSE)","Sub-Saharan Africa","Precipitation"
"Malawi",2,4,"Gap statistic (restricted maxSE)","Sub-Saharan Africa","Precipitation"
