"Bacteria","Term","Climate_Zone","Estimate","Std_Error","Test_Statistic","P_Value","OR","CI_Lower","CI_Upper","Reference","Significance","OR_lower","OR_upper","significance","label"
"3GCR-Ec","climate_zoneTemperate Zone","Temperate",0.0518901371269381,0.209707345358443,0.247440722871412,0.804646602557161,1.05326002198469,0.698279197502135,1.58870073443338,"Polar","",0.698279197502135,1.58870073443338,"","1.05 (0.70-1.59)"
"3GCR-Ec","climate_zoneTropical Zone","Tropical",-0.2228907904724,0.37462583455906,-0.594969086247738,0.55207464692995,0.800202234230818,0.383982835655145,1.6675839548283,"Polar","",0.383982835655145,1.6675839548283,"","0.80 (0.38-1.67)"
"3GCR-Kp","climate_zoneTemperate Zone","Temperate",0.33577442349535,0.105974069711703,3.16845832578487,0.00162695517513555,1.39902340240473,1.13662716163147,1.7219951682896,"Polar","**",1.13662716163147,1.7219951682896,"**","1.40 (1.14-1.72)**"
"3GCR-Kp","climate_zoneTropical Zone","Tropical",0.41083172773933,0.154769065365623,2.65448219105536,0.0081979679839366,1.50807156859382,1.11347344546555,2.0425092895234,"Polar","**",1.11347344546555,2.0425092895234,"**","1.51 (1.11-2.04)**"
"CR-Ab","climate_zoneTemperate Zone","Temperate",1.26619969253474,0.291531951305199,4.34326215999967,2.03595248265167e-05,3.54734590875399,2.00330249845938,6.28145924343978,"Polar","***",2.00330249845938,6.28145924343978,"***","3.55 (2.00-6.28)***"
"CR-Ab","climate_zoneTropical Zone","Tropical",-0.129858488108121,0.341445585367061,-0.380319716151902,0.704028488465673,0.878219700658857,0.449737214114837,1.71493445154039,"Polar","",0.449737214114837,1.71493445154039,"","0.88 (0.45-1.71)"
"CR-Ec","climate_zoneTemperate Zone","Temperate",-0.124377720577599,0.0371545137018582,-3.34758036602638,0.000868962103858411,0.883046233148233,0.821025945731168,0.949751532130761,"Polar","***",0.821025945731168,0.949751532130761,"***","0.88 (0.82-0.95)***"
"CR-Ec","climate_zoneTropical Zone","Tropical",0.103893235246074,0.0817952584759883,1.27016207518401,0.204545208912031,1.10948199501984,0.945136921633218,1.30240420101893,"Polar","",0.945136921633218,1.30240420101893,"","1.11 (0.95-1.30)"
"CR-Kp","climate_zoneTemperate Zone","Temperate",0.0809128836672104,0.16716071418207,0.484042462148617,0.628579598183757,1.08427643426553,0.781357790093005,1.50463129799172,"Polar","",0.781357790093005,1.50463129799172,"","1.08 (0.78-1.50)"
"CR-Kp","climate_zoneTropical Zone","Tropical",-0.0110441813333978,0.258504442046303,-0.0427233715829903,0.965940064157176,0.989016581738745,0.595881839321481,1.64152309133636,"Polar","",0.595881839321481,1.64152309133636,"","0.99 (0.60-1.64)"
"CR-Pa","climate_zoneTemperate Zone","Temperate",0.0199182839153634,0.0848534819702527,0.234737378512602,0.814517761214691,1.02011797657382,0.863816825009067,1.20470064485969,"Polar","",0.863816825009067,1.20470064485969,"","1.02 (0.86-1.20)"
"CR-Pa","climate_zoneTropical Zone","Tropical",-0.25889547466358,0.153724952602515,-1.6841473702256,0.0928363378265753,0.771903702321285,0.571096899818798,1.0433173877259,"Polar","",0.571096899818798,1.0433173877259,"","0.77 (0.57-1.04)"
