"Bacteria","scenario","annual_ci_width_2100","period_ci_width_2090s","temperature_curve_mean_log_se","temperature_curve_max_log_se","temperature_curve_mean_ci_width","lookup_edge_stabilized_share","n_lag_candidates_used","n_lag_candidates_delta_aic_le_2"
"3GCR-Ec","ssp126",6.38796411549096,22.7228684993615,1.06224033397748,2.76293161129423,1.27840330532841,0.0523690773067332,4,4
"3GCR-Ec","ssp245",7.43597543684025,24.48836005409,1.06224033397748,2.76293161129423,1.27840330532841,0.0523690773067332,4,4
"3GCR-Ec","ssp370",7.88474929204045,24.5996977151466,1.06224033397748,2.76293161129423,1.27840330532841,0.0523690773067332,4,4
"3GCR-Ec","ssp585",9.23708350859625,29.4606647444596,1.06224033397748,2.76293161129423,1.27840330532841,0.0523690773067332,4,4
"3GCR-Kp","ssp126",6.79767840597892,14.2606224930563,0.631277766896272,1.65853548328841,1.17373315537973,0.0502909393183707,1,1
"3GCR-Kp","ssp245",8.18005196756426,18.03019604573,0.631277766896272,1.65853548328841,1.17373315537973,0.0502909393183707,1,1
"3GCR-Kp","ssp370",9.63843930261629,18.0426937268291,0.631277766896272,1.65853548328841,1.17373315537973,0.0502909393183707,1,1
"3GCR-Kp","ssp585",11.4364736012645,22.5719976706028,0.631277766896272,1.65853548328841,1.17373315537973,0.0502909393183707,1,1
"CR-Ab","ssp126",14.6398191253351,25.5619569612516,1.00830963524488,3.50607802551421,1.09590207956139,0.048836242726517,1,1
"CR-Ab","ssp245",13.1934757430166,23.0044198038735,1.00830963524488,3.50607802551421,1.09590207956139,0.048836242726517,1,1
"CR-Ab","ssp370",13.8808982836415,22.4098214256651,1.00830963524488,3.50607802551421,1.09590207956139,0.048836242726517,1,1
"CR-Ab","ssp585",13.2497471086901,24.9878515599643,1.00830963524488,3.50607802551421,1.09590207956139,0.048836242726517,1,1
"CR-Ec","ssp126",0.144451554705465,6.79528326413001,0.16380587934818,0.894045868673006,0.539844273628452,0.0586034912718204,4,4
"CR-Ec","ssp245",0.179881268993625,8.21985645093788,0.16380587934818,0.894045868673006,0.539844273628452,0.0586034912718204,4,4
"CR-Ec","ssp370",0.208599497052078,8.6790603903758,0.16380587934818,0.894045868673006,0.539844273628452,0.0586034912718204,4,4
"CR-Ec","ssp585",0.239940318701893,9.91415763087969,0.16380587934818,0.894045868673006,0.539844273628452,0.0586034912718204,4,4
"CR-Kp","ssp126",3.56283126623818,29.2840022074634,1.31457881458097,3.91211198533636,1.19973537729903,0.0490440565253533,2,2
"CR-Kp","ssp245",4.03478043550468,32.5959977730881,1.31457881458097,3.91211198533636,1.19973537729903,0.0490440565253533,2,2
"CR-Kp","ssp370",4.16618141806442,32.802483011349,1.31457881458097,3.91211198533636,1.19973537729903,0.0490440565253533,2,2
"CR-Kp","ssp585",4.15195740938384,32.8530145755444,1.31457881458097,3.91211198533636,1.19973537729903,0.0490440565253533,2,2
"CR-Pa","ssp126",3.43912414892969,13.5773278735224,0.994286014156596,2.69882427588279,0.239202886773372,0.0529925187032419,1,1
"CR-Pa","ssp245",3.42803703664703,13.5172713848171,0.994286014156596,2.69882427588279,0.239202886773372,0.0529925187032419,1,1
"CR-Pa","ssp370",3.82780751761817,14.2472965371667,0.994286014156596,2.69882427588279,0.239202886773372,0.0529925187032419,1,1
"CR-Pa","ssp585",4.35797041645847,15.6798817811259,0.994286014156596,2.69882427588279,0.239202886773372,0.0529925187032419,1,1
