"k","log_w","e_log_w","gap","se","Climate_Factor","Selected","K_Min","K_Max","Selection_Method"
2,1.56014928167671,1.91179231031027,0.35164302863356,0.0362854295125447,"Temperature",FALSE,2,10,"Gap statistic (restricted maxSE)"
3,1.29881175097219,1.75978003176151,0.460968280789327,0.0372649022155931,"Temperature",FALSE,2,10,"Gap statistic (restricted maxSE)"
4,1.11131484558343,1.64543577410845,0.534120928525015,0.0361277390655755,"Temperature",FALSE,2,10,"Gap statistic (restricted maxSE)"
5,0.859799381426546,1.55143950540207,0.691640123975527,0.0338923959790144,"Temperature",FALSE,2,10,"Gap statistic (restricted maxSE)"
6,0.735386385988601,1.46545694321891,0.730070557230305,0.0345621047570103,"Temperature",FALSE,2,10,"Gap statistic (restricted maxSE)"
7,0.655797748937986,1.38817062830814,0.732372879370156,0.0374528210577422,"Temperature",FALSE,2,10,"Gap statistic (restricted maxSE)"
8,0.541041311155538,1.31749977657017,0.776458465414636,0.0382949654308758,"Temperature",TRUE,2,10,"Gap statistic (restricted maxSE)"
9,0.450398834875174,1.25446131137046,0.80406247649529,0.039049671372564,"Temperature",FALSE,2,10,"Gap statistic (restricted maxSE)"
10,0.406982167571299,1.19599620981681,0.789014042245507,0.038957112558973,"Temperature",FALSE,2,10,"Gap statistic (restricted maxSE)"
2,-0.648686889651861,-0.558814287594983,0.0898726020568782,0.0613261230876041,"Relative Humidity",FALSE,2,10,"Gap statistic (restricted maxSE)"
3,-1.21232132108182,-0.96657472085864,0.245746600223182,0.0527617295610581,"Relative Humidity",TRUE,2,10,"Gap statistic (restricted maxSE)"
4,-1.45166024215285,-1.26799048701627,0.183669755136582,0.0435945109766748,"Relative Humidity",FALSE,2,10,"Gap statistic (restricted maxSE)"
5,-1.77457721180325,-1.48722689662924,0.287350315174009,0.0439154561096679,"Relative Humidity",FALSE,2,10,"Gap statistic (restricted maxSE)"
6,-2.03795526458811,-1.6714189271505,0.366536337437609,0.0412788457008828,"Relative Humidity",FALSE,2,10,"Gap statistic (restricted maxSE)"
7,-2.12955199640508,-1.81928707115769,0.310264925247391,0.041309138200158,"Relative Humidity",FALSE,2,10,"Gap statistic (restricted maxSE)"
8,-2.2395495698565,-1.9444444885447,0.295105081311807,0.0438743797976098,"Relative Humidity",FALSE,2,10,"Gap statistic (restricted maxSE)"
9,-2.4012089653642,-2.04958070157421,0.351628263789994,0.0468058898993454,"Relative Humidity",FALSE,2,10,"Gap statistic (restricted maxSE)"
10,-2.52146862975761,-2.14056690134722,0.380901728410395,0.0495394494711798,"Relative Humidity",FALSE,2,10,"Gap statistic (restricted maxSE)"
2,0.795017012974458,1.30278675538816,0.507769742413698,0.0366308019996398,"Precipitation",FALSE,2,10,"Gap statistic (restricted maxSE)"
3,0.431388016320324,1.14651744124379,0.715129424923468,0.035446475541564,"Precipitation",FALSE,2,10,"Gap statistic (restricted maxSE)"
4,0.265150551578892,1.01624797836013,0.751097426781237,0.0323416989842992,"Precipitation",TRUE,2,10,"Gap statistic (restricted maxSE)"
5,0.143617628879846,0.916843679489762,0.773226050609915,0.0302203800099449,"Precipitation",FALSE,2,10,"Gap statistic (restricted maxSE)"
6,0.0575908763887326,0.835537613991332,0.777946737602599,0.0297304335982643,"Precipitation",FALSE,2,10,"Gap statistic (restricted maxSE)"
7,-0.00334184288042291,0.768222917764678,0.7715647606451,0.0295909055118194,"Precipitation",FALSE,2,10,"Gap statistic (restricted maxSE)"
8,-0.103692278814602,0.709043522952886,0.812735801767488,0.0300205208783969,"Precipitation",FALSE,2,10,"Gap statistic (restricted maxSE)"
9,-0.207415197449982,0.655610900578071,0.863026098028054,0.0305344011642447,"Precipitation",FALSE,2,10,"Gap statistic (restricted maxSE)"
10,-0.298067123343629,0.604240603533478,0.902307726877108,0.031063932929822,"Precipitation",FALSE,2,10,"Gap statistic (restricted maxSE)"
2,0.968342052112127,1.26803666348609,0.299694611373967,0.0332340978460079,"Wet Days",FALSE,2,10,"Gap statistic (restricted maxSE)"
3,0.694777570679526,1.14605735956264,0.451279788883116,0.0341371262173258,"Wet Days",FALSE,2,10,"Gap statistic (restricted maxSE)"
4,0.542530603728192,1.04527279227514,0.502742188546951,0.032518988935115,"Wet Days",FALSE,2,10,"Gap statistic (restricted maxSE)"
5,0.385572211274041,0.961070238642785,0.575498027368745,0.0295928334316525,"Wet Days",FALSE,2,10,"Gap statistic (restricted maxSE)"
6,0.2435732745658,0.886869017622399,0.643295743056599,0.0294387834602974,"Wet Days",FALSE,2,10,"Gap statistic (restricted maxSE)"
7,0.147128904508495,0.819411714620311,0.672282810111816,0.0283491100543251,"Wet Days",FALSE,2,10,"Gap statistic (restricted maxSE)"
8,0.061561417789018,0.757345635819291,0.695784218030273,0.0304579852609896,"Wet Days",FALSE,2,10,"Gap statistic (restricted maxSE)"
9,-0.0204417007294634,0.698419808106394,0.718861508835857,0.0303843850877143,"Wet Days",FALSE,2,10,"Gap statistic (restricted maxSE)"
10,-0.158503545823656,0.643206880854965,0.80171042667862,0.0312874533218995,"Wet Days",TRUE,2,10,"Gap statistic (restricted maxSE)"
