"Bacteria","scenario","Scenario_Label","Scenario_Full_Label","year","resistance_rate_pct","lower_95ci_pct","upper_95ci_pct","endpoint_label","endpoint_label_with_ci"
"3GCR-Ec","ssp126","SSP1-2.6","SSP1-2.6 (Sustainability)",2100,26.8037742016809,23.748980079021,30.136944194512,"26.80","26.80 [23.75, 30.14]"
"3GCR-Ec","ssp245","SSP2-4.5","SSP2-4.5 (Middle of the Road)",2100,28.1171994413896,24.5129881651657,31.948963602006,"28.12","28.12 [24.51, 31.95]"
"3GCR-Ec","ssp370","SSP3-7.0","SSP3-7.0 (Regional Rivalry)",2100,28.4886477200495,24.9242678910354,32.8090171830758,"28.49","28.49 [24.92, 32.81]"
"3GCR-Ec","ssp585","SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)",2100,29.0941193753527,24.9707449765429,34.2078284851391,"29.09","29.09 [24.97, 34.21]"
"3GCR-Kp","ssp126","SSP1-2.6","SSP1-2.6 (Sustainability)",2100,56.6731043603117,53.6347152568631,60.432393662842,"56.67","56.67 [53.63, 60.43]"
"3GCR-Kp","ssp245","SSP2-4.5","SSP2-4.5 (Middle of the Road)",2100,61.3762675820418,57.7713093003656,65.9513612679298,"61.38","61.38 [57.77, 65.95]"
"3GCR-Kp","ssp370","SSP3-7.0","SSP3-7.0 (Regional Rivalry)",2100,63.7365614721136,59.286611464456,68.9250507670723,"63.74","63.74 [59.29, 68.93]"
"3GCR-Kp","ssp585","SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)",2100,66.3840516414421,60.6621330964986,72.0986066977631,"66.38","66.38 [60.66, 72.10]"
"CR-Ab","ssp126","SSP1-2.6","SSP1-2.6 (Sustainability)",2100,55.553681485706,48.2861905548068,62.926009680142,"55.55","55.55 [48.29, 62.93]"
"CR-Ab","ssp245","SSP2-4.5","SSP2-4.5 (Middle of the Road)",2100,56.8011694700073,49.8891503119948,63.0826260550114,"56.80","56.80 [49.89, 63.08]"
"CR-Ab","ssp370","SSP3-7.0","SSP3-7.0 (Regional Rivalry)",2100,57.2643285833479,50.9620714547329,64.8429697383744,"57.26","57.26 [50.96, 64.84]"
"CR-Ab","ssp585","SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)",2100,59.0773202746853,52.437203730445,65.6869508391352,"59.08","59.08 [52.44, 65.69]"
"CR-Ec","ssp126","SSP1-2.6","SSP1-2.6 (Sustainability)",2100,1.8151598323079,1.74417826315044,1.88862981785591,"1.82","1.82 [1.74, 1.89]"
"CR-Ec","ssp245","SSP2-4.5","SSP2-4.5 (Middle of the Road)",2100,1.94894897100305,1.8639372437315,2.04381851272512,"1.95","1.95 [1.86, 2.04]"
"CR-Ec","ssp370","SSP3-7.0","SSP3-7.0 (Regional Rivalry)",2100,2.00838039358307,1.90743463557268,2.11603413262476,"2.01","2.01 [1.91, 2.12]"
"CR-Ec","ssp585","SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)",2100,2.08394541354263,1.96575517436079,2.20569549306268,"2.08","2.08 [1.97, 2.21]"
"CR-Kp","ssp126","SSP1-2.6","SSP1-2.6 (Sustainability)",2100,17.0398374349797,15.262111589821,18.8249428560592,"17.04","17.04 [15.26, 18.82]"
"CR-Kp","ssp245","SSP2-4.5","SSP2-4.5 (Middle of the Road)",2100,17.8498768225147,15.9688310033891,20.0036114388938,"17.85","17.85 [15.97, 20.00]"
"CR-Kp","ssp370","SSP3-7.0","SSP3-7.0 (Regional Rivalry)",2100,18.1130862623711,16.1099093435782,20.2760907616426,"18.11","18.11 [16.11, 20.28]"
"CR-Kp","ssp585","SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)",2100,18.5459967732942,16.5448852196203,20.6968426290041,"18.55","18.55 [16.54, 20.70]"
"CR-Pa","ssp126","SSP1-2.6","SSP1-2.6 (Sustainability)",2100,25.7383523565695,24.055579746136,27.4947038950657,"25.74","25.74 [24.06, 27.49]"
"CR-Pa","ssp245","SSP2-4.5","SSP2-4.5 (Middle of the Road)",2100,27.0622493385796,25.5413212851297,28.9693583217767,"27.06","27.06 [25.54, 28.97]"
"CR-Pa","ssp370","SSP3-7.0","SSP3-7.0 (Regional Rivalry)",2100,27.6300968614131,26.110780035311,29.9385875529292,"27.63","27.63 [26.11, 29.94]"
"CR-Pa","ssp585","SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)",2100,28.6606516141464,26.9499977369162,31.3079681533747,"28.66","28.66 [26.95, 31.31]"
