"Bacteria","scenario","period","relative_change_pct","lower_95ci_pct","upper_95ci_pct","n_years","n_draws","Scenario_Label","Scenario_Full_Label"
"3GCR-Ec","ssp126","2030s",-0.339504473101294,-10.8529751553882,10.6469164068463,10,1000,"SSP1-2.6","SSP1-2.6 (Sustainability)"
"3GCR-Ec","ssp126","2050s",1.11099068035544,-10.6847900899819,12.6876848298489,10,1000,"SSP1-2.6","SSP1-2.6 (Sustainability)"
"3GCR-Ec","ssp126","2090s",0.263419553289636,-10.3484304323123,12.3744380670492,10,1000,"SSP1-2.6","SSP1-2.6 (Sustainability)"
"3GCR-Ec","ssp245","2030s",1.69198001337119,-9.00964558087306,14.6949842852767,10,1000,"SSP2-4.5","SSP2-4.5 (Middle of the Road)"
"3GCR-Ec","ssp245","2050s",4.45980669349812,-6.91251767717226,17.6412085362129,10,1000,"SSP2-4.5","SSP2-4.5 (Middle of the Road)"
"3GCR-Ec","ssp245","2090s",4.75237619225241,-7.08651089308724,17.4018491610028,10,1000,"SSP2-4.5","SSP2-4.5 (Middle of the Road)"
"3GCR-Ec","ssp370","2030s",3.1969477415169,-8.04269116281631,15.308376933484,10,1000,"SSP3-7.0","SSP3-7.0 (Regional Rivalry)"
"3GCR-Ec","ssp370","2050s",6.60527801337351,-4.72184404097109,17.6559844847492,10,1000,"SSP3-7.0","SSP3-7.0 (Regional Rivalry)"
"3GCR-Ec","ssp370","2090s",6.34885673150874,-5.32594032469063,19.273757390456,10,1000,"SSP3-7.0","SSP3-7.0 (Regional Rivalry)"
"3GCR-Ec","ssp585","2030s",3.6688995630815,-6.79058509997906,15.6615330701729,10,1000,"SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)"
"3GCR-Ec","ssp585","2050s",7.44147186997155,-5.14274584658413,20.208260192912,10,1000,"SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)"
"3GCR-Ec","ssp585","2090s",8.71507680145863,-5.27253533468009,24.1881294097795,10,1000,"SSP5-8.5","SSP5-8.5 (Fossil-fueled Development)"
"3GCR-Kp","ssp126","2030s",26.5080049644641,20.8752382909054,33.7509196540814,10,1000,"SSP1-2.6","SSP1-2.6 (Sustainability)"
"3GCR-Kp","ssp126","2050s",31.07413061669,24.7527066912164,39.6644504140719,10,1000,"SSP1-2.6","SSP1-2.6 (Sustainability)"
"3GCR-Kp","ssp126","2090s",29.8489123660654,23.6469405645031,37.9075630575593,10,1000,"SSP1-2.6","SSP1-2.6 (Sustainability)"
"3GCR-Kp","ssp245","2030s",27.9868987244393,21.5026837472796,35.9702969419688,10,1000,"SSP2-4.5","SSP2-4.5 (Middle of the Road)"
