"Model_Key","Model_Label","Bacteria","Display_Name","combination_id","TMP_lag","PREC_lag","HUM_lag","WET_lag","AIC","BIC","Dev_explained","GCV","CV_RMSE","Max_VIF","n_samples","n_countries","Model_Formula","AIC_diff","rank","is_best"
"A","Model A (TMP, PREC, HUM)","3GCREC","3GCR-Ec",15,3,2,2,NA,943.982455232279,1159.53597130541,87.0310555385295,530.535159622234,0.987800106384455,1.60262023346476,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",0,1,TRUE
"A","Model A (TMP, PREC, HUM)","3GCREC","3GCR-Ec",12,3,1,2,NA,943.982924796587,1159.5381173469,87.0310605923745,530.53516214673,NA,1.01953926471347,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",0.000469564308104964,2,FALSE
"A","Model A (TMP, PREC, HUM)","3GCREC","3GCR-Ec",9,3,3,1,NA,944.941737922193,1169.56311750431,87.0879301602191,530.184865019531,NA,1.02692001924876,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",0.959282689914403,3,FALSE
"A","Model A (TMP, PREC, HUM)","3GCREC","3GCR-Ec",6,3,2,1,NA,944.943586134862,1169.56930586844,87.0879313660687,530.184851483896,NA,1.0161882135537,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",0.961130902583363,4,FALSE
"A","Model A (TMP, PREC, HUM)","3GCREC","3GCR-Ec",27,3,3,3,NA,946.130822056433,1170.88628726488,87.0667977957409,530.348048538979,NA,1.67294823133552,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",2.14836682415421,5,FALSE
"A","Model A (TMP, PREC, HUM)","3GCREC","3GCR-Ec",24,3,2,3,NA,946.131080085323,1170.88709814245,87.0667975265321,530.348050969709,NA,1.04636720551416,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",2.14862485304468,6,FALSE
"A","Model A (TMP, PREC, HUM)","3GCREC","3GCR-Ec",21,3,1,3,NA,946.131960434813,1170.89017522155,87.0667991692822,530.348046522403,NA,1.06531935468672,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",2.14950520253467,7,FALSE
"A","Model A (TMP, PREC, HUM)","3GCREC","3GCR-Ec",18,3,3,2,NA,947.757123072952,1172.09137869007,87.0328400047234,530.534339423819,NA,1.02640309184441,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",3.77466784067326,8,FALSE
"A","Model A (TMP, PREC, HUM)","3GCREC","3GCR-Ec",3,3,1,1,NA,948.681571152612,1182.01352963791,87.0897799308873,530.183917934782,NA,1.49605715709534,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",4.6991159203335,9,FALSE
"A","Model A (TMP, PREC, HUM)","3GCREC","3GCR-Ec",16,1,3,2,NA,953.902383317393,1176.95766907741,86.9063287870397,532.87621488344,NA,1.00875202271869,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(HUM_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",9.91992808511384,10,FALSE
