"Model_Key","Model_Label","Bacteria","Display_Name","combination_id","TMP_lag","PREC_lag","HUM_lag","WET_lag","AIC","BIC","Dev_explained","GCV","CV_RMSE","Max_VIF","n_samples","n_countries","Model_Formula","AIC_diff","rank","is_best"
"B","Model B (TMP, PREC, WET)","3GCREC","3GCR-Ec",16,1,3,NA,2,941.316339329391,1169.25305136753,87.1826277842804,528.743821394479,1.05494475715608,1.05557842575976,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(WET_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",0,1,TRUE
"B","Model B (TMP, PREC, WET)","3GCREC","3GCR-Ec",7,1,3,NA,1,941.316428557425,1169.253396397,87.1826282202939,528.74381764117,NA,1.04138646723296,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(WET_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",8.9228033971267e-05,2,FALSE
"B","Model B (TMP, PREC, WET)","3GCREC","3GCR-Ec",8,2,3,NA,1,942.279362210015,1164.35567305445,87.116688461265,529.674441852443,NA,1.04108038505225,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(WET_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",0.963022880624635,3,FALSE
"B","Model B (TMP, PREC, WET)","3GCREC","3GCR-Ec",17,2,3,NA,2,942.460310318317,1158.48271079418,87.0634614923106,530.266696319925,NA,1.07219388206262,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(WET_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",1.1439709889263,4,FALSE
"B","Model B (TMP, PREC, WET)","3GCREC","3GCR-Ec",25,1,3,NA,3,953.89766596153,1177.6895250649,86.9125677705726,532.18110105917,NA,4.41325204793741,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(WET_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",12.5813266321395,5,FALSE
"B","Model B (TMP, PREC, WET)","3GCREC","3GCR-Ec",19,1,1,NA,3,953.897845453834,1177.69021742075,86.9125686518697,532.181103975131,NA,1.05375145237888,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(WET_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",12.5815061244433,6,FALSE
"B","Model B (TMP, PREC, WET)","3GCREC","3GCR-Ec",22,1,2,NA,3,953.898534268739,1177.69254094701,86.912569250699,532.18110508859,NA,1.01522102274602,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(WET_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",12.5821949393486,7,FALSE
"B","Model B (TMP, PREC, WET)","3GCREC","3GCR-Ec",20,2,1,NA,3,954.23103844815,1172.19523894598,86.8574949421177,532.953522765608,NA,1.04389747007982,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(WET_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",12.9146991187595,8,FALSE
"B","Model B (TMP, PREC, WET)","3GCREC","3GCR-Ec",23,2,2,NA,3,954.231040183541,1172.19512787138,86.8574939635281,532.953486260901,NA,1.0319760966725,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(WET_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",12.9147008541509,9,FALSE
"B","Model B (TMP, PREC, WET)","3GCREC","3GCR-Ec",26,2,3,NA,3,954.857513324173,1166.58934750687,86.7931825875343,533.562262654407,NA,4.42472529798095,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(WET_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",13.5411739947823,10,FALSE
"B","Model B (TMP, PREC, WET)","3GCREC","3GCR-Ec",21,3,1,NA,3,955.149094197379,1168.5349447,86.8015390237952,535.466667916097,NA,1.03833914235897,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(WET_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",13.8327548679888,11,FALSE
"B","Model B (TMP, PREC, WET)","3GCREC","3GCR-Ec",15,3,2,NA,2,957.678059180238,1170.75627363711,86.7505466082291,536.394251724,NA,4.50574624070508,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(WET_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",16.3617198508476,12,FALSE
"B","Model B (TMP, PREC, WET)","3GCREC","3GCR-Ec",12,3,1,NA,2,957.67854270406,1170.75764429703,86.7505448335543,536.394256641764,NA,1.04311063934885,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(WET_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",16.3622033746697,13,FALSE
"B","Model B (TMP, PREC, WET)","3GCREC","3GCR-Ec",27,3,3,NA,3,959.009179712255,1181.28377779113,86.8026328152455,535.46644790901,NA,4.41803189395796,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(WET_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",17.6928403828643,14,FALSE
"B","Model B (TMP, PREC, WET)","3GCREC","3GCR-Ec",24,3,2,NA,3,959.009646771067,1181.28538233667,86.8026334692325,535.466443358331,NA,1.02327274897231,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(WET_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",17.6933074416766,15,FALSE
"B","Model B (TMP, PREC, WET)","3GCREC","3GCR-Ec",18,3,3,NA,2,961.412653051273,1183.23409987798,86.7528210455447,536.393218977917,NA,1.06746391918383,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(WET_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",20.0963137218819,16,FALSE
"B","Model B (TMP, PREC, WET)","3GCREC","3GCR-Ec",3,3,1,NA,1,962.193454070311,1176.3024155847,86.6724478373484,537.168509486856,NA,4.44397252607116,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(WET_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",20.8771147409202,17,FALSE
"B","Model B (TMP, PREC, WET)","3GCREC","3GCR-Ec",9,3,3,NA,1,965.222356172763,1187.37526925725,86.6823991153659,537.149710016276,NA,1.03212843457176,691,60,"logit_R ~ s(TMP_scaled_lag, k = 10, bs = 'cr') + s(PREC_scaled_lag, k = 10, bs = 'cr') + s(WET_scaled_lag, k = 10, bs = 'cr') + s(PLS_Comp1, k = 10, bs = 'cr') + s(PLS_Comp2, k = 10, bs = 'cr') + s(PLS_Comp3, k = 10, bs = 'cr') + s(lat, lon, bs = 'sos', k = 20) + s(year, bs = 'cr', k = 8) + s(Region, bs = 're') + climate_zone",23.9060168433725,18,FALSE
