"Bacteria","Lag_Combination","combination_id","AIC","BIC","Deviance_Explained_pct","GCV","sample_size","temp_lag","prec_lag","hum_lag","wet_lag","is_original_optimal","Rank","Optimal","CV_RMSE","CV_RMSE_sd"
"3GCR-Ec","3-2-2-3","T3_P2_H2_W3",1056.86243995691,1275.17945656865,84.7565100326838,577.814419777237,691,3,2,2,3,FALSE,1,"Yes",0.841686237410443,0.126617725979035
"3GCR-Ec","2-2-3-1","T2_P2_H3_W1",1058.34251956398,1285.3436636899,84.8081992224968,581.093720553667,691,2,2,3,1,FALSE,2,"No",0.807638229702883,0.136840972811484
"3GCR-Ec","3-3-2-3","T3_P3_H2_W3",1058.3637652632,1276.20196284519,84.7186887794963,578.229910311971,691,3,3,2,3,FALSE,3,"No",0.831032197765266,0.134080468498213
"3GCR-Ec","3-2-3-3","T3_P2_H3_W3",1058.81913313605,1276.6065918078,84.708120256571,578.46456032379,691,3,2,3,3,FALSE,4,"No",0.83033114042479,0.136426924618706
"3GCR-Ec","3-3-3-1","T3_P3_H3_W1",1058.97441224545,1279.43900855284,84.7307770441945,579.943060879435,691,3,3,3,1,FALSE,5,"No",0.760005902860227,0.168606835130355
"3GCR-Ec","3-2-3-1","T3_P2_H3_W1",1059.02613453182,1283.93795869936,84.7728851772908,580.311464541363,691,3,2,3,1,FALSE,6,"No",0.790292242426515,0.153487518401563
"3GCR-Ec","2-3-3-1","T2_P3_H3_W1",1059.88154832392,1284.15314632564,84.7477967043963,580.999916352192,691,2,3,3,1,FALSE,7,"No",0.807470714036302,0.130712535517581
"3GCR-Ec","3-3-3-2","T3_P3_H3_W2",1060.55039749011,1282.60665667383,84.711440188822,580.938266579402,691,3,3,3,2,FALSE,8,"No",0.860939687032034,0.190395060328498
"3GCR-Ec","2-2-3-3","T2_P2_H3_W3",1060.67344430698,1276.32079101621,84.6460863765099,578.869730862128,691,2,2,3,3,FALSE,9,"No",0.804094585189949,0.121791477980523
"3GCR-Ec","3-3-3-3","T3_P3_H3_W3",1060.69881604639,1275.39787160394,84.636233327923,578.500399004825,691,3,3,3,3,FALSE,10,"No",0.824464410995633,0.131252724168305
"3GCR-Ec","3-2-1-3","T3_P2_H1_W3",1060.81104960021,1265.40929758871,84.5344265516622,579.020870990028,691,3,2,1,3,FALSE,11,"No",NA,NA
"3GCR-Ec","3-3-1-3","T3_P3_H1_W3",1062.02217127406,1265.69561934317,84.4981554867153,578.802295090744,691,3,3,1,3,FALSE,12,"No",NA,NA
"3GCR-Ec","2-3-3-2","T2_P3_H3_W2",1062.31445590793,1285.0426308792,84.6789271244262,581.852076207297,691,2,3,3,2,FALSE,13,"No",NA,NA
