Bacteria,Climate_Factor,Lag_Years,EDF,F_stat,P_value,Sig_Adjustment,Raw_Weight,Final_Weight,Lag_Combination
3GCR-Ec,Temperature,3,2.32453,5.494582,1.30587277785699e-5,1,0.333295,0.312491,3-2-2-3
3GCR-Ec,Precipitation,2,0.82876,0.64755,0.0126245475461271,0.7,0.009803,0.05,3-2-2-3
3GCR-Ec,Humidity,2,2.070744,0.800514,0.0112916885842685,0.7,0.03028,0.05,3-2-2-3
3GCR-Ec,Wet Days,3,5.753401,4.173707,2.91339419344894e-6,1,0.626622,0.587509,3-2-2-3
3GCR-Kp,Temperature,2,2.466,10.363042,0,1,0.294826,0.294826,2-3-2-1
3GCR-Kp,Precipitation,3,4.30448,3.521616,2.52178412649684e-5,1,0.174883,0.174883,2-3-2-1
3GCR-Kp,Humidity,2,3.788595,4.225134,0,1,0.184673,0.184673,2-3-2-1
3GCR-Kp,Wet Days,1,5.621191,5.329448,0,1,0.345618,0.345618,2-3-2-1
CR-Ab,Temperature,3,3.480717,30.507236,0,1,0.891593,0.7,3-2-3-3
CR-Ab,Precipitation,2,2.768059,1.030889,0.0116297286164855,0.7,0.016772,0.05,3-2-3-3
CR-Ab,Humidity,3,0.863992,1.019467,0.00458497082206999,1,0.007396,0.05,3-2-3-3
CR-Ab,Wet Days,3,3.623542,2.768791,9.9478099310879e-5,1,0.08424,0.2,3-2-3-3
CR-Ec,Temperature,3,0.853348,1.572711,0.00558111771078684,1,0.041149,0.058824,3-3-2-3
CR-Ec,Precipitation,3,7.4e-4,2.8e-5,0.601011687461187,0.1,0,0.058824,3-3-2-3
CR-Ec,Humidity,2,5.1e-5,1e-6,0.840641832739437,0.1,0,0.058824,3-3-2-3
CR-Ec,Wet Days,3,4.599574,6.799071,0,1,0.958851,0.823529,3-3-2-3
CR-Kp,Temperature,1,2.957158,4.486726,2.877884763085e-4,1,0.198917,0.198917,1-3-3-2
CR-Kp,Precipitation,3,2.677196,1.589076,6.2091385432316e-4,1,0.063781,0.063781,1-3-3-2
CR-Kp,Humidity,3,2.369449,1.629764,1.351652262338e-4,1,0.057895,0.057895,1-3-3-2
CR-Kp,Wet Days,2,6.209003,7.298613,0,1,0.679407,0.679407,1-3-3-2
CR-Pa,Temperature,2,2.713422,4.006029,2.4392747038637e-4,1,0.214529,0.214529,2-1-2-1
CR-Pa,Precipitation,1,2.612668,2.779113,8.03346112854264e-7,1,0.1433,0.1433,2-1-2-1
CR-Pa,Humidity,2,3.656612,3.090102,2.10105394993221e-6,1,0.223001,0.223001,2-1-2-1
CR-Pa,Wet Days,1,4.415854,4.809727,0,1,0.41917,0.41917,2-1-2-1
