"AMR_Strain","Lag_Combination","Optimal","Rank","AIC","BIC","Deviance_Explained_pct","GCV","CV_RMSE","sample_size"
"3GCR-Ec","3-2-2-3","Yes",1,1056.862,1275.179,84.757,577.814,0.842,691
"3GCR-Ec","2-2-3-1","No",2,1058.343,1285.344,84.808,581.094,0.808,691
"3GCR-Ec","3-3-2-3","No",3,1058.364,1276.202,84.719,578.23,0.831,691
"3GCR-Ec","3-2-3-3","No",4,1058.819,1276.607,84.708,578.465,0.83,691
"3GCR-Ec","3-3-3-1","No",5,1058.974,1279.439,84.731,579.943,0.76,691
"3GCR-Ec","3-2-3-1","No",6,1059.026,1283.938,84.773,580.311,0.79,691
"3GCR-Ec","2-3-3-1","No",7,1059.882,1284.153,84.748,581,0.807,691
"3GCR-Ec","3-3-3-2","No",8,1060.55,1282.607,84.711,580.938,0.861,691
"3GCR-Ec","2-2-3-3","No",9,1060.673,1276.321,84.646,578.87,0.804,691
"3GCR-Ec","3-3-3-3","No",10,1060.699,1275.398,84.636,578.5,0.824,691
"3GCR-Kp","2-3-2-1","Yes",1,174.3,389.995,82.303,157.886,0.537,545
"3GCR-Kp","3-3-2-1","No",2,176.531,391.746,82.223,158.178,0.589,545
"3GCR-Kp","3-3-1-1","No",3,178.845,396.155,82.179,160.103,0.503,545
"3GCR-Kp","3-3-2-2","No",4,184.912,399.929,81.944,161.374,0.633,545
"3GCR-Kp","3-2-2-2","No",5,185.164,395.52,81.864,161.493,0.735,545
"3GCR-Kp","3-2-2-1","No",6,188.715,398.035,81.729,162.585,0.619,545
"3GCR-Kp","3-3-1-2","No",7,188.771,402.516,81.796,163.132,0.522,545
"3GCR-Kp","2-3-2-2","No",8,188.869,403.966,81.814,163.678,0.552,545
"3GCR-Kp","3-2-1-2","No",9,190.632,400.519,81.674,163.93,0.742,545
"3GCR-Kp","3-2-1-1","No",10,191.606,405.192,81.699,165.302,0.611,545
"CR-Ab","3-2-3-3","Yes",1,112.649,277.498,91.014,120.207,0.745,294
"CR-Ab","3-2-2-2","No",2,115.876,292.29,91.106,121.704,0.84,294
"CR-Ab","3-3-2-2","No",3,118.39,279.648,90.775,121.358,0.829,294
"CR-Ab","3-1-2-2","No",4,118.442,283.481,90.838,121.547,0.859,294
"CR-Ab","2-2-2-3","No",5,118.839,292.962,90.978,122.253,0.818,294
"CR-Ab","3-2-2-3","No",6,120.754,280.941,90.682,120.371,0.745,294
"CR-Ab","2-2-3-3","No",7,121.642,283.117,90.677,121.709,0.823,294
"CR-Ab","2-3-2-2","No",8,127.164,286.9,90.469,123.396,0.814,294
"CR-Ab","3-2-2-1","No",9,128.862,279.577,90.253,122.244,0.817,294
"CR-Ab","1-2-3-2","No",10,129.849,291.689,90.419,126.445,0.906,294
"CR-Ec","3-3-2-3","Yes",1,-1215.289,-1053.985,77.953,-562.869,0.108,621
"CR-Ec","3-2-2-3","No",2,-1215.071,-1053.278,77.953,-562.869,0.107,621
"CR-Ec","3-3-1-3","No",3,-1214.853,-1052.577,77.953,-562.869,0.107,621
"CR-Ec","3-3-3-3","No",4,-1214.742,-1052.225,77.953,-562.869,0.11,621
"CR-Ec","3-2-1-3","No",5,-1214.731,-1052.168,77.953,-562.869,0.107,621
"CR-Ec","3-2-3-3","No",6,-1214.726,-1052.136,77.954,-562.869,0.11,621
"CR-Ec","1-2-1-3","No",7,-1212.42,-1046.095,77.932,-563.064,0.109,621
"CR-Ec","1-2-2-3","No",8,-1212.409,-1046.056,77.932,-563.064,0.108,621
"CR-Ec","1-2-3-3","No",9,-1212.408,-1046.053,77.932,-563.064,0.111,621
"CR-Ec","1-3-1-3","No",10,-1212.408,-1046.049,77.932,-563.064,0.11,621
"CR-Kp","1-3-3-2","Yes",1,415.233,598.857,71.722,253.988,0.697,521
"CR-Kp","1-3-2-2","No",2,415.308,599.579,71.735,253.417,0.67,521
"CR-Kp","1-1-3-2","No",3,418.804,604.038,71.569,254.94,0.687,521
"CR-Kp","2-3-2-2","No",4,419.474,602.769,71.483,253.803,0.687,521
"CR-Kp","1-3-3-1","No",5,420.668,610.591,71.587,255.099,0.653,521
"CR-Kp","3-3-2-2","No",6,421.214,604.871,71.396,253.824,0.663,521
"CR-Kp","3-3-3-2","No",7,422.607,602.251,71.216,254.418,0.681,521
"CR-Kp","2-1-3-2","No",8,422.732,607.031,71.33,255.591,0.687,521
"CR-Kp","2-3-3-1","No",9,422.732,608.478,71.367,254.767,0.634,521
"CR-Kp","3-3-3-1","No",10,423.374,609.103,71.331,254.942,0.655,521
"CR-Pa","2-1-2-1","Yes",1,-194.696,-16.223,83.19,-43.53,0.4,494
"CR-Pa","2-3-2-3","No",2,-188.76,-19.602,83.715,-48.12,0.361,447
"CR-Pa","2-2-2-1","No",3,-186.419,4.291,83.106,-40.427,0.37,494
"CR-Pa","2-3-1-3","No",4,-185.97,-23.025,83.501,-47.243,0.358,447
"CR-Pa","2-2-3-2","No",5,-184.192,-22.684,83.41,-48.683,0.366,447
"CR-Pa","2-1-3-1","No",6,-183.006,-20.554,83.383,-47.085,0.359,447
"CR-Pa","3-1-2-1","No",7,-181.246,-14.289,83.399,-47.459,0.372,447
"CR-Pa","2-3-2-2","No",8,-181.23,-25.947,83.185,-46.374,0.351,447
"CR-Pa","2-3-3-3","No",9,-180.09,-20.543,83.221,-46.403,0.337,447
"CR-Pa","2-3-2-1","No",10,-178.683,-18.025,83.188,-45.461,0.363,447
