"Bacteria","Source","Variable","N","Mean","SD","P10","P90"
"3GCR-Ec","Primary","Temperature (°C)",691,11.8305354558611,5.98516834747813,3.9,20.8
"3GCR-Ec","Primary","Precipitation (mm)",691,874.014327062229,392.466874348784,526,1327
"3GCR-Ec","Primary","Relative Humidity (%)",691,73.859209406657,7.78430193161666,64.74725,82.017
"3GCR-Ec","Primary","Wet Days (d)",691,147.160492040521,47.8111510162292,75,204.9
"3GCR-Ec","ERA5","Temperature (°C)",691,11.7209732272069,5.88075436613152,4.1752,20.5205
"3GCR-Ec","ERA5","Precipitation (mm)",691,976.634172214182,442.962762471439,600.3021,1410.074
"3GCR-Ec","ERA5","Relative Humidity (%)",691,73.859209406657,7.78430193161666,64.74725,82.017
"3GCR-Ec","ERA5","Wet Days (d)",691,226.367234008683,53.5357303359719,153.7674,281.5814
"3GCR-Ec","MERRA2","Temperature (°C)",691,11.2879191027496,6.25824524279513,3.2051,21.1263
"3GCR-Ec","MERRA2","Precipitation (mm)",691,861.355613892909,367.084884572702,523.7668,1305.4854
"3GCR-Ec","MERRA2","Relative Humidity (%)",691,78.11378552822,9.70961991113843,66.6089,88.8433
"3GCR-Ec","MERRA2","Wet Days (d)",691,232.617506946454,61.1146743640786,150.2081,310.7776
"3GCR-Kp","Primary","Temperature (°C)",545,12.3434862385321,6.14200511188223,6.38,22.6
"3GCR-Kp","Primary","Precipitation (mm)",545,883.418165137615,420.339940270173,524.26,1366.38
"3GCR-Kp","Primary","Relative Humidity (%)",545,73.3231141284404,8.2181313497749,63.8208,81.854
"3GCR-Kp","Primary","Wet Days (d)",545,144.972110091743,48.2906978634076,71.74,203.08
"3GCR-Kp","ERA5","Temperature (°C)",545,12.2673266055046,6.03961031669327,6.38804,22.17212
"3GCR-Kp","ERA5","Precipitation (mm)",545,984.709456146789,477.81536752038,594.96388,1415.13682
"3GCR-Kp","ERA5","Relative Humidity (%)",545,73.3231141284404,8.2181313497749,63.8208,81.854
"3GCR-Kp","ERA5","Wet Days (d)",545,224.038973944954,55.5179173511905,148.74382,280.04874
"3GCR-Kp","MERRA2","Temperature (°C)",545,11.8762455045872,6.37312443549015,5.72154,22.78356
"3GCR-Kp","MERRA2","Precipitation (mm)",545,860.466971009174,384.228141790187,518.61118,1274.21396
"3GCR-Kp","MERRA2","Relative Humidity (%)",545,77.4259244036697,9.90257319423673,65.4369,88.29736
"3GCR-Kp","MERRA2","Wet Days (d)",545,229.147635229358,60.9481733513462,149.04666,304.5012
"CR-Ab","Primary","Temperature (°C)",294,13.1,6.43077073815335,7.7,24.44
"CR-Ab","Primary","Precipitation (mm)",294,921.344557823129,482.829186884433,532.72,1569.51
"CR-Ab","Primary","Relative Humidity (%)",294,72.0283129251701,8.48286547294716,60.8455,81.7897
"CR-Ab","Primary","Wet Days (d)",294,140.018027210884,47.8001690222133,68.8,199.74
"CR-Ab","ERA5","Temperature (°C)",294,13.1517670068027,6.35653728125244,7.42131,24.40727
"CR-Ab","ERA5","Precipitation (mm)",294,1039.74712687075,571.842868182025,609.08972,1649.57348
"CR-Ab","ERA5","Relative Humidity (%)",294,72.0283129251701,8.48286547294716,60.8455,81.7897
"CR-Ab","ERA5","Wet Days (d)",294,221.479364285714,56.6233247601007,157.57478,284.29929
"CR-Ab","MERRA2","Temperature (°C)",294,12.7865642857143,6.60278423271102,6.56395,24.15015
"CR-Ab","MERRA2","Precipitation (mm)",294,906.190594217687,454.198525570842,549.3572,1428.08606
"CR-Ab","MERRA2","Relative Humidity (%)",294,75.6968585034014,10.0166877996238,61.82402,87.8102
"CR-Ab","MERRA2","Wet Days (d)",294,224.040919387755,59.1317367236046,149.84494,300.75949
"CR-Ec","Primary","Temperature (°C)",621,11.8869565217391,5.9269184110575,4.4,20.7
"CR-Ec","Primary","Precipitation (mm)",621,870.062640901771,405.826695041736,512.1,1355.4
"CR-Ec","Primary","Relative Humidity (%)",621,73.612084863124,7.973666847394,63.976,81.907
"CR-Ec","Primary","Wet Days (d)",621,146.209822866345,48.5148203176354,68.5,205.1
"CR-Ec","ERA5","Temperature (°C)",621,11.8030847020934,5.83438039501344,4.8094,20.3962
"CR-Ec","ERA5","Precipitation (mm)",621,968.590798711755,456.744802709745,581.5684,1394.4355
"CR-Ec","ERA5","Relative Humidity (%)",621,73.612084863124,7.973666847394,63.976,81.907
"CR-Ec","ERA5","Wet Days (d)",621,224.561964090177,54.482580840829,148.1707,280.7769
"CR-Ec","MERRA2","Temperature (°C)",621,11.3758433172303,6.17688653722224,3.677,21.0788
"CR-Ec","MERRA2","Precipitation (mm)",621,852.761241867955,374.995116866672,510.1432,1282.9824
"CR-Ec","MERRA2","Relative Humidity (%)",621,77.8810468599034,9.85356715984085,65.6572,88.7078
"CR-Ec","MERRA2","Wet Days (d)",621,230.657772302738,61.3419220530118,149.6893,307.3002
"CR-Kp","Primary","Temperature (°C)",521,12.2378119001919,6.01403248590108,6.7,21.5
"CR-Kp","Primary","Precipitation (mm)",521,877.81650671785,425.581791239588,519.5,1376
"CR-Kp","Primary","Relative Humidity (%)",521,73.2330714011516,8.36081548853546,63.347,81.866
"CR-Kp","Primary","Wet Days (d)",521,144.924184261036,48.6066554337808,67,203.8
"CR-Kp","ERA5","Temperature (°C)",521,12.1744441458733,5.91872121732984,6.4777,20.8143
"CR-Kp","ERA5","Precipitation (mm)",521,974.5429243762,482.786768810275,581.5684,1397.9231
"CR-Kp","ERA5","Relative Humidity (%)",521,73.2330714011516,8.36081548853546,63.347,81.866
"CR-Kp","ERA5","Wet Days (d)",521,223.045287523992,56.2866802497459,147.2375,279.3861
"CR-Kp","MERRA2","Temperature (°C)",521,11.7689239923225,6.22700459756197,5.7687,21.3334
"CR-Kp","MERRA2","Precipitation (mm)",521,851.251535316699,386.716128482654,510.1432,1248.0764
"CR-Kp","MERRA2","Relative Humidity (%)",521,77.3926441458733,9.99397825113325,65.0632,88.2716
"CR-Kp","MERRA2","Wet Days (d)",521,228.486911132438,61.4523768382751,148.1938,304.2741
"CR-Pa","Primary","Temperature (°C)",494,11.645951417004,5.55198316318485,4.79,19.94
"CR-Pa","Primary","Precipitation (mm)",494,857.631781376518,343.88856758975,539.48,1313.95
"CR-Pa","Primary","Relative Humidity (%)",494,73.9425528340081,6.96404819486684,64.658875,81.8772
"CR-Pa","Primary","Wet Days (d)",494,148.28967611336,45.7170461759186,79.06,204.22
"CR-Pa","ERA5","Temperature (°C)",494,11.627529757085,5.49064834609463,5.12245,20.15314
"CR-Pa","ERA5","Precipitation (mm)",494,970.486242105263,433.951332763796,626.12896,1339.92943
"CR-Pa","ERA5","Relative Humidity (%)",494,73.9425528340081,6.96404819486684,64.658875,81.8772
"CR-Pa","ERA5","Wet Days (d)",494,225.861001012146,49.6012501969364,160.48906,280.30942
"CR-Pa","MERRA2","Temperature (°C)",494,11.2184475708502,5.83229895491801,4.26011,20.78047
"CR-Pa","MERRA2","Precipitation (mm)",494,835.7402048583,291.321285548706,540.79494,1221.74063
"CR-Pa","MERRA2","Relative Humidity (%)",494,78.1696012145749,8.44212116291452,66.95792,88.49709
"CR-Pa","MERRA2","Wet Days (d)",494,231.810330769231,56.334981534866,151.52498,304.53905
