"Variable","Pair","LatBandMid","MedianDiff","Q25","Q75","N"
"Temperature (°C)","Primary vs ERA5",5,-0.468299999999999,-0.858799999999999,-0.196000000000002,232
"Temperature (°C)","Primary vs ERA5",15,-0.535299999999999,-0.663399999999999,-0.355899999999998,208
"Temperature (°C)","Primary vs ERA5",25,-0.0391000000000012,-0.603999999999999,0.287399999999998,417
"Temperature (°C)","Primary vs ERA5",35,-0.76045,-0.965800000000002,-0.1471,692
"Temperature (°C)","Primary vs ERA5",45,-0.1807,-0.431800000000001,0.0907999999999998,1552
"Temperature (°C)","Primary vs ERA5",55,0.0262999999999991,-0.0573999999999995,0.1181,988
"Temperature (°C)","Primary vs ERA5",65,0.2516,-0.0597999999999996,0.3679,400
"Temperature (°C)","Primary vs MERRA-2",5,-0.613500000000002,-1.09,0.0255999999999981,232
"Temperature (°C)","Primary vs MERRA-2",15,-0.802,-1.1992,-0.332775000000002,208
"Temperature (°C)","Primary vs MERRA-2",25,-0.331700000000001,-0.679200000000002,0.319099999999999,417
"Temperature (°C)","Primary vs MERRA-2",35,-0.739999999999998,-1.1312,-0.461399999999999,692
"Temperature (°C)","Primary vs MERRA-2",45,-0.666300000000001,-1.0719,-0.3561,1552
"Temperature (°C)","Primary vs MERRA-2",55,-0.509149999999999,-0.8393,-0.271224999999998,988
"Temperature (°C)","Primary vs MERRA-2",65,-0.8627,-1.1804,-0.648525,400
"Temperature (°C)","ERA5 vs MERRA-2",5,-0.0413999999999994,-0.428425,0.302099999999999,232
"Temperature (°C)","ERA5 vs MERRA-2",15,-0.328149999999999,-0.671499999999998,0.151299999999999,208
"Temperature (°C)","ERA5 vs MERRA-2",25,-0.113800000000001,-0.404799999999998,0.407400000000003,417
"Temperature (°C)","ERA5 vs MERRA-2",35,0.00594999999999946,-0.5153,0.349,692
"Temperature (°C)","ERA5 vs MERRA-2",45,-0.508600000000001,-0.7422,-0.1837,1552
"Temperature (°C)","ERA5 vs MERRA-2",55,-0.50695,-0.7404,-0.3485,988
"Temperature (°C)","ERA5 vs MERRA-2",65,-1.09355,-1.2451,-0.9843,400
"Relative Humidity (%)","Primary vs MERRA-2",5,0.894450000000006,-1.7803,2.0659,232
"Relative Humidity (%)","Primary vs MERRA-2",15,0.658299999999997,-0.768975000000005,2.8562,208
"Relative Humidity (%)","Primary vs MERRA-2",25,0.0488,-1.2459,1.3761,417
"Relative Humidity (%)","Primary vs MERRA-2",35,2.64489999999999,1.3954,4.44542500000001,692
"Relative Humidity (%)","Primary vs MERRA-2",45,3.79690000000001,2.48780000000001,4.827075,1552
"Relative Humidity (%)","Primary vs MERRA-2",55,6.28360000000001,5.243125,7.5378,988
"Relative Humidity (%)","Primary vs MERRA-2",65,7.7766,5.4233,8.6622,400
"Relative Humidity (%)","ERA5 vs MERRA-2",5,0.894450000000006,-1.7803,2.0659,232
"Relative Humidity (%)","ERA5 vs MERRA-2",15,0.658299999999997,-0.768975000000005,2.8562,208
"Relative Humidity (%)","ERA5 vs MERRA-2",25,0.0488,-1.2459,1.3761,417
"Relative Humidity (%)","ERA5 vs MERRA-2",35,2.64489999999999,1.3954,4.44542500000001,692
"Relative Humidity (%)","ERA5 vs MERRA-2",45,3.79690000000001,2.48780000000001,4.827075,1552
"Relative Humidity (%)","ERA5 vs MERRA-2",55,6.28360000000001,5.243125,7.5378,988
"Relative Humidity (%)","ERA5 vs MERRA-2",65,7.7766,5.4233,8.6622,400
"Precipitation (mm)","Primary vs ERA5",5,131.2742,-31.6808000000001,379.6104,232
"Precipitation (mm)","Primary vs ERA5",15,49.0297,-37.7282,256.35785,208
"Precipitation (mm)","Primary vs ERA5",25,43.115,-11.9447,113.0039,417
"Precipitation (mm)","Primary vs ERA5",35,73.8066499999999,-54.3072999999999,139.11355,692
"Precipitation (mm)","Primary vs ERA5",45,85.7487,36.9188,155.7928,1552
"Precipitation (mm)","Primary vs ERA5",55,87.7197,24.866475,131.9604,988
"Precipitation (mm)","Primary vs ERA5",65,150.7082,119.36765,191.8648,400
"Precipitation (mm)","Primary vs MERRA-2",5,-162.5501,-507.3651,4.38069999999971,232
"Precipitation (mm)","Primary vs MERRA-2",15,-28.5436000000001,-223.4767,106.97205,208
"Precipitation (mm)","Primary vs MERRA-2",25,-17.1641000000001,-92.5298,39.3082,417
"Precipitation (mm)","Primary vs MERRA-2",35,-59.5453,-117.2085,40.6072,692
"Precipitation (mm)","Primary vs MERRA-2",45,-39.26585,-127.4232,18.0249,1552
"Precipitation (mm)","Primary vs MERRA-2",55,30.30005,-32.1839,69.7984,988
"Precipitation (mm)","Primary vs MERRA-2",65,202.769,159.9047,237.5885,400
"Precipitation (mm)","ERA5 vs MERRA-2",5,-325.904,-860.1751,4.07982499999997,232
"Precipitation (mm)","ERA5 vs MERRA-2",15,-157.2419,-272.6903,85.1273,208
"Precipitation (mm)","ERA5 vs MERRA-2",25,-84.5931,-209.3972,-4.8819,417
"Precipitation (mm)","ERA5 vs MERRA-2",35,-80.2912,-168.344375,-8.93860000000001,692
"Precipitation (mm)","ERA5 vs MERRA-2",45,-145.0793,-223.7108,-88.6314,1552
"Precipitation (mm)","ERA5 vs MERRA-2",55,-63.5541000000001,-103.3333,-25.2947,988
"Precipitation (mm)","ERA5 vs MERRA-2",65,44.5646,16.7909999999999,70.8305,400
"Wet Days (d)","Primary vs ERA5",5,154.5467,118.4133,164.4556,232
"Wet Days (d)","Primary vs ERA5",15,121.5505,108.4965,138.968,208
"Wet Days (d)","Primary vs ERA5",25,77.4182,20.7117,110.4161,417
"Wet Days (d)","Primary vs ERA5",35,67.1524,43.4868,83.4287,692
"Wet Days (d)","Primary vs ERA5",45,75.1197,64.009,86.357,1552
"Wet Days (d)","Primary vs ERA5",55,81.3105,70.1328,90.702175,988
"Wet Days (d)","Primary vs ERA5",65,79.552,65.1917,89.5525,400
"Wet Days (d)","Primary vs MERRA-2",5,119.293,102.2841,141.1252,232
"Wet Days (d)","Primary vs MERRA-2",15,92.8356,84.3882,116.185,208
"Wet Days (d)","Primary vs MERRA-2",25,73.4854,26.4567,97.1568,417
"Wet Days (d)","Primary vs MERRA-2",35,57.2481,40.22305,71.5904,692
"Wet Days (d)","Primary vs MERRA-2",45,77.241,65.6305,88.3249,1552
"Wet Days (d)","Primary vs MERRA-2",55,98.7591,84.6084,113.2047,988
