"Variable","Pair","Year","MedianDiff","Q25","Q75","N"
"Temperature (°C)","Primary vs ERA5",1999,0.273899999999999,0.273899999999999,0.273899999999999,6
"Temperature (°C)","Primary vs ERA5",2000,-0.1979,-0.468299999999999,0.302099999999999,19
"Temperature (°C)","Primary vs ERA5",2001,-0.0631000000000004,-0.4757,0.131,49
"Temperature (°C)","Primary vs ERA5",2002,-0.0719999999999992,-0.410499999999999,0.148900000000001,57
"Temperature (°C)","Primary vs ERA5",2003,-0.00155000000000038,-0.47705,0.137925,60
"Temperature (°C)","Primary vs ERA5",2004,-0.1809,-0.4102,0.1025,65
"Temperature (°C)","Primary vs ERA5",2005,0.0104000000000006,-0.297000000000001,0.1288,123
"Temperature (°C)","Primary vs ERA5",2006,-0.0345000000000013,-0.29955,0.1978,139
"Temperature (°C)","Primary vs ERA5",2007,0.0677000000000003,-0.347899999999999,0.2516,153
"Temperature (°C)","Primary vs ERA5",2008,-0.1075,-0.420299999999999,0.0553250000000003,166
"Temperature (°C)","Primary vs ERA5",2009,-0.146999999999999,-0.440099999999999,0.0888999999999998,167
"Temperature (°C)","Primary vs ERA5",2010,-0.0948000000000011,-0.4111,0.0724,180
"Temperature (°C)","Primary vs ERA5",2011,-0.0677000000000003,-0.626099999999999,0.0751000000000008,189
"Temperature (°C)","Primary vs ERA5",2012,-0.1038,-0.4582,0.125499999999999,218
"Temperature (°C)","Primary vs ERA5",2013,-0.1055,-0.504,0.1181,254
"Temperature (°C)","Primary vs ERA5",2014,-0.0952999999999999,-0.584199999999999,0.0866249999999997,292
"Temperature (°C)","Primary vs ERA5",2015,-0.041500000000001,-0.569199999999999,0.1759,286
"Temperature (°C)","Primary vs ERA5",2016,-0.110899999999999,-0.493099999999999,0.0625999999999998,298
"Temperature (°C)","Primary vs ERA5",2017,-0.113399999999999,-0.4663,0.0890999999999984,289
"Temperature (°C)","Primary vs ERA5",2018,-0.0571999999999999,-0.5984,0.1055,353
"Temperature (°C)","Primary vs ERA5",2019,-0.168699999999999,-0.6297,0.125,391
"Temperature (°C)","Primary vs ERA5",2020,-0.216999999999999,-0.656499999999999,0.112399999999999,398
"Temperature (°C)","Primary vs ERA5",2021,-0.202400000000001,-0.410500000000001,0.145900000000001,168
"Temperature (°C)","Primary vs ERA5",2022,-0.1078,-0.4758,-0.0149000000000008,169
"Temperature (°C)","Primary vs MERRA-2",1999,-0.0533999999999999,-0.0533999999999999,-0.0533999999999999,6
"Temperature (°C)","Primary vs MERRA-2",2000,-0.6846,-0.6964,0.0655000000000001,19
"Temperature (°C)","Primary vs MERRA-2",2001,-0.5664,-1.1019,-0.3531,49
"Temperature (°C)","Primary vs MERRA-2",2002,-0.6441,-0.9632,-0.3253,57
"Temperature (°C)","Primary vs MERRA-2",2003,-0.49355,-0.73185,-0.237275,60
"Temperature (°C)","Primary vs MERRA-2",2004,-0.581299999999999,-0.9904,-0.1341,65
"Temperature (°C)","Primary vs MERRA-2",2005,-0.5931,-0.8627,-0.2017,123
"Temperature (°C)","Primary vs MERRA-2",2006,-0.6348,-0.9674,-0.267600000000001,139
"Temperature (°C)","Primary vs MERRA-2",2007,-0.4691,-0.951000000000001,-0.225,153
"Temperature (°C)","Primary vs MERRA-2",2008,-0.6972,-1.0891,-0.2598,166
"Temperature (°C)","Primary vs MERRA-2",2009,-0.663600000000002,-1.08765,-0.348700000000001,167
"Temperature (°C)","Primary vs MERRA-2",2010,-0.9486,-1.2015,-0.385749999999999,180
"Temperature (°C)","Primary vs MERRA-2",2011,-0.589300000000001,-0.967700000000001,-0.346,189
"Temperature (°C)","Primary vs MERRA-2",2012,-0.561499999999999,-1.1299,-0.3058,218
"Temperature (°C)","Primary vs MERRA-2",2013,-0.724,-1.0457,-0.4247,254
"Temperature (°C)","Primary vs MERRA-2",2014,-0.6881,-1.058875,-0.3262,292
"Temperature (°C)","Primary vs MERRA-2",2015,-0.570499999999999,-1.0014,-0.3022,286
"Temperature (°C)","Primary vs MERRA-2",2016,-0.698500000000001,-1.0209,-0.4124,298
"Temperature (°C)","Primary vs MERRA-2",2017,-0.622699999999998,-1.0869,-0.356,289
"Temperature (°C)","Primary vs MERRA-2",2018,-0.736499999999999,-1.1376,-0.4115,353
"Temperature (°C)","Primary vs MERRA-2",2019,-0.6495,-0.946200000000001,-0.308200000000001,391
"Temperature (°C)","Primary vs MERRA-2",2020,-0.728899999999999,-1.015,-0.3834,398
"Temperature (°C)","Primary vs MERRA-2",2021,-0.739999999999998,-1.078,-0.474075,168
"Temperature (°C)","Primary vs MERRA-2",2022,-0.499599999999999,-0.8022,-0.235899999999999,169
"Temperature (°C)","ERA5 vs MERRA-2",1999,-0.327299999999999,-0.327299999999999,-0.327299999999999,6
"Temperature (°C)","ERA5 vs MERRA-2",2000,-0.236599999999999,-0.311599999999999,-0.2163,19
"Temperature (°C)","ERA5 vs MERRA-2",2001,-0.5017,-0.8832,-0.138299999999999,49
"Temperature (°C)","ERA5 vs MERRA-2",2002,-0.4709,-0.8476,-0.0709999999999997,57
"Temperature (°C)","ERA5 vs MERRA-2",2003,-0.502799999999999,-0.711800000000001,-0.164899999999999,60
"Temperature (°C)","ERA5 vs MERRA-2",2004,-0.359399999999999,-0.8129,0.0838999999999999,65
"Temperature (°C)","ERA5 vs MERRA-2",2005,-0.400600000000001,-0.7573,-0.244400000000001,123
"Temperature (°C)","ERA5 vs MERRA-2",2006,-0.463000000000001,-0.826000000000001,-0.242099999999999,139
"Temperature (°C)","ERA5 vs MERRA-2",2007,-0.413699999999999,-0.660200000000001,-0.113700000000001,153
"Temperature (°C)","ERA5 vs MERRA-2",2008,-0.408099999999999,-0.737075,-0.0347749999999998,166
"Temperature (°C)","ERA5 vs MERRA-2",2009,-0.448,-0.612349999999999,-0.0703999999999994,167
"Temperature (°C)","ERA5 vs MERRA-2",2010,-0.651299999999999,-0.961,-0.1937,180
"Temperature (°C)","ERA5 vs MERRA-2",2011,-0.5159,-0.7294,0.00129999999999875,189
"Temperature (°C)","ERA5 vs MERRA-2",2012,-0.483150000000001,-0.767799999999999,-0.0413999999999994,218
"Temperature (°C)","ERA5 vs MERRA-2",2013,-0.504199999999997,-0.8575,-0.188099999999999,254
"Temperature (°C)","ERA5 vs MERRA-2",2014,-0.4505,-0.817925000000001,-0.0840999999999994,292
"Temperature (°C)","ERA5 vs MERRA-2",2015,-0.4237,-0.770099999999999,-0.0800999999999998,286
"Temperature (°C)","ERA5 vs MERRA-2",2016,-0.5046,-0.852,-0.1063,298
