"Bacteria","Tag","N","Countries","AIC","DevExpl","Rsq"
"3GCR-Ec","Primary_full",691,60,943.018531870662,0.87545292890165,0.86558355906666
"3GCR-Ec","Primary_common",684,59,921.530005919655,0.87370946991973,0.864325081680326
"3GCR-Ec","ERA5_full",691,60,942.59220057462,0.87637693204053,0.866107354081103
"3GCR-Ec","ERA5_common",684,59,914.23565545246,0.876679824329835,0.866764144889765
"3GCR-Ec","MERRA2_full",691,60,947.960746907053,0.874408405303591,0.864381640345361
"3GCR-Ec","MERRA2_common",684,59,925.662278493102,0.873394154756192,0.863760586108416
"3GCR-Kp","Primary_full",545,62,-188.22695434858,0.911513357994956,0.903046969489138
"3GCR-Kp","Primary_common",538,61,-207.398288661258,0.915865972144926,0.907475998914853
"3GCR-Kp","ERA5_full",545,62,-197.345489120566,0.913693445332116,0.905033518293265
"3GCR-Kp","ERA5_common",538,61,-223.526024612676,0.918620029501236,0.910343199844827
"3GCR-Kp","MERRA2_full",545,62,-176.389332408058,0.909386156519109,0.900437376883654
"3GCR-Kp","MERRA2_common",538,61,-182.750930907698,0.911407233946575,0.902789147350592
"CR-Ab","Primary_full",294,54,-15.1579683673784,0.943209663761193,0.933965700603385
"CR-Ab","Primary_common",287,53,-4.26091730849789,0.942380966572856,0.93293512989952
"CR-Ab","ERA5_full",294,54,3.9781965321101,0.940677931775798,0.930416275528781
"CR-Ab","ERA5_common",287,53,20.0473529136972,0.938272418205673,0.927726052657409
"CR-Ab","MERRA2_full",294,54,67.0254096016449,0.923195251431728,0.912391402614559
"CR-Ab","MERRA2_common",287,53,64.2872681466846,0.924591136650483,0.913930251340052
"CR-Ec","Primary_full",621,59,-1329.96270203715,0.829215204340035,0.814208809768747
"CR-Ec","Primary_common",614,58,-1295.61757301787,0.821261940538598,0.8057330641933
"CR-Ec","ERA5_full",621,59,-1316.89943805508,0.824210180178312,0.809500372469019
"CR-Ec","ERA5_common",614,58,-1281.53954645573,0.815663997882668,0.800428682528828
"CR-Ec","MERRA2_full",621,59,-1313.3999263002,0.82291791262206,0.808280565096275
"CR-Ec","MERRA2_common",614,58,-1280.30967274142,0.815308144621328,0.800055632081157
"CR-Kp","Primary_full",521,60,298.839460276084,0.784659082356306,0.763436376350109
"CR-Kp","Primary_common",514,59,293.680777835476,0.783858866152867,0.763692151038357
"CR-Kp","ERA5_full",521,60,326.316906694009,0.768703782332893,0.748010516151231
"CR-Kp","ERA5_common",514,59,326.34499777964,0.766912648813506,0.746681888371591
"CR-Kp","MERRA2_full",521,60,306.91209219092,0.778343954510414,0.757933389011563
"CR-Kp","MERRA2_common",514,59,306.583228637701,0.777132064798221,0.757033513267838
"CR-Pa","Primary_full",494,47,-269.274581430362,0.857157089034954,0.84582999781511
"CR-Pa","Primary_common",486,46,-266.087213922483,0.862597123918454,0.850334129110499
"CR-Pa","ERA5_full",494,47,-292.045358514844,0.865985557806339,0.853974611616525
"CR-Pa","ERA5_common",486,46,-289.155693820617,0.866987949741723,0.855956371262293
"CR-Pa","MERRA2_full",494,47,-274.986111773268,0.857341430611975,0.846732475983602
"CR-Pa","MERRA2_common",486,46,-267.529956491807,0.859131174115258,0.848412664950087
