"Bacteria","Variable","S1","S2","Mode","Curve_r","MaxDiff","MeanDiff","DirAgree","Shape1","Shape2","ShapeAgree","SameSrc"
"3GCR-Ec","Temperature (°C)","Primary","ERA5","full",0.993025197890542,0.131171482176075,0.0324055327605348,TRUE,"Inv-U","Inv-U",TRUE,FALSE
"3GCR-Ec","Temperature (°C)","Primary","MERRA2","full",0.969582064486702,0.199644489113731,0.0646449087310555,TRUE,"Inv-U","Inv-U",TRUE,FALSE
"3GCR-Ec","Temperature (°C)","ERA5","MERRA2","full",0.987324634276004,0.0684730069376558,0.0374804211909726,TRUE,"Inv-U","Inv-U",TRUE,FALSE
"3GCR-Ec","Precipitation (mm)","Primary","ERA5","full",0.0011549799489755,1.00107278928758,0.248821479597632,FALSE,"U","J/S",FALSE,FALSE
"3GCR-Ec","Precipitation (mm)","Primary","MERRA2","full",0.451545745737847,0.828899296627977,0.171885700466358,FALSE,"U","Complex",FALSE,FALSE
"3GCR-Ec","Precipitation (mm)","ERA5","MERRA2","full",0.853996200174033,0.172198489310941,0.0777655350605641,TRUE,"J/S","Complex",FALSE,FALSE
"3GCR-Ec","Relative Humidity (%)","Primary","ERA5","full",-0.544429782760169,0.905548721946207,0.316071226219797,FALSE,"Mono+","Complex",FALSE,TRUE
"3GCR-Ec","Relative Humidity (%)","Primary","MERRA2","full",-0.985991280682182,0.405156505845362,0.15490351113492,FALSE,"Mono+","Mono-",FALSE,FALSE
"3GCR-Ec","Relative Humidity (%)","ERA5","MERRA2","full",0.649261252987524,0.75680880310928,0.204733228149139,TRUE,"Complex","Mono-",FALSE,FALSE
"3GCR-Ec","Wet Days (d)","Primary","ERA5","full",0.310295664202432,0.564719450848607,0.172916450374989,TRUE,"Complex","U",FALSE,FALSE
"3GCR-Ec","Wet Days (d)","Primary","MERRA2","full",0.106959571802862,0.608633113292711,0.204601881965674,TRUE,"Complex","Complex",TRUE,FALSE
"3GCR-Ec","Wet Days (d)","ERA5","MERRA2","full",0.931372804350701,0.12639766791541,0.0550451817721821,TRUE,"U","Complex",FALSE,FALSE
"3GCR-Kp","Temperature (°C)","Primary","ERA5","full",0.791696485895057,0.314970901252671,0.0628926641597009,FALSE,"Inv-U","Inv-U",TRUE,FALSE
"3GCR-Kp","Temperature (°C)","Primary","MERRA2","full",0.548740035749161,0.26411714209997,0.0823409897883442,FALSE,"Inv-U","Inv-U",TRUE,FALSE
"3GCR-Kp","Temperature (°C)","ERA5","MERRA2","full",0.938434687910203,0.179652556960157,0.0537447771530507,TRUE,"Inv-U","Inv-U",TRUE,FALSE
"3GCR-Kp","Precipitation (mm)","Primary","ERA5","full",-0.387092408192134,2.66563485845693,0.440762015930537,FALSE,"Complex","Complex",TRUE,FALSE
"3GCR-Kp","Precipitation (mm)","Primary","MERRA2","full",0.06356606568902,2.46866441611648,0.39912206703261,FALSE,"Complex","Complex",TRUE,FALSE
"3GCR-Kp","Precipitation (mm)","ERA5","MERRA2","full",0.825954071571295,0.265942459869866,0.0697402968805049,TRUE,"Complex","Complex",TRUE,FALSE
"3GCR-Kp","Relative Humidity (%)","Primary","ERA5","full",0.997910232129442,0.0723401989160316,0.0308158136250472,TRUE,"Inv-U","Inv-U",TRUE,TRUE
"3GCR-Kp","Relative Humidity (%)","Primary","MERRA2","full",0.898194070211155,0.103316348251029,0.0391914197518694,TRUE,"Inv-U","J/S",FALSE,FALSE
"3GCR-Kp","Relative Humidity (%)","ERA5","MERRA2","full",0.882867197387279,0.17565654716706,0.0697037483213261,TRUE,"Inv-U","J/S",FALSE,FALSE
"3GCR-Kp","Wet Days (d)","Primary","ERA5","full",-0.403089937808977,5.9898456459262e-06,1.50254712372233e-06,FALSE,"U","U",TRUE,FALSE
"3GCR-Kp","Wet Days (d)","Primary","MERRA2","full",0.807562208633186,5.5311304021366e-06,1.32783765681765e-06,TRUE,"U","U",TRUE,FALSE
"3GCR-Kp","Wet Days (d)","ERA5","MERRA2","full",0.211505275337231,5.41539856291351e-07,3.36953485614577e-07,FALSE,"U","U",TRUE,FALSE
"CR-Ab","Temperature (°C)","Primary","ERA5","full",0.995298758453058,0.162221423979569,0.050454944391695,TRUE,"J/S","J/S",TRUE,FALSE
"CR-Ab","Temperature (°C)","Primary","MERRA2","full",0.40640929224628,0.895800489574224,0.470289118076534,TRUE,"J/S","Mono+",FALSE,FALSE
"CR-Ab","Temperature (°C)","ERA5","MERRA2","full",0.402653303319501,0.888681872205466,0.431359978358053,TRUE,"J/S","Mono+",FALSE,FALSE
"CR-Ab","Precipitation (mm)","Primary","ERA5","full",0.551527969942706,0.288792821213308,0.0609003163924657,TRUE,"J/S","U",FALSE,FALSE
"CR-Ab","Precipitation (mm)","Primary","MERRA2","full",0.353957662499838,0.165181293519097,0.0692588382279499,TRUE,"J/S","Mono+",FALSE,FALSE
"CR-Ab","Precipitation (mm)","ERA5","MERRA2","full",0.961305674949216,0.246444830699767,0.113629437090979,TRUE,"U","Mono+",FALSE,FALSE
"CR-Ab","Relative Humidity (%)","Primary","ERA5","full",-0.957115491971597,1.41675481257764e-06,7.03815651440509e-07,FALSE,"Mono+","Inv-U",FALSE,TRUE
"CR-Ab","Relative Humidity (%)","Primary","MERRA2","full",-0.660322298710104,0.0976330068150565,0.0428008444395791,FALSE,"Mono+","Inv-U",FALSE,FALSE
"CR-Ab","Relative Humidity (%)","ERA5","MERRA2","full",0.834817553213658,0.0976315900602439,0.0428004034233431,TRUE,"Inv-U","Inv-U",TRUE,FALSE
