"Bacteria","Variable","S1","S2","Layer","N_overlap","r","rho","Bias","RMSE","Same_Source"
"3GCR-Ec","Temperature (°C)","Primary","ERA5","Raw",943,0.985753972166165,0.985790680166863,-0.113569565217391,1.18134059941406,FALSE
"3GCR-Ec","Temperature (°C)","Primary","MERRA2","Raw",943,0.98191581775427,0.982815967673912,-0.546361293743372,1.46656043611519,FALSE
"3GCR-Ec","Temperature (°C)","ERA5","MERRA2","Raw",943,0.997701238543785,0.9959695662015,-0.432791728525981,0.717257304093668,FALSE
"3GCR-Ec","Precipitation (mm)","Primary","ERA5","Raw",943,0.916073925412764,0.946674023366992,107.472428844115,247.188853119109,FALSE
"3GCR-Ec","Precipitation (mm)","Primary","MERRA2","Raw",943,0.921606457431109,0.901947230698622,-17.5946852598091,188.166127438137,FALSE
"3GCR-Ec","Precipitation (mm)","ERA5","MERRA2","Raw",943,0.896602693715349,0.928696224010759,-125.067114103924,276.282351123367,FALSE
"3GCR-Ec","Wet Days (d)","Primary","ERA5","Raw",943,0.875996462911317,0.872301973057941,80.6454146341463,86.2439713047165,FALSE
"3GCR-Ec","Wet Days (d)","Primary","MERRA2","Raw",943,0.896734171271459,0.888698984738947,85.2247503711559,90.9962003474752,FALSE
"3GCR-Ec","Wet Days (d)","ERA5","MERRA2","Raw",943,0.94443404035634,0.93696264365612,4.57933573700954,23.0973352115902,FALSE
"3GCR-Ec","Relative Humidity (%)","Primary","ERA5","Raw",943,1,1,0,0,TRUE
"3GCR-Ec","Relative Humidity (%)","Primary","MERRA2","Raw",943,0.959312051532711,0.934526497611522,3.91913107104984,5.26076798641638,FALSE
"3GCR-Ec","Relative Humidity (%)","ERA5","MERRA2","Raw",943,0.959312051532711,0.934526497611522,3.91913107104984,5.26076798641638,FALSE
"3GCR-Kp","Temperature (°C)","Primary","ERA5","Raw",803,0.984327243067028,0.98401700667129,-0.0883965130759651,1.26041961483251,FALSE
"3GCR-Kp","Temperature (°C)","Primary","MERRA2","Raw",803,0.980336280509224,0.981101128035665,-0.490092278953923,1.51940894783044,FALSE
"3GCR-Kp","Temperature (°C)","ERA5","MERRA2","Raw",803,0.997754497551804,0.99591041628738,-0.401695765877958,0.686845144494424,FALSE
"3GCR-Kp","Precipitation (mm)","Primary","ERA5","Raw",803,0.923337910480906,0.947152912640216,103.398392652553,245.548760856949,FALSE
"3GCR-Kp","Precipitation (mm)","Primary","MERRA2","Raw",803,0.931615437044699,0.905465904351727,-24.2030251556662,184.755064389526,FALSE
"3GCR-Kp","Precipitation (mm)","ERA5","MERRA2","Raw",803,0.914765354782862,0.935690063330735,-127.601417808219,269.887907121691,FALSE
"3GCR-Kp","Wet Days (d)","Primary","ERA5","Raw",803,0.875932961758909,0.870225183794235,80.7086722291407,86.806176888718,FALSE
"3GCR-Kp","Wet Days (d)","Primary","MERRA2","Raw",803,0.895593015363263,0.885817265833136,84.1588628891656,90.2397452212673,FALSE
"3GCR-Kp","Wet Days (d)","ERA5","MERRA2","Raw",803,0.947834257195155,0.938878315818046,3.45019066002491,22.5123619027433,FALSE
"3GCR-Kp","Relative Humidity (%)","Primary","ERA5","Raw",803,1,1,0,0,TRUE
"3GCR-Kp","Relative Humidity (%)","Primary","MERRA2","Raw",803,0.963955906691388,0.938790811218745,3.80458356164384,5.08444682585531,FALSE
"3GCR-Kp","Relative Humidity (%)","ERA5","MERRA2","Raw",803,0.963955906691388,0.938790811218745,3.80458356164384,5.08444682585531,FALSE
"CR-Ab","Temperature (°C)","Primary","ERA5","Raw",508,0.976795733584255,0.975479987078339,-0.0118470472440945,1.52852922150803,FALSE
"CR-Ab","Temperature (°C)","Primary","MERRA2","Raw",508,0.971138414531622,0.969969752656261,-0.401845472440945,1.77975019547334,FALSE
"CR-Ab","Temperature (°C)","ERA5","MERRA2","Raw",508,0.99773231908959,0.995684742511711,-0.38999842519685,0.666167909717218,FALSE
"CR-Ab","Precipitation (mm)","Primary","ERA5","Raw",508,0.923680698331631,0.942728627626478,111.789926181102,275.759680103525,FALSE
"CR-Ab","Precipitation (mm)","Primary","MERRA2","Raw",508,0.937759154613467,0.905578560585513,-32.1129811023622,197.831331285722,FALSE
