"Bacteria","Source","Mode","AIC","DevExpl","Rsq","N","Countries"
"3GCR-Ec","Primary","full",943.018531870662,0.87545292890165,0.86558355906666,691,60
"3GCR-Ec","Primary","common",921.530005919655,0.87370946991973,0.864325081680326,684,59
"3GCR-Ec","ERA5","full",942.59220057462,0.87637693204053,0.866107354081103,691,60
"3GCR-Ec","ERA5","common",914.23565545246,0.876679824329835,0.866764144889765,684,59
"3GCR-Ec","MERRA2","full",947.960746907053,0.874408405303591,0.864381640345361,691,60
"3GCR-Ec","MERRA2","common",925.662278493102,0.873394154756192,0.863760586108416,684,59
"3GCR-Kp","Primary","full",-188.22695434858,0.911513357994956,0.903046969489138,545,62
"3GCR-Kp","Primary","common",-207.398288661258,0.915865972144926,0.907475998914853,538,61
"3GCR-Kp","ERA5","full",-197.345489120566,0.913693445332116,0.905033518293265,545,62
"3GCR-Kp","ERA5","common",-223.526024612676,0.918620029501236,0.910343199844827,538,61
"3GCR-Kp","MERRA2","full",-176.389332408058,0.909386156519109,0.900437376883654,545,62
"3GCR-Kp","MERRA2","common",-182.750930907698,0.911407233946575,0.902789147350592,538,61
"CR-Ab","Primary","full",-15.1579683673784,0.943209663761193,0.933965700603385,294,54
"CR-Ab","Primary","common",-4.26091730849789,0.942380966572856,0.93293512989952,287,53
"CR-Ab","ERA5","full",3.9781965321101,0.940677931775798,0.930416275528781,294,54
"CR-Ab","ERA5","common",20.0473529136972,0.938272418205673,0.927726052657409,287,53
"CR-Ab","MERRA2","full",67.0254096016449,0.923195251431728,0.912391402614559,294,54
"CR-Ab","MERRA2","common",64.2872681466846,0.924591136650483,0.913930251340052,287,53
"CR-Ec","Primary","full",-1329.96270203715,0.829215204340035,0.814208809768747,621,59
"CR-Ec","Primary","common",-1295.61757301787,0.821261940538598,0.8057330641933,614,58
"CR-Ec","ERA5","full",-1316.89943805508,0.824210180178312,0.809500372469019,621,59
"CR-Ec","ERA5","common",-1281.53954645573,0.815663997882668,0.800428682528828,614,58
"CR-Ec","MERRA2","full",-1313.3999263002,0.82291791262206,0.808280565096275,621,59
"CR-Ec","MERRA2","common",-1280.30967274142,0.815308144621328,0.800055632081157,614,58
"CR-Kp","Primary","full",298.839460276084,0.784659082356306,0.763436376350109,521,60
"CR-Kp","Primary","common",293.680777835476,0.783858866152867,0.763692151038357,514,59
"CR-Kp","ERA5","full",326.316906694009,0.768703782332893,0.748010516151231,521,60
"CR-Kp","ERA5","common",326.34499777964,0.766912648813506,0.746681888371591,514,59
"CR-Kp","MERRA2","full",306.91209219092,0.778343954510414,0.757933389011563,521,60
"CR-Kp","MERRA2","common",306.583228637701,0.777132064798221,0.757033513267838,514,59
"CR-Pa","Primary","full",-269.274581430362,0.857157089034954,0.84582999781511,494,47
"CR-Pa","Primary","common",-266.087213922483,0.862597123918454,0.850334129110499,486,46
"CR-Pa","ERA5","full",-292.045358514844,0.865985557806339,0.853974611616525,494,47
"CR-Pa","ERA5","common",-289.155693820617,0.866987949741723,0.855956371262293,486,46
"CR-Pa","MERRA2","full",-274.986111773268,0.857341430611975,0.846732475983602,494,47
"CR-Pa","MERRA2","common",-267.529956491807,0.859131174115258,0.848412664950087,486,46
