"P10","P50","P90","OR_P10","OR_P50","OR_P90","ORratio","DlogOR","Dir","Source","Bacteria","Mode","CV"
3.9,10.6,20.8,1.03306556354943,1.10368818534687,0.792035497411548,0.766684637798063,-0.265679725401563,-1,"Primary","3GCR-Ec","full","Temperature"
526,754.5,1327,1.09034898707519,1.07063379056953,0.854119433867009,0.783345006040813,-0.244182059294368,-1,"Primary","3GCR-Ec","full","Precipitation"
64.74725,75.818,82.017,0.999998237661788,1.00000034257798,1.00000153844831,1.00000330079234,3.30078689350588e-06,1,"Primary","3GCR-Ec","full","Humidity"
75,156.7,204.9,0.9167286817619,0.994567841150254,0.900285858903029,0.982063588512068,-0.0180992186385176,-1,"Primary","3GCR-Ec","full","WetDays"
3.83,10.6,20.94,1.06876132085426,1.10026841108429,0.783796720297342,0.733369279935068,-0.310105911411913,-1,"Primary","3GCR-Ec","common","Temperature"
525.3,750.95,1309.1,1.13489897589359,1.0609600647425,0.876317816648096,0.772154910051007,-0.258570088399191,-1,"Primary","3GCR-Ec","common","Precipitation"
64.658875,75.7735,81.8432,0.990763724059507,0.991608223715651,1.00843755312701,1.01783859121838,0.017681350761891,1,"Primary","3GCR-Ec","common","Humidity"
74.02,156.15,201.75,1.06520095134304,0.96565831261702,0.870790095637752,0.817489032975265,-0.201517791621491,-1,"Primary","3GCR-Ec","common","WetDays"
4.1752,10.4337,20.5205,1.04803104714396,1.09470153879927,0.82304434395904,0.785324391106502,-0.241658409480309,-1,"ERA5","3GCR-Ec","full","Temperature"
600.3021,866.9448,1410.074,1.03579685343849,1.05784222581321,0.899622564452604,0.868531856865722,-0.140951013644701,-1,"ERA5","3GCR-Ec","full","Precipitation"
64.74725,75.818,82.017,1.18328509736316,0.948396305194311,0.872109976721068,0.737024389696517,-0.305134294129355,-1,"ERA5","3GCR-Ec","full","Humidity"
153.7674,237.5889,281.5814,0.726551775105524,1.06426195441969,1.18803314003899,1.63516652322051,0.491744648227487,1,"ERA5","3GCR-Ec","full","WetDays"
4.12739,10.41135,20.58469,1.10987644216424,1.09355509216329,0.794310808771548,0.715674987409099,-0.334529143277667,-1,"ERA5","3GCR-Ec","common","Temperature"
600.14768,862.9046,1390.60155,1.05290442054049,1.06535107404051,0.95265874986009,0.904791290904694,-0.10005097966345,-1,"ERA5","3GCR-Ec","common","Precipitation"
64.658875,75.7735,81.8432,1.20541070786817,0.918644041116178,0.871913782630039,0.723333364253968,-0.323885078368322,-1,"ERA5","3GCR-Ec","common","Humidity"
152.05443,236.9417,280.22787,0.727726737851653,1.06513162659857,1.18381500068127,1.62673011599938,0.486571936173567,1,"ERA5","3GCR-Ec","common","WetDays"
3.2051,9.9936,21.1263,0.976209720187524,1.08232994270843,0.859362129663464,0.880304827838003,-0.127487036220417,-1,"MERRA2","3GCR-Ec","full","Temperature"
523.7668,799.048,1305.4854,1.05047700236618,1.04660213953198,0.883137364097135,0.840701283424469,-0.173518874227957,-1,"MERRA2","3GCR-Ec","full","Precipitation"
66.6089,80.2246,88.8433,1.08292134686706,0.983004090234099,0.924380171916511,0.853598624305248,-0.158294190634542,-1,"MERRA2","3GCR-Ec","full","Humidity"
150.2081,240.7313,310.7776,0.729194826813429,0.986192178935687,1.21748475804453,1.66962890201089,0.512601387370659,1,"MERRA2","3GCR-Ec","full","WetDays"
3.19649,9.9638,21.08692,1.04860403439988,1.07380725701216,0.836617022393157,0.797838836155114,-0.225848661634307,-1,"MERRA2","3GCR-Ec","common","Temperature"
523.34372,796.57075,1278.5088,1.06312236987494,1.06502516861422,0.924348312490808,0.869465584285982,-0.139876527010849,-1,"MERRA2","3GCR-Ec","common","Precipitation"
66.51034,80.1485,88.87746,1.14298987883423,0.972018084151534,0.87673327451895,0.767052526670804,-0.265199996686215,-1,"MERRA2","3GCR-Ec","common","Humidity"
149.8553,239.70265,310.53415,0.749300965869788,0.952535832561776,1.25999478549329,1.68156033808216,0.519722135040656,1,"MERRA2","3GCR-Ec","common","WetDays"
6.38,10.8,22.6,0.988292705237067,1.04532233941008,0.920485185339343,0.931389233636548,-0.0710780078344174,-1,"Primary","3GCR-Kp","full","Temperature"
524.26,757.9,1366.38,0.979573150321713,1.0305656529744,0.910479945968139,0.929466008402861,-0.073145042254943,-1,"Primary","3GCR-Kp","full","Precipitation"
63.8208,75.227,81.854,0.936471563716697,1.03096449018883,1.02849111080762,1.0982619768247,0.0937289091862013,1,"Primary","3GCR-Kp","full","Humidity"
71.74,154.6,203.08,0.999999422739665,0.999999646455223,1.00000122627619,1.00000180353757,1.80353594208377e-06,1,"Primary","3GCR-Kp","full","WetDays"
6.3,10.8,22.6,0.99199776433071,1.01583280246552,0.979909862410947,0.987814587537989,-0.0122602632806767,-1,"Primary","3GCR-Kp","common","Temperature"
522.73,752.3,1351.97,0.987009103006983,1.03580908950166,0.964482960651849,0.977177371225345,-0.023087096615195,-1,"Primary","3GCR-Kp","common","Precipitation"
63.746015,75.1695,81.6302,0.94770995853293,1.01705453616459,1.0275977030092,1.08429556295889,0.0809305254087603,1,"Primary","3GCR-Kp","common","Humidity"
71.09,154,197.99,0.999999736341978,0.999999831146753,1.0000005294658,1.00000079312403,7.93123712878706e-07,1,"Primary","3GCR-Kp","common","WetDays"
6.38804,10.6814,22.17212,0.975913107428105,1.05098795841389,0.916709326263511,0.939334987188954,-0.062583114523596,-1,"ERA5","3GCR-Kp","full","Temperature"
594.96388,866.9448,1415.13682,0.960164303906262,1.03718875925989,0.916214675135521,0.954226970746631,-0.0468537210023413,-1,"ERA5","3GCR-Kp","full","Precipitation"
63.8208,75.227,81.854,0.922189411958642,1.04405503342171,1.02906336403554,1.11589154103375,0.10965367378268,1,"ERA5","3GCR-Kp","full","Humidity"
148.74382,235.1866,280.04874,1.00000000109509,0.999999988256678,1.0000000035889,1.0000000024938,2.493802936087e-09,1,"ERA5","3GCR-Kp","full","WetDays"
6.33381,10.6287,22.26811,1.01415162431874,1.04282179005745,0.901259055478143,0.888682751046786,-0.118014967622889,-1,"ERA5","3GCR-Kp","common","Temperature"
594.43024,862.7179,1392.00951,0.969071140711951,1.02867635930264,0.98688503636051,1.01838244366195,0.0182155289745507,1,"ERA5","3GCR-Kp","common","Precipitation"
63.746015,75.1695,81.6302,0.938845009137857,1.02932491314601,1.02732598730097,1.09424449967984,0.0900641705099467,1,"ERA5","3GCR-Kp","common","Humidity"
148.09354,234.3975,278.10158,1.0000000113471,0.999999993991329,0.999999996216732,0.999999984869629,-1.51303710099295e-08,-1,"ERA5","3GCR-Kp","common","WetDays"
5.72154,10.294,22.78356,1.00049568236535,1.03617048762385,0.916268856224748,0.915814902927445,-0.0879410057670168,-1,"MERRA2","3GCR-Kp","full","Temperature"
518.61118,796.5651,1274.21396,0.984690939166578,1.04524558875818,0.933139385391576,0.947646970511749,-0.0537732400579193,-1,"MERRA2","3GCR-Kp","full","Precipitation"
65.4369,79.4369,88.29736,0.948545687664874,1.02511621013627,1.0097941077765,1.06457086981483,0.0625717788185973,1,"MERRA2","3GCR-Kp","full","Humidity"
149.04666,236.8348,304.5012,0.999999476213569,1.00000001025821,1.00000046787042,1.00000099165737,9.91656882911923e-07,1,"MERRA2","3GCR-Kp","full","WetDays"
5.65245,10.2221,22.78886,1.01355862465933,1.03051037157876,0.921369361713951,0.909043975649298,-0.0953618079228058,-1,"MERRA2","3GCR-Kp","common","Temperature"
516.77528,784.54075,1227.73092,0.990324682355894,1.03663218962809,0.978027180767355,0.987582353739498,-0.0124953894922327,-1,"MERRA2","3GCR-Kp","common","Precipitation"
65.37965,79.28715,88.31596,0.999999622221707,1.00000007963398,1.00000018962673,1.00000056740524,5.67405081119532e-07,1,"MERRA2","3GCR-Kp","common","Humidity"
148.93295,235.4427,304.38765,0.996441990841717,0.999956028914886,1.00331817844563,1.00690074050182,0.00687703936653345,1,"MERRA2","3GCR-Kp","common","WetDays"
7.7,11.25,24.44,0.756374212068298,0.989479165034339,1.34112717803699,1.77310008278798,0.572729473771901,1,"Primary","CR-Ab","full","Temperature"
532.72,752.15,1569.51,0.96115100186634,0.960285916200222,1.11733653807781,1.16249843771498,0.150571514577382,1,"Primary","CR-Ab","full","Precipitation"
60.8455,73.62,81.7897,0.999999624128851,1.00000003681526,1.00000026599807,1.00000064186946,6.41869256258502e-07,1,"Primary","CR-Ab","full","Humidity"
68.8,143.2,199.74,1.01584567055021,1.02638607363862,0.945085076104132,0.930343164815821,-0.0722017664709218,-1,"Primary","CR-Ab","full","WetDays"
