"Bacteria","CV","Mode","PrimaryF","PrimarySig","PrimaryPenOut","ERA5F","ERA5Sig","ERA5PenOut","MERRA2F","MERRA2Sig","MERRA2PenOut","PrimaryOR","ERA5OR","MERRA2OR","EvalAltSources","PrimarySupported","SigRetainedRate","Curve_r_Mean","ShapeAgreementRate","DirectionAgreementRate","MagnitudeRatioMean","ReversalSubstantiveRate","Robustness","RobustnessReason"
"3GCR-Ec","Temperature","full",2.69,"**",FALSE,2.24,"**",FALSE,3.43,"***",FALSE,0.767,0.785,0.88,"ERA5, MERRA2",TRUE,1,0.981,1,1,0.695,0,"Robust","All independent alternative sources retained the association, with high overall curve agreement and comparable percentile-based effect magnitude."
"3GCR-Ec","Temperature","common",2.39,"**",FALSE,2.28,"**",FALSE,1.89,"**",FALSE,0.733,0.716,0.798,"ERA5, MERRA2",TRUE,1,0.989,1,1,0.904,0,"Robust","All independent alternative sources retained the association, with high overall curve agreement and comparable percentile-based effect magnitude."
"3GCR-Ec","Precipitation","full",2.41,"***",FALSE,2.69,"***",FALSE,1.24,"**",FALSE,0.783,0.869,0.841,"ERA5, MERRA2",TRUE,1,0.226,0,1,0.644,0,"Attenuated","Primary association is retained only partially across alternative source specifications."
"3GCR-Ec","Precipitation","common",2.57,"***",FALSE,2.5,"***",FALSE,1.95,"***",FALSE,0.772,0.905,0.869,"ERA5, MERRA2",TRUE,1,0.924,0,1,0.464,0,"Attenuated","Primary association is retained only partially across alternative source specifications."
"3GCR-Ec","Humidity","full",0,"ns",TRUE,2.07,"***",FALSE,0.23,".",FALSE,1,0.737,0.854,"MERRA2",FALSE,0,-0.986,0,0,NA,0,"Robust (consistently NS)","Primary model was non-significant or penalized out, and all independent alternative sources remained non-significant."
"3GCR-Ec","Humidity","common",0.1,"ns",FALSE,2.3,"***",FALSE,0.47,"*",FALSE,1.018,0.723,0.767,"MERRA2",FALSE,1,0.78,0,0,NA,0,"Product-sensitive (emergent)","Primary model was non-significant, but at least one independent alternative source produced a retained significant association."
"3GCR-Ec","WetDays","full",2.91,"***",FALSE,1.33,"***",FALSE,2.43,"***",FALSE,0.982,1.635,1.67,"ERA5, MERRA2",TRUE,1,0.209,0.5,0,NA,0,"Attenuated","Primary association is retained only partially across alternative source specifications."
"3GCR-Ec","WetDays","common",2.01,"***",FALSE,1.34,"**",FALSE,2.28,"***",FALSE,0.817,1.627,1.682,"ERA5, MERRA2",TRUE,1,-0.308,0.5,0,2.497,1,"Product-sensitive (reversal)","The high-versus-low exposure contrast reversed direction in at least one independent alternative source with a non-trivial percentile-based effect magnitude."
"3GCR-Kp","Temperature","full",4.72,"***",FALSE,5.16,"***",FALSE,3.09,"***",FALSE,0.931,0.939,0.916,"ERA5, MERRA2",TRUE,1,0.67,1,1,1.059,0,"Robust (minor variation)","The association was retained in at least one independent alternative source and the overall pattern remained broadly consistent, with moderate variation in magnitude or shape."
"3GCR-Kp","Temperature","common",0.94,"*",FALSE,3.14,"***",FALSE,2.06,"**",FALSE,0.988,0.889,0.909,"ERA5, MERRA2",TRUE,1,0.507,1,1,NA,0,"Attenuated","Primary association is retained only partially across alternative source specifications."
"3GCR-Kp","Precipitation","full",8.73,"***",FALSE,7.68,"***",FALSE,3.98,"***",FALSE,0.929,0.954,0.948,"ERA5, MERRA2",TRUE,1,-0.162,1,1,0.688,0,"Attenuated","Primary association is retained only partially across alternative source specifications."
"3GCR-Kp","Precipitation","common",5.82,"***",FALSE,8.19,"***",FALSE,3.52,"***",FALSE,0.977,1.018,0.988,"ERA5, MERRA2",TRUE,1,0.815,1,0.5,NA,0,"Robust","All independent alternative sources retained the association, with high overall curve agreement and comparable percentile-based effect magnitude."
