"CV","EDF","F_stat","Pval","Sig","SigL","PenOut","Bacteria","Source","Mode"
"Temperature",2.00318086274192,2.68569467710799,0.00107069242891122,TRUE,"**",FALSE,"3GCR-Ec","Primary","full"
"Precipitation",3.24101166395814,2.41435073400626,1.91779087239663e-05,TRUE,"***",FALSE,"3GCR-Ec","Primary","full"
"Humidity",3.49375205912341e-05,4.13258678322061e-06,0.263710251744094,FALSE,"ns",TRUE,"3GCR-Ec","Primary","full"
"WetDays",4.66116058702887,2.90618225144427,2.37641421598767e-05,TRUE,"***",FALSE,"3GCR-Ec","Primary","full"
"Temperature",1.97531572613834,2.385215263617,0.00122643183893245,TRUE,"**",FALSE,"3GCR-Ec","Primary","common"
"Precipitation",1.29383700538303,2.57497914826361,8.82115168576725e-07,TRUE,"***",FALSE,"3GCR-Ec","Primary","common"
"Humidity",0.648608949987348,0.100150795005225,0.186897971255989,FALSE,"ns",FALSE,"3GCR-Ec","Primary","common"
"WetDays",3.9033731404942,2.01154776268293,0.000192204434691812,TRUE,"***",FALSE,"3GCR-Ec","Primary","common"
"Temperature",1.72671049019614,2.24025644877208,0.00176628219905517,TRUE,"**",FALSE,"3GCR-Ec","ERA5","full"
"Precipitation",3.70342088667344,2.69328052230568,2.1394625126292e-05,TRUE,"***",FALSE,"3GCR-Ec","ERA5","full"
"Humidity",4.63772273704261,2.0662581610454,0.000213823624955922,TRUE,"***",FALSE,"3GCR-Ec","ERA5","full"
"WetDays",2.53817441784816,1.33484983025445,0.000830229432251972,TRUE,"***",FALSE,"3GCR-Ec","ERA5","full"
"Temperature",1.77268222071925,2.27621298860333,0.00157702473979804,TRUE,"**",FALSE,"3GCR-Ec","ERA5","common"
"Precipitation",2.36185769813956,2.50080867100923,2.59424894377691e-06,TRUE,"***",FALSE,"3GCR-Ec","ERA5","common"
"Humidity",4.38891451360295,2.29508683206271,4.69315283881944e-05,TRUE,"***",FALSE,"3GCR-Ec","ERA5","common"
"WetDays",2.70270592767523,1.33578196193563,0.00107155784280299,TRUE,"**",FALSE,"3GCR-Ec","ERA5","common"
"Temperature",1.840310844979,3.42854774895085,0.000328081120097634,TRUE,"***",FALSE,"3GCR-Ec","MERRA2","full"
"Precipitation",2.59000554681489,1.24077904810901,0.00289566275287789,TRUE,"**",FALSE,"3GCR-Ec","MERRA2","full"
"Humidity",0.635114085776314,0.226474039511347,0.0695204479344492,FALSE,".",FALSE,"3GCR-Ec","MERRA2","full"
"WetDays",4.18347701263087,2.43128884179997,3.06090390964631e-05,TRUE,"***",FALSE,"3GCR-Ec","MERRA2","full"
